label,decimal_latitude,decimal_longitude
"Alces americana andersoni",58.7162727977313,-133.2153004311
"Alces americana andersoni",49.0833,-95.0011
"Alces americana andersoni",48.4567,-95.724
"Alces americana andersoni",47.62,-94.12
"Alces americana andersoni",54.8489568835543,-124.91813466113
"Alces americana andersoni",48.483199286104,-95.883472716845
"Alces americana andersoni",53.6667917130778,-118.00729386953
"Alces americana andersoni",54.616667,-126.9
"Alces americana andersoni",51.395635,-116.486577
"Alces americana andersoni",53.806718,-126.042614
"Alces americana andersoni",52.333333,-121.416667
"Alces americana andersoni",52.981737,-122.494906
"Alces americana andersoni",48.0347183616062,-88.7722407926496
"Alces americana andersoni",46.8168599990588,-84.32378
"Alces americana andersoni",47.8443199990616,-83.10261
