Taxon	PostBayfrontPark	PreBayfrontPark	PostShellfishLab	PreShellfishLab	PostRyanCt	PreRyanCt	PostCadillacAve	PreDauphinBay	PostBelleairBlvd	PreBelleairBlvd	PostGrandIsle
Eukaryota;Corallochytrium;	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	0.000224265530388	0.0	0.0	0.0	0.0
Eukaryota;Cryptophyta;Cryptomonadales	0.0	0.0	0.0	0.0	0.0	0.0	3.45023892905e-05	0.0	0.0	0.0	0.0
Eukaryota;Cryptophyta;Pyrenomonadales	0.0	6.30172667311e-05	0.0	0.0	0.0	0.0	0.000138009557162	4.53137980515e-05	0.0	0.0	0.0
Eukaryota;Dysnectes;	0.0	2.1005755577e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Euglenozoa;Diplonemida	0.0	5.25143889426e-05	0.0	0.0	0.0	0.0	0.000138009557162	0.000317196586361	0.0	0.000153642872507	0.0
Eukaryota;Euglenozoa;Euglenida	0.0	0.000126034533462	0.0	0.0	0.0	0.0	3.45023892905e-05	0.000317196586361	0.0	3.07285745014e-05	0.0
Eukaryota;Euglenozoa;Kinetoplastida	0.0	5.25143889426e-05	0.0	0.0	0.0	0.0	8.62559732261e-05	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Euglenozoa;environmental	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Fungi;	0.0	2.1005755577e-05	0.0	0.0	0.0	1.02953212912e-05	3.45023892905e-05	3.0209198701e-05	0.0	0.0	0.000108585492978
Eukaryota;Fungi;Chytridiomycota	0.0	0.00135487123472	0.0	0.0	0.0	0.0	0.000431279866131	0.000166150592856	0.0	0.0	0.0
Eukaryota;Fungi;Dikarya	0.66351271437	0.0043902029156	0.854229229229	0.00198754669988	0.000972328772011	0.000138986837432	0.0236513878586	0.00264330488634	0.855618776671	0.0578004486372	0.9618502968
Eukaryota;Fungi;Fungi	0.0	0.000178548922405	0.00375375375375	2.98879202989e-05	0.0	0.0	3.45023892905e-05	1.51045993505e-05	0.0	0.0	7.23903286521e-05
Eukaryota;Fungi;Glomeromycota	0.0	7.35201445196e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Fungi;Microsporidia	0.0	0.0	0.0	1.49439601494e-05	0.0	0.0	0.0	0.0	0.0	0.000184371447009	0.0
Eukaryota;Fungi;Neocallimastigomycota	0.0	0.0	0.0	4.98132004981e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Fungi;environmental	0.00473092844471	0.00070369281183	0.0015015015015	3.98505603985e-05	2.67613423489e-05	0.0	0.000120758362517	0.000181255192206	0.0	0.0	0.000687708122195
Eukaryota;Glaucocystophyceae;Cyanoptyche	0.0	0.0	0.0	0.0	0.0	0.0	1.72511946452e-05	0.0	0.0	0.0	0.0
Eukaryota;Glaucocystophyceae;Glaucocystales	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Haptophyceae;Pavlovales	0.0	0.0	0.0	0.0	0.0	0.0	1.72511946452e-05	0.0	0.0	0.0	0.0
Eukaryota;Haptophyceae;Prymnesiales	0.0	8.40230223081e-05	0.0	3.48692403487e-05	0.0	0.0	0.0	0.0	0.0	3.07285745014e-05	0.0
Eukaryota;Haptophyceae;environmental	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Heterolobosea;	0.0	3.15086333655e-05	0.0	0.0	0.0	0.0	6.90047785809e-05	0.0	0.0	0.0	0.0
Eukaryota;Heterolobosea;Acrasida	0.0	0.000220560433559	0.0	0.000164383561644	0.0	0.0	0.0	4.53137980515e-05	0.0	0.0	0.0
Eukaryota;Heterolobosea;Schizopyrenida	0.0	0.0	0.0	9.96264009963e-06	0.0	0.0	3.45023892905e-05	0.0	0.0	0.0	0.0
Eukaryota;Heterolobosea;environmental	0.0	0.0	0.0	0.0	8.92044744964e-06	0.0	0.0	4.53137980515e-05	0.0	0.0	0.0
Eukaryota;Ichthyosporea;Ichthyophonida	0.0	3.15086333655e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Ichthyosporea;environmental	0.0	3.15086333655e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Katablepharidophyta;Katablepharidaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.72511946452e-05	0.0	0.0	0.0	0.0
Eukaryota;Katablepharidophyta;environmental	0.0	4.20115111541e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Metazoa;Annelida	0.0490833826138	0.0189997059194	0.000875875875876	0.0182117061021	0.00533442757489	0.637203173018	0.231545534528	0.148568839212	0.0	0.00777432934886	0.000506732300565
Eukaryota;Metazoa;Arthropoda	0.0218805440568	0.194313741965	0.0787037037037	0.00966874221669	0.229630158249	0.00214657448922	0.035399451412	0.263741409259	0.0373399715505	0.0917247948868	0.000506732300565
Eukaryota;Metazoa;Brachiopoda	0.0	6.30172667311e-05	0.0	0.0	0.0	0.0	3.45023892905e-05	4.53137980515e-05	0.0	0.0	0.0
Eukaryota;Metazoa;Bryozoa	0.0	0.000147040289039	0.0	0.0	0.0	0.0	0.000103507167871	0.000725020768824	0.0	0.00150570015057	0.0
Eukaryota;Metazoa;Chordata	0.00591366055588	0.000808721589716	0.000500500500501	1.99252801993e-05	6.24431321475e-05	1.54429819369e-05	0.000258767919678	9.0627596103e-05	0.0024893314367	0.00580770058077	0.00213551469524
Eukaryota;Metazoa;Cnidaria	0.0	0.000105028777885	0.0	0.000184308841843	0.000312215660738	0.0279003206993	0.000172511946452	7.55229967525e-05	0.0	0.0	0.000289561314608
Eukaryota;Metazoa;Echiura	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Metazoa;Entoprocta	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Metazoa;Gastrotricha	0.00177409816677	0.00464227198252	0.0	0.000214196762142	0.000722556243421	8.75102309755e-05	0.162730519088	0.00342874405256	0.0	0.00064530006453	0.000108585492978
Eukaryota;Metazoa;Mollusca	0.00118273211118	0.000682687056253	0.0	7.47198007472e-05	5.35226846979e-05	0.248390069133	0.0148360273949	0.000558870175969	0.0	0.0	0.013102649486
Eukaryota;Metazoa;Nematoda	0.209934949734	0.640969625677	0.0487987987988	0.954575342466	0.711280797845	0.0705178031843	0.0523573757483	0.359746242731	0.097439544808	0.810435423901	0.00814391197336
Eukaryota;Metazoa;Nematomorpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.53137980515e-05	0.0	0.0	0.0
Eukaryota;Metazoa;Nemertea	0.0	2.1005755577e-05	0.0	0.0	7.13635795972e-05	5.14766064562e-06	0.000707298980454	0.000453137980515	0.0	0.0	0.0
Eukaryota;Metazoa;Onychophora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Metazoa;Platyhelminthes	0.00295683027794	0.026372726127	0.00225225225225	0.000572851805729	0.0377245722645	0.0113557393842	0.022271292287	0.0911260478816	0.0	0.00251974310912	0.00731142319386
Eukaryota;Metazoa;Porifera	0.0	0.0	0.0	0.0	0.0	0.0	0.0167854123898	0.0	0.0	0.0	0.0
Eukaryota;Metazoa;Rotifera	0.0	0.0	0.0	0.0	0.0	0.0	1.72511946452e-05	0.0	0.0	0.0	0.0
Eukaryota;Metazoa;environmental	0.00236546422235	0.00131285972356	0.0	4.98132004981e-06	8.92044744964e-06	3.08859638737e-05	0.0602411717011	0.000966694358432	0.0	0.0	0.0
Eukaryota;Multicilia;	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0209198701e-05	0.0	0.0	0.0
Eukaryota;Nucleariidae;Micronuclearia	0.0	8.40230223081e-05	0.0	0.0	0.0	0.0	0.000155260751807	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Nucleariidae;Nuclearia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Nucleariidae;environmental	0.0	0.0	0.0	9.96264009963e-06	0.0	0.0	0.0	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Oxymonadida;Streblomastigidae	0.0	3.15086333655e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Reticulamoeba;	0.0	3.15086333655e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Rhizaria;Cercozoa	0.0	0.00395958492627	0.0	0.00026400996264	8.02840270468e-05	5.14766064562e-06	0.00108682526265	0.00199380711427	0.0	0.0	3.6195164326e-05
Eukaryota;Rhizaria;Foraminifera	0.0	0.000325589211444	0.0	0.0	0.0	0.0	5.17535839357e-05	0.0	0.0	0.0	0.0
Eukaryota;Rhizaria;Gromiidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0209198701e-05	0.0	0.0	0.0
Eukaryota;Rhizaria;Haplosporidia	0.0	0.000168046044616	0.0	0.0	0.0	0.0	1.72511946452e-05	0.0	0.0	0.0	0.0
Eukaryota;Rhizaria;Polycystinea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Rhizaria;environmental	0.0	2.1005755577e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Rhodophyta;Bangiophyceae	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	0.000189763141098	0.0	0.0	0.0	0.0
Eukaryota;Rhodophyta;Florideophyceae	0.0	2.1005755577e-05	0.0	9.96264009963e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Rhodophyta;Rhodellophyceae	0.0	0.0	0.0	0.0	0.0	0.0	0.000103507167871	3.0209198701e-05	0.0	0.0	0.0
Eukaryota;Viridiplantae;Chlorophyta	0.000591366055588	0.0144834684704	0.000375375375375	0.000428393524284	0.000267613423489	2.05906425825e-05	0.0240481653354	0.00537723736878	0.00533428165007	0.00967950096795	0.000941074272477
Eukaryota;Viridiplantae;Streptophyta	0.00413956238912	0.000892744612024	0.00262762762763	0.000493150684932	9.81249219461e-05	1.02953212912e-05	0.00191488260562	0.000528660977268	0.000355618776671	0.00104477153305	0.00115824525843
Eukaryota;environmental;Other	0.00413956238912	0.0507394025963	0.00613113113113	0.00191282689913	0.00986601487931	0.00141560667755	0.0620180447496	0.0634091080734	0.0	0.0064222720708	0.000832488779499
Eukaryota;stramenopiles;	0.0	4.20115111541e-05	0.0	0.0	0.0	0.0	0.0	0.000166150592856	0.0	0.0	0.0
Eukaryota;stramenopiles;Bacillariophyta	0.00591366055588	0.0195353526866	0.0	0.000318804483188	3.56817897986e-05	0.00012869151614	0.00943640347094	0.0138358130051	0.0	0.00381034323818	0.00018097582163
Eukaryota;stramenopiles;Bicosoecida	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	5.17535839357e-05	0.0	0.0	0.0	0.0
Eukaryota;stramenopiles;Blastocystis	0.0	0.0	0.0	0.0	0.0	0.0	3.45023892905e-05	0.0	0.0	0.0	0.0
Eukaryota;stramenopiles;Chrysomerophyceae	0.0	0.0	0.0	0.0	0.0	0.0	1.72511946452e-05	0.0	0.0	0.0	0.0
Eukaryota;stramenopiles;Chrysophyceae	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	3.45023892905e-05	0.0	0.0	0.0	0.0
Eukaryota;stramenopiles;Dictyochophyceae	0.0	9.45259000966e-05	0.0	9.96264009963e-06	0.0	0.0	0.0	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;stramenopiles;Eustigmatophyceae	0.0	1.05028777885e-05	0.0	1.49439601494e-05	0.0	1.02953212912e-05	0.0	0.0	0.0	0.0	7.23903286521e-05
Eukaryota;stramenopiles;Hyphochytriomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.000103507167871	0.0	0.0	0.0	0.0
Eukaryota;stramenopiles;Labyrinthulida	0.00177409816677	0.000819224467504	0.0	1.99252801993e-05	5.35226846979e-05	5.14766064562e-06	0.00677971949558	0.000438033381165	0.0	3.07285745014e-05	0.000687708122195
Eukaryota;stramenopiles;Oomycetes	0.0	0.00021005755577	0.0	0.0	1.78408948993e-05	0.0	0.000224265530388	4.53137980515e-05	0.0	0.0	0.000144780657304
Eukaryota;stramenopiles;PX	0.0	6.30172667311e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;stramenopiles;Pirsonia	0.0	0.0	0.0	4.98132004981e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;stramenopiles;Pseudopirsonia	0.0	0.0	0.0	0.0	0.0	0.0	3.45023892905e-05	4.53137980515e-05	0.0	0.0	0.0
Eukaryota;stramenopiles;Raphidophyceae	0.0	0.000147040289039	0.0	0.0	0.0	0.0	3.45023892905e-05	0.00030209198701	0.0	0.0	0.0
Eukaryota;stramenopiles;environmental	0.0	0.000178548922405	0.0	1.49439601494e-05	1.78408948993e-05	0.0	6.90047785809e-05	0.00279435087984	0.0	0.0	0.0
No blast hit;Other;Other	0.000591366055588	0.00150191152376	0.0	0.000742216687422	3.56817897986e-05	0.0	0.000224265530388	0.000694811570123	0.0	0.0	0.0
Unclassified;metagenome;Other	0.0171496156121	1.05028777885e-05	0.0	4.98132004981e-06	0.00261369110275	5.14766064562e-06	0.000258767919678	0.0	0.0	0.000122914298006	0.0
Unclassified;synthetic;Other	0.0	0.0	0.0	0.0	0.0	0.0	1.72511946452e-05	0.0	0.0	0.0	0.0
Unclassified;unidentified;Other	0.0	0.0	0.000125125125125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
