Taxon	PostBayfrontPark	PreBayfrontPark	PostShellfishLab	PreShellfishLab	PostRyanCt	PreRyanCt	PostCadillacAve	PreDauphinBay	PostBelleairBlvd	PreBelleairBlvd	PostGrandIsle
Archaea;Crenarchaeota;Miscellaneous	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Archaea;Euryarchaeota;Methanomicrobia	0.0	0.000115531655674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria;Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.000672796591164	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Deltaproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.000103507167871	0.0	0.0	0.0	0.0
Eukaryota;;soil	0.0	0.0	0.0	0.0	0.0	0.0	6.90047785809e-05	0.0	0.0	0.0	0.0
Eukaryota;Alveolata;Apicomplexa	0.0	0.00184850649078	0.0	2.98879202989e-05	5.35226846979e-05	0.0	0.00141459796091	0.00563401555774	0.0	0.000276557170513	0.0
Eukaryota;Alveolata;Chromera	0.0	2.1005755577e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Alveolata;Ciliophora	0.00236546422235	0.00294080578078	0.000125125125125	0.00160896637609	0.000276533870939	0.000535356707144	0.103420911898	0.00699342949928	0.00142247510669	0.0	0.000796293615173
Eukaryota;Alveolata;Dinophyceae	0.0	0.00209007267991	0.0	0.00828891656289	2.67613423489e-05	5.14766064562e-05	0.159418289717	0.0216599954686	0.0	0.0	0.000325756478934
Eukaryota;Alveolata;Perkinsea	0.0	0.0	0.0	0.0	0.0	0.0	0.000483033450066	0.0	0.0	0.0	0.0
Eukaryota;Alveolata;environmental	0.0	0.00162794605722	0.0	0.0	0.0	0.0	0.000776303759035	0.00157087833245	0.0	0.0	0.0
Eukaryota;Amoebozoa;Centramoebida	0.0	0.000105028777885	0.0	0.0	0.0	0.0	0.000241516725033	0.0	0.0	0.0	0.0
Eukaryota;Amoebozoa;Flabellinea	0.0	0.000955761878755	0.0	0.0	0.0	0.0	0.00265668397537	0.000332301185711	0.0	0.0	0.0
Eukaryota;Amoebozoa;Himatismenida	0.0	0.0	0.0	0.0	0.0	0.0	6.90047785809e-05	0.0	0.0	0.0	0.0
Eukaryota;Amoebozoa;Mycetozoa	0.0	2.1005755577e-05	0.0	0.0	0.0	0.0	8.62559732261e-05	6.0418397402e-05	0.0	0.0	0.0
Eukaryota;Amoebozoa;Phalansterium	0.0	0.0	0.0	0.0	0.0	0.0	3.45023892905e-05	0.0	0.0	0.0	0.0
Eukaryota;Amoebozoa;Tubulinea	0.0	0.000304583455867	0.0	9.96264009963e-06	0.0	0.0	0.000741801369745	0.000438033381165	0.0	0.0	0.0
Eukaryota;Amoebozoa;environmental	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	1.72511946452e-05	0.0	0.0	0.0	0.0
Eukaryota;Apusozoa;Apusomonadidae	0.0	3.15086333655e-05	0.0	0.0	2.67613423489e-05	5.14766064562e-06	1.72511946452e-05	3.0209198701e-05	0.0	0.0	0.0
Eukaryota;Apusozoa;Planomonas	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	1.72511946452e-05	0.0	0.0	0.0	0.0
Eukaryota;Apusozoa;environmental	0.0	0.0	0.0	0.0	0.0	0.0	3.45023892905e-05	0.0	0.0	0.0	0.0
Eukaryota;Centroheliozoa;environmental	0.0	0.000199554677982	0.0	0.0	0.0	0.0	8.62559732261e-05	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Choanoflagellida;Acanthoecidae	0.0	0.0	0.0	0.0	0.0	0.0	1.72511946452e-05	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Choanoflagellida;Codonosigidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51045993505e-05	0.0	0.0	0.0
Eukaryota;Choanoflagellida;Salpingoecidae	0.0	0.000336092089232	0.0	0.0	0.000321136108187	5.14766064562e-06	0.000172511946452	0.0	0.0	0.0	0.0
Eukaryota;Choanoflagellida;environmental	0.0	1.05028777885e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
