size2,size3,size4,size5
311.454772,534.908563,652.443302,733.295057
376.566485,489.825097,658.080088,630.290241
309.154888,482.367262,500.320366,732.162134
311.454771,379.668376,618.903522,756.437494
346.62532,495.731992,627.359075,738.144398
307.448745,379.217341,612.92597,646.95257
206.253499,379.217343,654.074071,667.760673
307.448752,499.738007,601.667977,626.115875
311.45477,489.825097,554.037182,726.454679
376.566482,499.738014,468.117365,751.669386
244.523745,495.731992,220.194334,556.452193
376.566483,499.738012,618.90352,795.61407
206.2535,467.496966,637.27199,656.400607
376.566485,329.425027,612.925968,795.614066
376.566485,514.100461,518.866632,519.448983
311.45477,432.326416,512.392387,528.547214
311.454769,495.731988,637.271989,517.275624
376.566484,534.908566,595.555215,791.60805
376.566484,330.583389,509.418595,673.202689
301.541853,495.731993,503.78181,521.968519
311.454768,469.796847,518.866634,656.40061
376.566483,514.100461,637.271988,638.032139
376.566489,534.908563,608.990608,677.208705
294.084019,495.731994,612.996624,639.738279
376.566489,424.983483,514.860609,656.400607
376.566488,499.738012,518.866624,683.146013
325.817219,495.731991,405.375687,671.571922
197.963828,499.738014,518.866633,514.80739
376.566487,312.037126,502.153021,519.44899
346.625321,439.102842,630.797744,521.281642
191.385133,210.513752,633.265966,342.678982
311.454771,495.731992,551.972492,557.440381
307.448749,499.73801,618.90352,639.687001
376.566488,495.731995,672.442541,719.424669
376.566481,534.908563,633.265968,511.833603
311.454768,330.58339,533.22908,638.032133
307.448752,330.583391,502.839901,683.146014
346.625319,395.695106,348.047728,774.777364
325.817221,312.037126,488.925466,655.094159
311.45477,494.101223,514.86061,771.268044
311.454771,330.583388,658.080088,609.835293
376.566484,499.738013,509.418596,638.579914
376.566486,395.695102,616.435287,719.42466
376.566488,499.738012,518.86663,667.760677
376.566484,329.425026,513.702251,528.547217
311.454767,534.908559,612.925969,563.717763
207.411863,514.100464,603.238911,398.928315
376.566484,534.908564,501.631088,625.862021
376.566485,534.908563,627.288413,765.075478
376.566486,330.583386,570.340963,628.584104
376.566481,432.326418,512.071478,508.063431
376.566484,499.738013,596.82049,632.395351
311.454771,499.73801,658.080089,490.182113
207.41186,394.536745,458.669332,638.032138
376.566485,495.73199,654.07407,732.162132
190.934101,499.738013,606.733409,658.662443
346.62532,379.668375,398.110115,568.632885
294.219225,495.731994,613.266731,736.438254
197.963828,330.583387,612.42927,719.202714
376.566484,395.695108,589.497863,616.413989
376.566485,469.796847,514.860614,681.439879
376.566486,499.738012,517.708271,655.242242
376.566485,395.695104,618.90352,758.143636
376.566486,482.367263,612.996626,521.281641
197.963827,499.738012,654.074068,556.560871
376.566485,534.908563,450.777245,604.318831
376.56649,432.326419,654.07407,436.01066
376.566486,495.731992,502.690497,732.162136
307.448752,499.73801,368.404798,771.338704
376.566485,497.438132,562.176698,521.968522
376.566484,493.26376,533.229081,732.091475
376.566485,424.642725,502.839903,639.687001
376.566484,495.731991,345.528195,513.812199
325.817222,395.695104,604.433523,532.830868
191.385133,495.731994,562.274368,708.66337
376.566484,494.101225,608.919944,719.202711
207.411864,499.738012,554.037179,511.36873
325.817219,448.988746,617.272751,677.208706
376.566484,514.100464,493.839881,754.137614
311.454771,330.583388,315.139014,639.738279
376.56649,534.908561,658.080085,735.600794
376.566489,432.326419,620.609657,660.495099
376.566484,483.561878,552.878818,528.547217
376.566483,493.263762,332.998399,625.301079
307.448749,335.497805,509.418594,564.642989
311.45477,499.738016,507.795356,656.400609
307.448752,495.731997,554.03718,515.442967
311.454771,424.983487,518.866635,758.143637
346.625318,495.731995,391.961382,726.525343
376.566485,514.100465,436.384166,730.53136
376.566483,225.38212,518.866631,756.437497
376.566488,499.73801,513.229845,768.968161
376.566488,395.6951,451.455034,496.94801
376.566483,408.537251,518.866635,791.608045
376.566485,330.583391,603.013049,735.600794
346.625321,495.731992,413.66536,630.290243
376.566485,493.263763,513.702252,469.425294
307.448751,386.247068,518.866629,638.579915
376.566489,514.100465,348.047729,652.394588
376.566488,499.738015,502.388871,673.202689
325.817222,330.583388,388.662082,621.318528
311.454768,495.731992,468.117368,756.437491
376.566481,489.825097,596.820495,652.394588
188.865599,330.583389,518.866629,636.873775
311.45477,534.90856,554.037182,638.032138
250.819598,514.100463,502.153024,639.738277
207.411862,395.695102,541.680769,528.547213
325.817219,225.382119,396.277459,572.007439
376.566484,386.247071,509.418599,622.005408
376.566484,497.438132,613.266733,672.675793
376.566488,495.73199,612.429271,593.083503
307.448751,495.731997,613.26673,736.438257
307.448746,217.092447,651.605843,639.73828
207.411862,493.263766,569.860395,765.075481
346.625319,489.825098,618.903515,675.144021
376.566485,217.092447,514.860608,351.204502
307.448753,497.438129,514.86061,536.836885
207.411861,495.731992,637.271989,750.459943
376.566487,499.738014,654.074069,656.400607
376.566488,395.695103,617.272751,638.032136
376.566486,489.825098,651.605843,628.584103
311.454769,394.536743,405.37569,632.395347
376.566483,514.100465,654.074065,673.20269
301.471197,534.90856,333.234245,536.330969
311.454771,388.353575,383.724196,774.945716
207.411863,494.101225,637.271988,513.99139
207.411861,432.806986,608.990604,551.199337
207.41186,514.100465,627.288414,636.401368
376.566486,469.796846,502.839902,754.137616
376.566487,484.159299,570.340966,600.349076
311.45477,395.695107,340.263974,638.032141
376.566488,514.100461,518.866629,725.898918
376.566488,499.738016,612.925966,618.671194
376.566485,225.382117,612.429272,638.032139
325.817219,363.689253,612.925966,677.208711
376.566486,514.100461,468.117366,767.332686
376.566482,330.583388,596.82049,759.874841
309.154889,499.738015,607.330824,668.669774
311.454768,330.583384,333.685273,624.703659
376.566487,499.738015,613.266729,619.165824
376.566489,514.100465,641.903952,588.989014
311.454771,321.135353,595.555215,351.655534
376.566483,499.738015,613.266734,509.536071
311.45477,534.908562,396.277463,691.21261
376.566485,499.738012,633.265971,677.208711
376.566483,499.738008,393.119746,771.338704
376.566486,424.14603,518.86663,777.245593
311.454771,495.731989,514.860614,563.717767
191.385132,495.731992,518.866633,771.608805
346.625319,534.908565,552.361454,557.13907
376.566488,495.731995,488.925467,406.632337
376.566484,489.8251,620.609658,660.495101
309.154889,210.513751,607.359835,492.027354
311.454768,395.695104,517.202354,739.775164
376.566488,499.738011,518.866629,720.518779
311.454771,499.738015,533.22908,636.401371
207.411861,495.731993,612.996625,725.687879
307.448747,482.367259,618.903516,778.951738
376.566485,534.908562,617.272745,770.771352
346.62532,432.326416,537.559418,619.485879
376.566483,469.796847,596.82049,618.67119
376.566489,330.583387,637.271986,673.202684
376.566485,497.438133,612.42927,532.830866
197.963828,330.583387,333.234246,667.760673
309.154889,499.738015,398.796993,622.60655
307.448752,424.983486,620.609662,656.400607
376.566487,483.561877,654.074069,376.927018
376.566486,499.738011,631.635202,638.032136
376.566486,514.100461,654.074072,774.945711
376.566487,395.695108,637.271988,775.614827
376.566484,499.738016,514.860615,416.767248
311.45477,330.583389,375.434522,342.914832
307.448752,329.425026,545.514371,739.775167
376.566487,395.695104,616.603636,619.086146
311.454769,499.738011,434.323308,778.951737
376.566485,495.731994,641.903959,619.485871
307.448752,424.14603,658.080085,708.663369
295.278638,495.731992,551.972494,342.91483
307.448747,495.731992,637.271988,446.422201
376.566487,499.738014,617.272747,616.413993
311.454767,499.738016,497.203115,536.836889
376.566483,395.695105,518.866628,631.236988
325.81722,482.502469,468.117364,486.08762
346.62532,483.561875,648.096514,414.247714
197.963827,499.738011,605.538792,536.836888
207.411861,448.988746,499.505684,761.069464
197.963828,489.75444,633.265968,608.189646
376.566484,534.908563,340.263975,659.973164
346.625321,499.738014,398.796995,527.388851
376.566489,330.583391,518.866629,774.945716
305.817978,514.100462,620.609661,681.439873
376.566485,386.247072,637.271991,725.898913
325.817219,499.738009,658.080087,639.73828
376.566484,483.561875,333.234246,395.534755
301.541853,439.10284,607.359838,632.054589
376.566485,495.731994,518.866633,667.760672
376.566488,363.689249,637.271989,720.262123
325.817221,365.753941,617.272748,423.345946
376.566483,330.583389,518.86663,408.026548
311.454772,210.51375,468.117368,727.605054
295.278638,420.707358,533.229086,733.797611
376.566485,494.101222,616.43529,588.989011
376.566484,494.101222,602.727386,638.03214
346.62532,217.092445,514.860609,736.438254
325.817219,483.561877,620.609661,396.221633
376.566488,469.796848,562.274366,739.775166
190.934101,483.561881,496.314347,726.896634
376.566487,489.75444,513.229844,659.973165
301.541856,448.988748,634.972108,526.196055
346.62532,499.738014,555.978514,758.143633
376.566487,347.207676,537.323571,726.184579
301.541856,314.105628,405.375689,527.38885
376.566486,420.707362,569.860395,795.614066
376.566485,469.796843,613.266727,771.268042
376.566487,495.731988,225.964474,536.836885
376.566485,514.100461,339.10561,778.951738
301.541853,330.583388,501.631087,512.069452
346.62532,395.695107,435.221998,736.438255
376.566483,483.561881,617.272754,519.448985
376.566487,499.738015,396.277459,638.032139
376.566486,534.908563,601.667976,393.702097
376.566488,217.092445,633.265973,624.802613
376.566489,499.738012,518.866635,573.442854
346.625319,364.595576,610.626088,563.717767
376.566484,217.092447,391.961382,336.336135
376.566484,534.908562,672.442541,638.032134
376.566481,534.908563,613.266731,636.873772
376.566484,330.583385,620.609662,622.677211
376.566486,534.908566,627.359075,739.775162
325.817221,499.73801,612.996624,740.772887
207.411862,432.326418,552.878821,725.687884
346.625318,499.738011,633.265966,538.592807
376.566482,489.825097,398.796991,604.769865
376.566484,448.988745,333.685279,756.437497
311.45477,330.583389,545.514371,703.856449
346.625319,217.092447,618.903519,690.412798
376.566489,424.983487,672.442537,528.547213
325.81722,395.695106,637.271988,639.738279
207.411864,499.738013,498.833884,622.60655
376.566485,514.100462,633.265969,726.410437
311.45477,514.100462,500.320367,750.459947
376.566487,497.438134,634.972111,722.404419
376.566487,395.695102,551.972495,497.277782
376.566488,499.738015,590.668494,765.701914
311.454772,482.502466,618.903521,747.83994
295.278634,499.738013,383.724196,669.26976
376.566488,514.100467,608.990608,520.660757
376.566486,448.988747,617.272751,777.245602
325.817219,424.983489,511.525102,517.962504
301.541857,330.583389,618.903518,516.331729
311.454771,495.731994,499.505685,771.608812
346.62532,495.731995,654.074067,733.30092
376.566485,312.037124,451.455033,533.81144
311.454771,495.731996,610.626087,503.422255
376.566488,483.561882,620.609658,671.571917
311.45477,394.536743,616.435287,516.353104
376.566483,494.101225,637.271992,669.269764
307.448749,330.583389,509.418597,756.437497
376.566485,534.90856,658.080091,716.610425
311.454772,499.738012,331.165744,752.506844
311.45477,499.738015,436.384162,758.143634
376.566485,395.695105,517.708268,734.13838
206.2535,499.738012,443.771343,758.143634
191.385132,534.908561,498.83388,542.909667
376.566485,330.583389,533.229077,736.438257
376.566484,432.326417,405.375691,536.836886
376.566487,499.738009,518.866633,511.31167
307.44875,534.908564,518.866628,754.80673
325.817218,499.738016,612.996627,677.208711
301.541856,432.326413,509.418596,660.730943
376.566484,499.738012,518.866633,761.069462
346.62532,499.738015,606.733404,638.032137
325.81722,499.738008,672.442542,521.968518
309.154888,328.23223,468.117366,454.556926
346.625319,482.502469,498.146998,652.394587
311.454768,483.561881,618.903517,739.775163
307.44875,432.326418,514.860613,730.531363
190.698253,395.695106,551.972497,756.437496
376.566488,489.8251,652.443302,728.160825
376.566486,497.438133,388.897925,402.80033
376.566487,495.731993,396.277461,638.032142
311.45477,329.425025,620.609658,778.951736
309.15489,395.695109,398.796997,423.345944
307.448747,469.796845,634.972107,571.101117
311.454771,412.813372,333.685278,631.236987
207.411861,514.100464,605.538787,733.797611
311.454768,495.731993,633.265972,630.290243
376.566484,424.983486,612.925966,642.946553
305.81798,514.10046,509.418595,791.608044
311.454769,534.908565,634.972106,517.962501
376.566484,495.731992,518.866633,660.730945
376.566485,499.738013,451.455034,756.437496
207.411862,499.738014,488.925465,656.400606
207.411863,432.326417,533.229084,761.355131
311.454769,328.468078,618.903518,652.394584
376.566484,483.561881,559.974486,630.290244
325.817222,489.8251,496.314351,778.951739
311.454771,495.731993,552.878818,677.208707
376.566485,494.101223,616.603636,621.318529
311.454768,497.438129,562.274371,725.898913
376.566483,495.731993,612.996624,795.614063
190.934101,514.100465,618.90352,527.388852
376.566483,420.707364,502.38887,351.655534
325.817221,489.825099,518.866631,469.42529
376.566484,499.738011,517.70827,656.400607
376.566484,534.908559,612.996621,630.966883
376.566488,395.695104,620.609663,736.438257
311.45477,495.731997,404.217328,775.614828
197.963827,499.73801,404.217328,623.711547
207.411862,329.425027,654.074073,697.508463
376.566485,499.738014,518.866631,572.75978
376.566484,499.73801,606.733409,620.796598
376.566486,225.38212,518.866631,777.245595
311.454771,344.945841,513.229841,638.032136
376.566488,330.58339,618.90352,638.579918
311.45477,495.731997,468.117367,528.547214
376.566487,514.100463,618.90352,556.688038
311.454769,489.8251,333.685275,511.833606
311.45477,495.731998,497.203114,639.73828
325.817222,225.382119,517.708268,736.438255
307.448746,217.092445,405.375691,621.856
311.454771,484.159297,496.314351,743.072767
376.566487,514.100464,654.074065,754.137614
311.454771,330.583388,616.603641,628.584101
325.817221,424.146026,637.27199,628.584103
376.566488,417.255546,470.379203,619.638234
207.411862,469.796849,601.667975,636.401368
295.278638,432.326418,562.274367,654.656425
376.566485,534.908565,517.708268,631.557888
191.385133,534.90856,608.990606,630.399526
376.566487,514.100458,533.22908,642.946558
376.566484,200.614685,333.685277,775.614829
376.566485,432.326414,608.99061,527.388855
325.817221,432.326417,654.074068,670.734459
376.566485,448.988748,618.90352,609.797112
311.454772,329.425026,610.696746,725.898913
307.448749,495.731992,589.497862,661.032575
376.566484,499.738013,606.733408,391.312935
311.454771,499.738008,558.268347,656.400609
376.566487,330.583391,508.95372,762.775599
206.2535,225.382118,620.609662,552.606155
376.566485,499.738014,631.635199,778.951735
295.278634,497.438134,513.229845,656.400611
376.566486,495.731995,404.217329,470.532374
305.817978,499.738014,637.271989,655.242245
307.448747,448.988747,612.429271,733.797614
376.566486,395.695104,620.609657,718.316563
346.62532,514.100465,555.978516,619.485876
376.566487,514.100465,468.117367,638.032139
376.566487,483.561879,602.727386,638.032135
311.454771,499.738015,554.03718,482.128287
311.454771,495.73199,637.271989,575.107132
294.219225,446.688866,618.903519,720.616445
376.566487,489.75444,637.271987,758.143634
346.625321,394.536741,502.388872,636.401369
309.154889,395.695104,513.70225,749.963241
376.566486,499.738012,634.972111,739.775166
376.566487,469.796848,488.925466,581.30532
307.448752,489.8251,514.860608,625.862022
376.566488,484.159298,538.01045,616.413992
301.541856,469.796847,612.429264,515.644851
325.81722,495.731992,405.37569,754.80673
311.45477,534.908566,374.573481,542.909665
311.454771,217.092446,513.22984,639.687
376.566483,499.738013,485.153326,631.55789
309.15489,499.738012,613.266726,636.401367
311.454771,379.668377,518.866627,736.43826
207.411864,499.738013,630.797741,528.547216
376.566487,499.738009,518.866634,669.507234
376.566484,386.247071,404.217327,728.202471
307.44875,499.738012,655.780207,681.439876
