Taro or Okuma,Colocasia_esculenta
Yam,Dioscorea_cayennensis
Ensete,Ensete_ventricosum
Bananas or Plantains,Musa_acuminata
Plantains,Musa_acuminata
Sago and other Palms,Metroxylon_sagu
Dates,Phoenix_dactylifera
Coconut,Cocos_nucifera
Barley,Hordeum_vulgare
Rye,Secale_cereale
Wheat,Triticum_aestivum
Dry Rice,Oryza_sativa
Wet Rice,Oryza_sativa
Maize,Zea_mays
Sorghum,Sorghum_bicolor
Teff,Eragrostis_tremula
Millet,Eleusine_coracana
Mango,Mangifera_indica
Cassava,Manihot_esculenta
Squashes,Cucurbita_pepo
Breadfruit,Artocarpus_altilis
Groundnut,Arachis_hypogaea
Buckwheat,Fagopyrum_esculentum
Sweet Potato,Ipomoea_batatas
Potato,Solanum_tuberosum
White Potato,Solanum_tuberosum
