ID,Description,Name
NA,Missing data,NA
0,No agriculture,No agriculture
1,Barley,Barley
2,Maize,Maize
3,Millet,Millet
4,Dry rice,Dry Rice
7,Wheat,Wheat
8,Buckwheat,Buckwheat
11,Groundnut,Groundnut
12,Beans,Beans
14,Cassava,Cassava
15,Potato,Potato
16,Sweet potato,Sweet Potato
18,Taro,Taro
19,Yams,Yams
21,Plantains,Plantains
22,Dates,Dates
24,Other fruit trees,Other fruit trees
41,Cocoa,Cocoa
42,Cotton,Cotton
44,Sugarcane,Sugarcane
45,Cardamum,Cardamum
46,Tobacco,46
47,Rubber,Rubber
