ID,Description,Name
NA,Missing data,NA
0,Agriculture not practiced or confined to non-food crops,Agriculuture not practiced or confined to non-food crops
10,Buckwheat,Buckwheat
11,Wheat,Wheat
12,Barley,Barley
13,Millet,Millet
14,Sorghum,Sorghum
15,Maize,Maize
16,Dry Rice,Dry Rice
17,Wet Rice,Wet Rice
18,Rye,Rye
19,Teff,Teff
21,Yam,Yam
22,Taro or Okuma,Taro or Okuma
23,White Potato,White Potato
24,Cassava (Manioc),Cassava (Manioc)
25,Sweet Potato,Sweet Potato
26,Tubers in general,Tubers in general
31,Bananas or Plantains,Bananas or Plantains
32,Breadfruit,Breadfruit
33,Coconut,Coconut
34,Ensete,Ensete
40,"Industrial Crops, e.g., cotton","Industrial Crops, e.g., cotton"
