ID,Description,Name
NA,Missing data,NA
0,No agriculture,No agriculture
1,Barley,Barley
2,Maize,Maize
3,Millet,Millet
4,Dry rice,Dry Rice
5,Wet rice,Wet Rice
7,Wheat,Wheat
13,Breadfruit,Breadfruit
14,Cassava,Cassava
15,Potato,Potato
16,Sweet potato,Sweet Potato
18,Taro,Taro
19,Yams,Yams
21,Plantains,Plantains
22,Dates,Dates
31,Coconut,Coconut
51,Animal fodder,Animal fodder
