TREAT	INTENSITY	COLBLUM
RAND	0.5	-0.373822351
RAND	0.5	4.666875315
RAND	0.5	6.100447295
RAND	0.5	13.056727
RAND	0.5	5.527291904
RAND	0.5	1.532474817
RAND	0.5	8.693406114
RAND	0.5	5.790449521
RAND	0.5	3.570407924
RAND	0.5	2.077528056
RAND	0.5	5.594021481
RAND	0.5	1.72919724
RAND	0.5	1.831528022
RAND	0.5	6.29489044
RAND	0.5	0.069272966
RAND	0.5	0.138621093
RAND	0.5	0.033213861
RAND	0.5	5.618101838
RAND	0.5	2.738892531
RAND	0.5	2.812128062
RAND	0.5	7.588549525
RAND	0.5	0.953983636
RAND	0.5	0.690198647
RAND	0.5	0.645938619
RAND	0.5	3.562816767
RAND	0.5	8.720886991
RAND	0.5	1.207001245
RAND	0.5	0.70899488
RAND	0.5	2.751214121
RAND	0.5	1.064092011
RAND	0.5	8.254724995
RAND	0.5	0.573640505
RAND	0.5	4.191364263
RAND	0.5	0.220970679
RAND	0.5	1.348310814
RAND	0.5	7.634266619
RAND	0.5	1.571843334
RAND	0.5	2.417400566
RAND	0.5	3.178103
RAND	0.5	1.24392811
RAND	0.5	3.221913205
RAND	0.5	3.593379836
RAND	0.5	1.072366695
RAND	0.5	1.280091274
RAND	0.5	6.604139081
RAND	0.5	2.120241896
RAND	0.5	6.532513737
RAND	0.5	3.585877818
RAND	0.5	2.624420169
RAND	0.5	3.674984262
RAND	0.5	5.983592136
RAND	0.5	3.044278868
RAND	0.5	0.685193816
RAND	0.5	0.264281522
RAND	0.5	1.164745142
RAND	0.5	5.462529393
RAND	0.5	2.491422302
RAND	0.5	1.219304769
RAND	0.5	2.44720215
RAND	0.5	1.496986525
RAND	0.5	2.514607401
RAND	0.5	2.914635317
RAND	0.5	0.386258609
RAND	0.5	1.241256322
RAND	0.5	3.913736813
RAND	0.5	1.44385301
RAND	0.5	3.18091023
RAND	0.5	2.627825211
RAND	0.5	3.004168218
RAND	0.5	2.178152808
RAND	0.5	4.295176856
RAND	0.5	1.451844996
RAND	0.5	1.108451402
RAND	0.5	0.810750652
RAND	0.5	0.376866354
RAND	0.5	1.915648163
RAND	0.5	1.312215735
RAND	0.5	0.383538985
RAND	0.5	2.201898392
RAND	0.5	3.056578633
RAND	0.5	2.254652911
RAND	0.5	1.634587452
RAND	0.5	1.998880559
RAND	0.5	1.533902531
RAND	0.5	6.890010274
RAND	0.5	2.428496267
RAND	0.5	2.277004099
RAND	0.5	0.835120586
RAND	0.5	1.476605239
RAND	0.5	2.423982121
RAND	0.5	5.300317848
RAND	0.5	9.261163875
RAND	0.5	-0.071344338
RAND	0.5	2.573640505
RAND	0.5	0.416899277
RAND	0.5	3.393580009
RAND	0.5	3.733075549
RAND	0.5	1.432937236
RAND	0.5	3.815863365
RAND	0.5	1.445504769
HITRT	0.5	2.377073819
HITRT	0.5	-1.15425312
HITRT	0.5	3.607092706
HITRT	0.5	4.457935708
HITRT	0.5	7.718201742
HITRT	0.5	-0.042653927
HITRT	0.5	1.358403456
HITRT	0.5	1.385910957
HITRT	0.5	0.170900416
HITRT	0.5	3.03104647
HITRT	0.5	9.987802842
HITRT	0.5	1.610083667
HITRT	0.5	1.340695206
HITRT	0.5	7.687094263
HITRT	0.5	3.539415038
HITRT	0.5	1.841053682
HITRT	0.5	3.040695206
HITRT	0.5	9.663552969
HITRT	0.5	0.690010274
HITRT	0.5	1.669260879
HITRT	0.5	3.097441453
HITRT	0.5	4.849385979
HITRT	0.5	2.161736939
HITRT	0.5	1.964419073
HITRT	0.5	0.894515684
HITRT	0.5	7.019382603
HITRT	0.5	0.178646055
HITRT	0.5	0.075698118
HITRT	0.5	1.638840389
HITRT	0.5	0.58799696
HITRT	0.5	7.918640126
HITRT	0.5	0.594216636
HITRT	0.5	1.803239576
HITRT	0.5	2.038069197
HITRT	0.5	1.773222375
HITRT	0.5	2.315175607
HITRT	0.5	-0.09785811
HITRT	0.5	2.822173659
HITRT	0.5	1.201029631
HITRT	0.5	0.256656417
HITRT	0.5	0.240104693
HITRT	0.5	7.91769199
HITRT	0.5	5.382354728
HITRT	0.5	1.001775307
HITRT	0.5	2.005078767
HITRT	0.5	0.097438471
HITRT	0.5	8.107893812
HITRT	0.5	1.565519486
HITRT	0.5	1.72336981
HITRT	0.5	4.202828275
HITRT	0.5	5.28841046
HITRT	0.5	12.29152411
HITRT	0.5	2.573571918
HITRT	0.5	1.786866908
HITRT	0.5	1.882033021
HITRT	0.5	7.118042346
HITRT	0.5	2.08392857
HITRT	0.5	0.267742014
HITRT	0.5	4.252870167
HITRT	0.5	2.765946758
HITRT	0.5	2.973739449
HITRT	0.5	1.629991199
HITRT	0.5	1.695504769
HITRT	0.5	2.377675764
HITRT	0.5	13.21484179
HITRT	0.5	1.893222397
HITRT	0.5	1.265657038
HITRT	0.5	2.31512738
HITRT	0.5	2.550477145
HITRT	0.5	2.498194688
HITRT	0.5	4.873681565
HITRT	0.5	0.411716693
HITRT	0.5	0.241662614
HITRT	0.5	2.267978404
HITRT	0.5	0.046371756
HITRT	0.5	6.03795548
HITRT	0.5	2.355017903
HITRT	0.5	0.743736527
HITRT	0.5	3.238510001
HITRT	0.5	3.368152759
HITRT	0.5	0.912879747
HITRT	0.5	0.385448776
HITRT	0.5	1.346665476
HITRT	0.5	1.751754917
HITRT	0.5	8.682438331
HITRT	0.5	3.901816904
HITRT	0.5	9.511984037
HITRT	0.5	1.437718384
HITRT	0.5	2.193013915
HITRT	0.5	2.205621935
HITRT	0.5	3.596548438
HITRT	0.5	4.5937795
HITRT	0.5	0.98663434
HITRT	0.5	1.325626712
HITRT	0.5	0.081337918
HITRT	0.5	1.070921705
HITRT	0.5	7.949698635
HITRT	0.5	1.826867491
HITRT	0.5	0.389661315
HITRT	0.5	3.042065069
LOTRT	0.5	0.45124652
LOTRT	0.5	0.865948786
LOTRT	0.5	0.173859698
LOTRT	0.5	0.812373001
LOTRT	0.5	1.130051167
LOTRT	0.5	3.938924419
LOTRT	0.5	0.953768547
LOTRT	0.5	-0.048231919
LOTRT	0.5	9.61554567
LOTRT	0.5	2.014001865
LOTRT	0.5	0.845698242
LOTRT	0.5	16.38658402
LOTRT	0.5	0.872680285
LOTRT	0.5	0.898905482
LOTRT	0.5	1.979785182
LOTRT	0.5	6.427926419
LOTRT	0.5	1.605091508
LOTRT	0.5	4.342504589
LOTRT	0.5	0.514541662
LOTRT	0.5	6.259668155
LOTRT	0.5	0.254099017
LOTRT	0.5	2.063229471
LOTRT	0.5	3.445504769
LOTRT	0.5	0.534990839
LOTRT	0.5	6.951255123
LOTRT	0.5	0.381603571
LOTRT	0.5	3.04156148
LOTRT	0.5	2.533812209
LOTRT	0.5	5.755938504
LOTRT	0.5	4.017235864
LOTRT	0.5	1.196797102
LOTRT	0.5	0.661330524
LOTRT	0.5	3.571236545
LOTRT	0.5	2.256197076
LOTRT	0.5	5.634336403
LOTRT	0.5	0.209576019
LOTRT	0.5	2.039282781
LOTRT	0.5	1.953925517
LOTRT	0.5	5.455316284
LOTRT	0.5	0.289742517
LOTRT	0.5	3.448409903
LOTRT	0.5	-0.065752479
LOTRT	0.5	9.828153491
LOTRT	0.5	3.848380555
LOTRT	0.5	6.019005569
LOTRT	0.5	10.2041446
LOTRT	0.5	-0.219329123
LOTRT	0.5	8.099603903
LOTRT	0.5	-0.576779069
LOTRT	0.5	0.325214974
LOTRT	0.5	8.486326593
LOTRT	0.5	-0.10731414
LOTRT	0.5	2.441953262
LOTRT	0.5	1.02218347
LOTRT	0.5	0.237468894
LOTRT	0.5	8.206233442
LOTRT	0.5	5.99615605
LOTRT	0.5	-0.715595901
LOTRT	0.5	0.612759036
LOTRT	0.5	0.118526212
LOTRT	0.5	6.070556007
LOTRT	0.5	6.481448022
LOTRT	0.5	4.416960639
LOTRT	0.5	10.05512582
LOTRT	0.5	0.700440194
LOTRT	0.5	2.42279142
LOTRT	0.5	4.784579853
LOTRT	0.5	1.601479601
LOTRT	0.5	0.179259007
LOTRT	0.5	0.194830161
LOTRT	0.5	-0.268948909
LOTRT	0.5	3.878167254
LOTRT	0.5	3.716963344
LOTRT	0.5	7.809280177
LOTRT	0.5	1.135716808
LOTRT	0.5	0.97758996
LOTRT	0.5	-0.154138265
LOTRT	0.5	9.226224396
LOTRT	0.5	-0.56976094
LOTRT	0.5	11.26281275
LOTRT	0.5	7.823552969
LOTRT	0.5	2.30888272
LOTRT	0.5	0.785888568
LOTRT	0.5	3.490285949
LOTRT	0.5	1.437249557
LOTRT	0.5	13.53667935
LOTRT	0.5	8.068124502
LOTRT	0.5	1.806234754
LOTRT	0.5	11.14323613
LOTRT	0.5	6.959702924
LOTRT	0.5	1.28645074
LOTRT	0.5	0.988671024
LOTRT	0.5	5.854095154
LOTRT	0.5	2.747202781
LOTRT	0.5	1.433159467
LOTRT	0.5	0.142651786
LOTRT	0.5	5.556010736
LOTRT	0.5	6.955895618
LOTRT	0.5	6.017420941
LOTRT	0.5	0.865176989
RAND	0.75	1.107929983
RAND	0.75	5.351771247
RAND	0.75	6.29567923
RAND	0.75	5.06483173
RAND	0.75	10.7750616
RAND	0.75	1.924398218
RAND	0.75	5.21855273
RAND	0.75	4.4184596
RAND	0.75	0.29610729
RAND	0.75	3.32031319
RAND	0.75	8.646704291
RAND	0.75	2.05713356
RAND	0.75	1.24891438
RAND	0.75	7.421234868
RAND	0.75	4.57979478
RAND	0.75	4.354591932
RAND	0.75	0.44480479
RAND	0.75	3.052013913
RAND	0.75	1.1964114
RAND	0.75	1.788069197
RAND	0.75	2.52838151
RAND	0.75	1.7328549
RAND	0.75	2.08959101
RAND	0.75	1.4529272
RAND	0.75	1.423405322
RAND	0.75	9.31813779
RAND	0.75	0.972059044
RAND	0.75	0.38845532
RAND	0.75	-0.23908385
RAND	0.75	-0.847700124
RAND	0.75	9.8570107
RAND	0.75	1.501147588
RAND	0.75	2.76772031
