TREAT	INTENSITY	COLBLUM
RAND	0.5	6.871284037
RAND	0.5	0.890511685
RAND	0.5	0.8206501
RAND	0.5	0.2353904
RAND	0.5	1.561169
RAND	0.5	1.2216801
RAND	0.5	0.49132342
RAND	0.5	3.654375
RAND	0.5	9.74516
RAND	0.5	2.987831
RAND	0.5	1.6380087
RAND	0.5	1.0691695
RAND	0.5	7.879206
RAND	0.5	0.0671582
RAND	0.5	4.06032852
RAND	0.5	4.36165355
RAND	0.5	1.278906117
RAND	0.5	0.15585188
RAND	0.5	13.279313
RAND	0.5	12.786323
RAND	0.5	0.81501232
RAND	0.5	0.8571184
RAND	0.5	1.7468751
RAND	0.5	12.6849077
RAND	0.5	4.920929
RAND	0.5	1.1487988
RAND	0.5	1.71708237
RAND	0.5	9.471776529
RAND	0.5	3.256678
RAND	0.5	3.594567
RAND	0.5	2.055323
RAND	0.5	4.9554827
RAND	0.5	1.2750349
RAND	0.5	17.76169872
RAND	0.5	4.688648
RAND	0.5	1.5972623
RAND	0.5	7.180101
RAND	0.5	14.522322
RAND	0.5	2.245935
RAND	0.5	0.7208617
RAND	0.5	4.908044
RAND	0.5	2.6152312
RAND	0.5	1.375866
RAND	0.5	13.287665
RAND	0.5	1.496888
RAND	0.5	9.579411
RAND	0.5	-0.02614831
RAND	0.5	1.683006
RAND	0.5	-0.58191479
RAND	0.5	0.7600999
RAND	0.5	1.3679599
RAND	0.5	-0.85850115
RAND	0.5	12.2799704
RAND	0.5	5.0746037
RAND	0.5	-0.341411439
RAND	0.5	1.0766798
RAND	0.5	4.423056
RAND	0.5	2.6238967
RAND	0.5	1.0442779
RAND	0.5	2.0044511
RAND	0.5	8.957452
RAND	0.5	6.448677
RAND	0.5	3.6528518
RAND	0.5	2.238798
RAND	0.5	0.868636
RAND	0.5	3.5165785
RAND	0.5	3.343228
RAND	0.5	1.5736412
RAND	0.5	-0.44805339
RAND	0.5	0.5065394
RAND	0.5	0.06674596
RAND	0.5	11.416178
RAND	0.5	1.1343997
RAND	0.5	5.595131
RAND	0.5	0.2604187
RAND	0.5	2.809092
RAND	0.5	1.3063517
RAND	0.5	5.40409179
RAND	0.5	0.78067747
RAND	0.5	4.48142
RAND	0.5	1.2346251
RAND	0.5	7.069661
RAND	0.5	2.452654
RAND	0.5	1.12706
RAND	0.5	-0.902804671
RAND	0.5	3.134228
RAND	0.5	0.2679632
RAND	0.5	10.30995593
RAND	0.5	3.475602
RAND	0.5	2.739153
RAND	0.5	1.995047
RAND	0.5	1.2527513
RAND	0.5	0.929423572
RAND	0.5	2.3822138
RAND	0.5	12.63388135
RAND	0.5	-0.36932169
RAND	0.5	1.480712
RAND	0.5	4.596805
RAND	0.5	3.7664155
RAND	0.5	1.9112748
HITRT	0.5	4.479573372
HITRT	0.5	3.91903953
HITRT	0.5	1.4988685
HITRT	0.5	0.066982274
HITRT	0.5	5.081751
HITRT	0.5	0.18193108
HITRT	0.5	1.124097
