SEED	RAND_0.5	SOR_0.5	SOD_0.5	RAND_0.75	SOR_0.75	SOD_0.75	RAND_0.9	SOR_0.9	SOD_0.9
5000	455	455	480	460	455	490	455	455	585
4999	470	465	480	455	465	470	475	465	500
4998	465	465	465	460	465	475	475	465	485
4997	465	465	465	470	465	475	475	470	480
4995	470	470	470	465	465	495	525	470	495
4994	475	465	465	455	470	470	480	465	480
4993	470	465	470	465	470	480	475	470	485
4992	470	465	465	460	465	480	470	470	485
4991	455	455	470	470	455	475	460	455	485
4989	465	465	470	460	465	485	475	465	490
4988	470	465	475	465	470	475	475	470	495
4987	460	460	470	455	460	475	465	460	480
4986	455	455	465	460	455	485	460	455	525
4985	465	460	465	495	465	470	470	470	485
4984	460	460	465	465	460	470	465	460	480
4983	460	460	465	455	460	470	465	460	480
4982	465	465	480	465	465	500	470	465	485
4981	465	470	480	465	470	540	480	465	485
4980	455	455	455	460	455	460	455	455	480
4979	460	455	465	465	455	470	455	455	480
4978	470	465	475	480	465	480	470	465	490
4977	470	465	470	455	465	480	475	465	485
4976	465	460	470	475	460	470	460	460	480
4974	455	455	475	455	455	540	455	455	470
4973	460	455	465	475	455	465	460	455	480
4972	465	460	470	465	465	485	470	470	500
4971	460	460	470	475	465	480	465	465	475
4970	455	455	510	470	455	465	455	455	475
4969	470	460	465	465	460	470	465	460	470
4968	460	455	470	480	460	520	465	460	480
4967	465	465	475	455	475	490	475	470	490
4966	460	455	470	455	455	475	460	455	480
4965	465	460	465	470	460	470	470	460	480
4964	455	455	465	470	455	465	455	455	480
4963	460	460	470	465	460	475	460	460	480
4962	475	465	475	455	470	495	475	470	480
4961	460	460	480	470	460	475	470	460	485
4960	455	455	510	465	455	465	455	455	475
4959	465	460	465	455	460	470	460	460	490
4958	460	460	470	465	465	475	470	460	485
4956	460	465	465	460	460	465	465	460	480
4954	465	460	465	475	460	485	465	465	485
4953	475	465	465	490	470	515	480	470	480
4952	455	455	455	460	455	460	455	455	470
4951	465	460	465	460	465	475	475	465	495
4950	455	455	475	465	455	475	460	455	485
4949	465	465	475	470	465	470	475	465	495
4948	465	465	480	480	460	465	470	465	475
4947	470	465	470	465	470	485	475	470	485
4946	475	465	470	455	465	475	475	465	480
4945	465	465	460	460	465	470	470	460	500
4944	475	470	480	460	470	475	485	465	485
4943	455	455	485	470	455	535	455	455	470
4941	460	455	460	465	455	470	465	455	475
4940	465	465	475	465	460	470	465	460	480
4939	485	470	480	460	465	475	475	470	485
4938	465	460	470	465	460	475	465	460	480
4937	470	465	470	475	460	480	460	460	490
4935	470	465	470	470	465	475	475	465	475
4934	460	460	475	460	460	470	470	460	495
4933	455	455	545	465	455	470	455	455	480
4932	470	460	465	460	460	470	460	460	480
4931	460	460	465	470	460	470	470	460	475
4929	465	460	465	460	465	480	470	465	480
4928	475	465	475	470	480	475	480	470	495
4926	460	460	465	455	460	475	465	460	480
4925	460	460	510	475	460	470	469	460	480
4924	460	460	475	470	460	475	465	465	485
4923	465	465	475	475	465	485	475	465	485
4922	490	465	470	470	465	485	475	465	480
4921	470	465	470	465	465	470	470	465	485
4920	455	455	475	460	455	525	455	455	530
4919	460	460	470	455	460	470	465	460	485
4918	460	455	495	475	460	475	460	460	475
4917	465	460	475	470	465	480	475	465	485
4915	460	460	470	470	460	475	465	460	480
4914	460	460	475	465	460	470	465	460	490
4913	455	455	470	465	455	470	465	455	490
4912	465	465	470	460	485	470	470	475	475
4911	475	465	505	465	475	475	475	475	475
4910	465	460	470	465	475	470	470	475	475
4908	455	455	465	455	480	460	460	490	490
4907	465	460	470	460	485	470	470	490	490
4906	460	460	475	460	470	470	470	485	485
4905	485	475	470	470	470	475	475	480	480
4904	465	460	460	460	475	465	465	480	480
4903	480	465	470	470	485	470	470	490	490
4902	455	455	480	455	510	460	460	475	475
4900	465	460	460	460	470	465	465	475	475
4899	470	460	465	465	470	465	465	480	480
4898	460	470	475	470	480	480	480	480	480
4897	470	465	465	465	475	470	470	490	490
4896	465	460	465	460	480	465	465	480	480
4895	465	460	460	460	465	465	465	475	475
4894	460	455	465	455	490	460	460	535	535
4891	465	465	465	470	470	470	470	495	495
4890	470	470	465	465	475	470	470	480	480
4889	465	460	470	460	475	475	475	485	485
4888	465	460	470	460	475	460	460	480	480
4887	465	460	495	460	480	465	465	485	485
