TREATMENT	INTENSITY	CBVAL_CE1Q
RAND	_0.5	3.742065069
RAND	_0.5	3.783430335
RAND	_0.5	2.258910087
RAND	_0.5	1.015860613
RAND	_0.5	1.768480912
RAND	_0.5	1.715156333
RAND	_0.5	0.31789117
RAND	_0.5	4.20572032
RAND	_0.5	10.47451029
RAND	_0.5	11.80722388
RAND	_0.5	4.058014458
RAND	_0.5	11.68975987
RAND	_0.5	4.619778958
RAND	_0.5	0.6428809
RAND	_0.5	10.00975987
RAND	_0.5	10.10587644
RAND	_0.5	11.40751364
RAND	_0.5	0.579105789
RAND	_0.5	4.626414318
RAND	_0.5	6.476550557
RAND	_0.5	4.629334549
RAND	_0.5	10.90815196
RAND	_0.5	6.893397115
RAND	_0.5	7.341913609
RAND	_0.5	7.560494059
RAND	_0.5	1.334564744
RAND	_0.5	13.63262542
RAND	_0.5	9.226834932
RAND	_0.5	6.532501665
RAND	_0.5	7.152903164
RAND	_0.5	2.313626608
RAND	_0.5	6.515946758
RAND	_0.5	1.888361237
RAND	_0.5	13.97110097
RAND	_0.5	10.56445809
RAND	_0.5	2.773593072
RAND	_0.5	16.34924338
RAND	_0.5	10.18848702
RAND	_0.5	4.854197048
RAND	_0.5	9.700171904
RAND	_0.5	7.090166571
RAND	_0.5	10.04885391
RAND	_0.5	5.89009268
RAND	_0.5	4.304306531
RAND	_0.5	2.38801381
RAND	_0.5	8.580503389
RAND	_0.5	1.36863349
RAND	_0.5	5.201602794
RAND	_0.5	0.432290122
RAND	_0.5	1.473243193
RAND	_0.5	1.795771778
RAND	_0.5	2.540466694
RAND	_0.5	5.0540646
RAND	_0.5	5.134905105
RAND	_0.5	9.061746074
RAND	_0.5	1.127467946
RAND	_0.5	8.277296515
RAND	_0.5	9.49609653
RAND	_0.5	3.146229712
RAND	_0.5	13.26667352
RAND	_0.5	9.446577805
RAND	_0.5	12.86400251
RAND	_0.5	8.92161055
RAND	_0.5	12.01362532
RAND	_0.5	2.056455296
RAND	_0.5	7.703532849
RAND	_0.5	5.681137973
RAND	_0.5	4.918594592
RAND	_0.5	5.94570291
RAND	_0.5	5.689006513
RAND	_0.5	2.607824207
RAND	_0.5	6.235524749
RAND	_0.5	4.990773045
RAND	_0.5	12.86684142
RAND	_0.5	0.809383521
RAND	_0.5	6.361608203
RAND	_0.5	8.319101569
RAND	_0.5	8.205651534
RAND	_0.5	7.950332808
RAND	_0.5	4.340480546
RAND	_0.5	8.403190688
RAND	_0.5	8.993500949
RAND	_0.5	5.45080144
RAND	_0.5	8.150659097
RAND	_0.5	0.074760798
RAND	_0.5	10.5420551
RAND	_0.5	0.547015091
RAND	_0.5	10.19905422
RAND	_0.5	10.84061514
RAND	_0.5	8.060072722
RAND	_0.5	2.982431045
RAND	_0.5	2.793359803
RAND	_0.5	5.904295875
RAND	_0.5	4.568504468
RAND	_0.5	5.00777333
RAND	_0.5	2.732083726
RAND	_0.5	1.685781933
RAND	_0.5	5.527126178
RAND	_0.5	13.31862475
RAND	_0.5	10.54363345
RAND	_0.75	3.839166205
RAND	_0.75	1.773961539
RAND	_0.75	1.308956449
RAND	_0.75	0.211803764
RAND	_0.75	3.240219867
RAND	_0.75	5.739910534
RAND	_0.75	1.898156294
RAND	_0.75	3.423219706
RAND	_0.75	8.705413031
RAND	_0.75	3.648509645
RAND	_0.75	1.391029048
RAND	_0.75	3.858620035
RAND	_0.75	3.083160959
RAND	_0.75	-0.024434034
RAND	_0.75	8.892954649
RAND	_0.75	13.9125462
RAND	_0.75	3.209776551
RAND	_0.75	0.627486336
RAND	_0.75	2.466872318
RAND	_0.75	12.47376535
RAND	_0.75	0.711524107
RAND	_0.75	4.848780797
RAND	_0.75	3.101191122
RAND	_0.75	7.868132966
RAND	_0.75	5.771168216
RAND	_0.75	0.490789271
RAND	_0.75	3.32105317
RAND	_0.75	9.745228526
RAND	_0.75	6.467568332
RAND	_0.75	5.279758913
RAND	_0.75	2.538839036
RAND	_0.75	5.436466293
RAND	_0.75	8.266543134
RAND	_0.75	5.239178728
RAND	_0.75	11.6642799
RAND	_0.75	1.404269106
RAND	_0.75	9.468308329
RAND	_0.75	7.923153599
RAND	_0.75	10.73276259
RAND	_0.75	7.003995059
RAND	_0.75	13.66844079
RAND	_0.75	4.035736119
RAND	_0.75	3.251175975
RAND	_0.75	2.489645397
RAND	_0.75	1.27582721
RAND	_0.75	8.599493437
RAND	_0.75	-0.391972345
RAND	_0.75	8.304899856
RAND	_0.75	1.387386176
RAND	_0.75	5.51026884
RAND	_0.75	6.599231042
RAND	_0.75	6.809696674
RAND	_0.75	3.839870545
RAND	_0.75	6.218718026
RAND	_0.75	2.260640474
RAND	_0.75	0.436467568
RAND	_0.75	2.886139675
RAND	_0.75	14.04708156
RAND	_0.75	4.47758913
RAND	_0.75	6.817505767
RAND	_0.75	9.05540334
RAND	_0.75	10.13070754
RAND	_0.75	6.715455283
RAND	_0.75	8.594933048
RAND	_0.75	1.794484401
RAND	_0.75	9.365164069
RAND	_0.75	4.209849119
RAND	_0.75	7.163375168
RAND	_0.75	0.592570417
RAND	_0.75	1.789357809
RAND	_0.75	6.478624529
RAND	_0.75	6.399054219
RAND	_0.75	10.03043801
RAND	_0.75	15.88486585
RAND	_0.75	9.724376752
RAND	_0.75	9.495577822
RAND	_0.75	9.497330328
RAND	_0.75	7.465541872
RAND	_0.75	12.64933581
RAND	_0.75	8.953651131
RAND	_0.75	0.280459153
RAND	_0.75	8.006399703
RAND	_0.75	9.44677662
RAND	_0.75	11.03390638
RAND	_0.75	6.7492581
RAND	_0.75	7.654068305
RAND	_0.75	8.481481765
RAND	_0.75	8.495013642
RAND	_0.75	5.469664528
