TREATMENT	INTENSITY	CBVAL_CE1Q
RAND	_0.75	8.934685582
RAND	_0.75	4.931261422
RAND	_0.75	2.981777443
RAND	_0.75	7.333902531
RAND	_0.75	7.2501008
RAND	_0.75	1.485429927
RAND	_0.75	5.072805312
RAND	_0.75	1.743504404
RAND	_0.75	13.79528302
RAND	_0.75	9.75799983
RAND	_0.75	5.755970799
RAND	_0.9	4.137493719
RAND	_0.9	2.664857318
RAND	_0.9	4.07190793
RAND	_0.9	1.465274432
RAND	_0.9	2.300606942
RAND	_0.9	1.9109731
RAND	_0.9	2.239063175
RAND	_0.9	7.279066165
RAND	_0.9	4.326686797
RAND	_0.9	-0.012005263
RAND	_0.9	0.902184971
RAND	_0.9	9.921297261
RAND	_0.9	3.342311494
RAND	_0.9	-0.478618489
RAND	_0.9	9.484421681
RAND	_0.9	8.331256278
RAND	_0.9	8.94948538
RAND	_0.9	1.864839802
RAND	_0.9	1.725042116
RAND	_0.9	7.690198647
RAND	_0.9	2.876608725
RAND	_0.9	3.952424817
RAND	_0.9	11.10886244
RAND	_0.9	4.495593459
RAND	_0.9	4.741289813
RAND	_0.9	1.34175177
RAND	_0.9	8.70772661
RAND	_0.9	2.873635029
RAND	_0.9	3.892135023
RAND	_0.9	5.3891369
RAND	_0.9	1.261486158
RAND	_0.9	4.557383222
RAND	_0.9	1.807144756
RAND	_0.9	5.578564203
RAND	_0.9	4.470366648
RAND	_0.9	10.6556205
RAND	_0.9	10.52394264
RAND	_0.9	5.782990406
RAND	_0.9	11.07407259
RAND	_0.9	4.062916587
RAND	_0.9	7.970832192
RAND	_0.9	3.709728388
RAND	_0.9	13.119067
RAND	_0.9	1.974349595
RAND	_0.9	0.458106303
RAND	_0.9	6.797119172
RAND	_0.9	7.661188397
RAND	_0.9	0.78904741
RAND	_0.9	9.682110516
RAND	_0.9	6.30254008
RAND	_0.9	9.22862867
RAND	_0.9	-0.666379448
RAND	_0.9	1.383689078
RAND	_0.9	9.257899873
RAND	_0.9	3.014271566
RAND	_0.9	5.349085187
RAND	_0.9	11.06824643
RAND	_0.9	3.900794348
RAND	_0.9	6.306220711
RAND	_0.9	5.056776717
RAND	_0.9	8.185207144
RAND	_0.9	8.767555559
RAND	_0.9	10.52830592
RAND	_0.9	14.94342261
RAND	_0.9	8.418834693
RAND	_0.9	6.042433989
RAND	_0.9	7.026298232
RAND	_0.9	11.01485119
RAND	_0.9	6.474343773
RAND	_0.9	1.037725291
RAND	_0.9	3.212314708
RAND	_0.9	0.743888138
RAND	_0.9	10.26958912
RAND	_0.9	15.63085929
RAND	_0.9	5.980398497
RAND	_0.9	6.163104532
RAND	_0.9	3.859968534
RAND	_0.9	5.700710453
RAND	_0.9	7.400171954
RAND	_0.9	8.950461418
RAND	_0.9	8.419793082
RAND	_0.9	6.688598692
RAND	_0.9	3.508075831
RAND	_0.9	4.370203693
RAND	_0.9	3.992475316
RAND	_0.9	8.836155544
RAND	_0.9	10.40174135
RAND	_0.9	4.355948784
RAND	_0.9	12.43642014
RAND	_0.9	16.0428401
RAND	_0.9	1.612073424
RAND	_0.9	3.103279988
RAND	_0.9	7.849385979
RAND	_0.9	7.834480921
RAND	_0.9	1.314667808
RAND	_0.9	0.407369871
RAND	_0.9	2.822091595
RAND	_0.9	5.556456359
RAND	_0.9	5.101958086
RAND	_0.9	7.840171137
SOD	_0.5	4.524196683
SOD	_0.5	-0.763390779
SOD	_0.5	0.524307633
SOD	_0.5	0.134202978
SOD	_0.5	0.67176462
SOD	_0.5	0.556827881
SOD	_0.5	0.040926368
SOD	_0.5	1.828681304
SOD	_0.5	2.554542418
SOD	_0.5	-0.539050767
SOD	_0.5	-0.70680806
SOD	_0.5	1.016153165
SOD	_0.5	2.906482559
SOD	_0.5	0.193000115
SOD	_0.5	-0.012075738
SOD	_0.5	0.108742105
SOD	_0.5	-0.03149897
SOD	_0.5	-0.346993879
SOD	_0.5	6.376443996
SOD	_0.5	4.150831813
SOD	_0.5	-0.153431059
SOD	_0.5	-0.097512676
SOD	_0.5	0.156763794
SOD	_0.5	9.892873663
SOD	_0.5	0.348227074
SOD	_0.5	-0.26525216
SOD	_0.5	-0.093217815
SOD	_0.5	13.5755692
SOD	_0.5	1.047915861
SOD	_0.5	2.430060021
SOD	_0.5	1.567003382
SOD	_0.5	0.16063307
SOD	_0.5	-0.360717219
SOD	_0.5	2.180668532
SOD	_0.5	3.346722733
SOD	_0.5	-1.466785699
SOD	_0.5	0.822043231
SOD	_0.5	4.675630437
SOD	_0.5	0.262102709
SOD	_0.5	-0.217911576
SOD	_0.5	1.126143304
SOD	_0.5	-0.926842902
SOD	_0.5	0.611539321
SOD	_0.5	4.892135023
SOD	_0.5	-0.184141919
SOD	_0.5	2.295801943
SOD	_0.5	-0.690244019
SOD	_0.5	1.034776753
SOD	_0.5	-0.543447638
SOD	_0.5	-0.548174354
SOD	_0.5	0.347579168
SOD	_0.5	-1.489673875
SOD	_0.5	9.951958086
SOD	_0.5	3.360258665
SOD	_0.5	-1.422430101
SOD	_0.5	-0.086180512
SOD	_0.5	0.621242918
SOD	_0.5	-0.055718245
SOD	_0.5	-0.676686873
SOD	_0.5	-0.404844505
SOD	_0.5	6.005676
SOD	_0.5	2.110669219
SOD	_0.5	1.492209946
SOD	_0.5	-0.177767462
SOD	_0.5	-0.112648418
SOD	_0.5	1.552699029
SOD	_0.5	4.985812898
SOD	_0.5	-0.168666522
SOD	_0.5	0.031119364
SOD	_0.5	2.120789967
SOD	_0.5	-1.004532213
SOD	_0.5	5.070754447
SOD	_0.5	0.473206461
SOD	_0.5	2.349624137
SOD	_0.5	0.277599226
SOD	_0.5	0.5280753
SOD	_0.5	-0.407383081
SOD	_0.5	0.019558849
SOD	_0.5	0.330106314
SOD	_0.5	1.241883973
SOD	_0.5	0.53513923
SOD	_0.5	0.711580877
SOD	_0.5	1.030987921
SOD	_0.5	0.856350056
SOD	_0.5	-0.459926484
SOD	_0.5	1.3295283
SOD	_0.5	0.023641171
SOD	_0.5	8.620353588
SOD	_0.5	1.066504848
SOD	_0.5	-0.893794676
SOD	_0.5	2.039364824
SOD	_0.5	0.391128797
SOD	_0.5	-0.588766197
SOD	_0.5	0.920688072
SOD	_0.5	5.133845891
SOD	_0.5	-0.948232975
SOD	_0.5	1.294527707
SOD	_0.5	1.529137655
SOD	_0.5	0.255151028
SOD	_0.5	0.250339649
SOD	_0.75	5.925355747
SOD	_0.75	-1.323624848
SOD	_0.75	0.317499174
SOD	_0.75	-0.358639558
SOD	_0.75	0.965272722
SOD	_0.75	-0.30199739
SOD	_0.75	0.308931474
SOD	_0.75	1.000892654
SOD	_0.75	0.513815586
SOD	_0.75	1.365323422
SOD	_0.75	-0.781619432
SOD	_0.75	1.16624698
SOD	_0.75	4.881070016
SOD	_0.75	0.307544194
SOD	_0.75	0.141614836
SOD	_0.75	-0.271891888
SOD	_0.75	0.730155028
SOD	_0.75	-0.942844643
SOD	_0.75	9.353439188
SOD	_0.75	0.341153659
SOD	_0.75	-0.33212806
SOD	_0.75	0.024610095
SOD	_0.75	-0.213246564
SOD	_0.75	-0.084994339
SOD	_0.75	-1.023962459
SOD	_0.75	0.84422875
SOD	_0.75	1.939078925
SOD	_0.75	0.417416935
SOD	_0.75	-0.585954854
SOD	_0.75	7.393588089
SOD	_0.75	-0.457750451
SOD	_0.75	-0.971233048
SOD	_0.75	-0.201849245
SOD	_0.75	-0.39257853
SOD	_0.75	-0.28077125
SOD	_0.75	-0.68233182
SOD	_0.75	-0.595759056
SOD	_0.75	2.572647313
SOD	_0.75	0.271361684
SOD	_0.75	0.420972513
SOD	_0.75	-0.802048713
SOD	_0.75	-0.779667102
SOD	_0.75	1.060559429
SOD	_0.75	5.056493728
SOD	_0.75	-0.110924193
SOD	_0.75	3.335421182
SOD	_0.75	0.186750569
SOD	_0.75	0.847904409
SOD	_0.75	0.062766094
SOD	_0.75	-0.740452434
SOD	_0.75	0.784451595
SOD	_0.75	-0.6766156
SOD	_0.75	5.171773929
SOD	_0.75	0.880340181
SOD	_0.75	-0.976676578
SOD	_0.75	-0.428544781
SOD	_0.75	0.260198992
SOD	_0.75	-0.500832146
SOD	_0.75	-0.844233109
SOD	_0.75	-0.131429104
SOD	_0.75	0.898961539
SOD	_0.75	-0.038574344
SOD	_0.75	0.283856896
SOD	_0.75	-0.106662323
SOD	_0.75	-0.905204983
SOD	_0.75	1.676059252
SOD	_0.75	0.372205871
SOD	_0.75	-0.962975124
SOD	_0.75	0.118775697
SOD	_0.75	1.483981863
SOD	_0.75	-1.140140478
SOD	_0.75	4.673988638
SOD	_0.75	-0.32166648
SOD	_0.75	-0.78674873
SOD	_0.75	0.063307895
SOD	_0.75	-0.930323885
SOD	_0.75	0.087102709
SOD	_0.75	-0.707069612
SOD	_0.75	-0.360211771
SOD	_0.75	1.303559598
SOD	_0.75	-0.291568871
SOD	_0.75	0.552696582
SOD	_0.75	0.838618638
SOD	_0.75	0.799096325
SOD	_0.75	-0.941962208
SOD	_0.75	0.859782434
SOD	_0.75	1.411399418
SOD	_0.75	11.26964179
SOD	_0.75	0.185450996
SOD	_0.75	-0.302992662
SOD	_0.75	3.652817545
SOD	_0.75	3.344525376
SOD	_0.75	-0.193946335
SOD	_0.75	0.804170104
SOD	_0.75	7.34318783
SOD	_0.75	-0.646178271
SOD	_0.75	0.906092904
SOD	_0.75	0.513485639
SOD	_0.75	-0.951674192
SOD	_0.75	-0.735090888
SOD	_0.9	1.759547566
SOD	_0.9	0.304291518
SOD	_0.9	-0.488242854
SOD	_0.9	0.314599409
SOD	_0.9	-1.000318256
SOD	_0.9	-0.501486017
SOD	_0.9	0.404645417
SOD	_0.9	-0.351568681
SOD	_0.9	-0.714386056
SOD	_0.9	1.52207991
SOD	_0.9	0.112970081
SOD	_0.9	0.304874679
SOD	_0.9	8.587357926
SOD	_0.9	0.100112722
SOD	_0.9	-0.551689412
SOD	_0.9	-1.00649685
SOD	_0.9	-0.939131293
SOD	_0.9	-0.291162771
SOD	_0.9	4.627319205
SOD	_0.9	0.099252546
SOD	_0.9	-0.47452125
SOD	_0.9	-0.121225168
SOD	_0.9	0.242600866
SOD	_0.9	-0.379847694
SOD	_0.9	-1.008858213
SOD	_0.9	0.052787899
SOD	_0.9	0.407339465
SOD	_0.9	0.641371498
SOD	_0.9	1.101056505
SOD	_0.9	-0.282008611
SOD	_0.9	-0.461952026
SOD	_0.9	0.015500984
SOD	_0.9	0.148027321
SOD	_0.9	-0.417699533
SOD	_0.9	-0.437088803
SOD	_0.9	1.013545866
SOD	_0.9	0.122633245
SOD	_0.9	-0.648200745
SOD	_0.9	0.464685559
SOD	_0.9	-0.177420229
SOD	_0.9	0.682684111
SOD	_0.9	-0.487138498
SOD	_0.9	-0.005004483
SOD	_0.9	5.18577782
SOD	_0.9	0.187813824
SOD	_0.9	1.693591998
SOD	_0.9	1.191284415
SOD	_0.9	-0.054033729
SOD	_0.9	0.876224954
SOD	_0.9	0.083256555
SOD	_0.9	0.295737775
SOD	_0.9	0.443162713
SOD	_0.9	1.66241738
SOD	_0.9	2.134296047
SOD	_0.9	-0.141827613
SOD	_0.9	0.22260052
SOD	_0.9	0.170391684
SOD	_0.9	-0.776823869
SOD	_0.9	-0.489740107
SOD	_0.9	-1.234826408
SOD	_0.9	0.837570445
SOD	_0.9	-0.983575737
SOD	_0.9	0.270470371
SOD	_0.9	0.502112924
SOD	_0.9	0.274486465
SOD	_0.9	-0.176286851
SOD	_0.9	1.181234874
SOD	_0.9	-0.59952125
SOD	_0.9	0.462090401
SOD	_0.9	0.502821866
SOD	_0.9	0.165619018
SOD	_0.9	10.9255692
SOD	_0.9	0.849013722
SOD	_0.9	0.565501396
SOD	_0.9	0.126612095
SOD	_0.9	-0.993106846
SOD	_0.9	1.099796443
SOD	_0.9	-1.039449127
SOD	_0.9	0.06195795
SOD	_0.9	0.888790981
SOD	_0.9	1.037364142
SOD	_0.9	-0.146900868
SOD	_0.9	0.524821441
SOD	_0.9	1.119824755
SOD	_0.9	-0.096673591
SOD	_0.9	0.824846525
SOD	_0.9	-0.501050914
SOD	_0.9	0.496536731
SOD	_0.9	-0.599291316
SOD	_0.9	1.53205995
SOD	_0.9	1.688484084
SOD	_0.9	0.004237848
SOD	_0.9	0.409347508
SOD	_0.9	-0.470609791
SOD	_0.9	8.391247102
SOD	_0.9	1.085018703
SOD	_0.9	-0.549793721
SOD	_0.9	1.756320509
SOD	_0.9	-0.436441936
SOD	_0.9	-0.130813135
SOR	_0.5	4.598819686
SOR	_0.5	11.03589763
SOR	_0.5	5.564258383
SOR	_0.5	0.362946375
SOR	_0.5	7.456422866
SOR	_0.5	5.704611799
SOR	_0.5	1.516768304
SOR	_0.5	3.339589813
SOR	_0.5	4.232089634
SOR	_0.5	1.617226662
SOR	_0.5	0.999301022
SOR	_0.5	8.31060445
SOR	_0.5	2.975299228
SOR	_0.5	1.169274166
SOR	_0.5	14.41711399
SOR	_0.5	11.74887299
SOR	_0.5	3.207368427
SOR	_0.5	1.104228597
SOR	_0.5	2.589601227
SOR	_0.5	5.503476655
SOR	_0.5	0.628821468
SOR	_0.5	3.196735106
SOR	_0.5	2.094100247
SOR	_0.5	4.803708904
SOR	_0.5	1.489648611
SOR	_0.5	0.91941921
SOR	_0.5	8.17950234
SOR	_0.5	8.092342044
SOR	_0.5	6.257294612
SOR	_0.5	5.871388135
SOR	_0.5	1.519188156
SOR	_0.5	4.92369831
SOR	_0.5	6.83731807
SOR	_0.5	11.91627602
SOR	_0.5	11.38705484
SOR	_0.5	2.054776924
SOR	_0.5	11.59458745
SOR	_0.5	8.821769935
SOR	_0.5	10.56475106
SOR	_0.5	8.537927729
SOR	_0.5	7.433886869
SOR	_0.5	8.268046334
SOR	_0.5	2.746923308
SOR	_0.5	1.143018581
SOR	_0.5	2.168518002
SOR	_0.5	8.079851924
SOR	_0.5	0.620194146
SOR	_0.5	2.01300844
SOR	_0.5	1.538463778
SOR	_0.5	1.88951948
SOR	_0.5	1.382114131
SOR	_0.5	-0.025827928
SOR	_0.5	1.462530097
SOR	_0.5	6.703956005
SOR	_0.5	1.136045005
SOR	_0.5	0.387068052
SOR	_0.5	3.33896143
SOR	_0.5	10.69749513
SOR	_0.5	3.444986886
SOR	_0.5	8.504517188
SOR	_0.5	7.738069197
SOR	_0.5	5.113859595
SOR	_0.5	6.541924452
SOR	_0.5	6.437824946
SOR	_0.5	1.761209023
SOR	_0.5	9.853909562
SOR	_0.5	6.391622765
SOR	_0.5	4.938504554
SOR	_0.5	0.904170559
SOR	_0.5	2.877695156
SOR	_0.5	3.704934647
SOR	_0.5	2.361463341
SOR	_0.5	6.624800239
SOR	_0.5	14.37140253
SOR	_0.5	5.149505656
SOR	_0.5	4.45677096
SOR	_0.5	3.300324056
SOR	_0.5	6.409342958
SOR	_0.5	1.754271573
SOR	_0.5	5.038867749
SOR	_0.5	2.469893304
SOR	_0.5	8.187996545
SOR	_0.5	14.48894659
SOR	_0.5	0.907202048
SOR	_0.5	-0.125489413
SOR	_0.5	8.724167459
SOR	_0.5	0.962519492
SOR	_0.5	6.303816123
SOR	_0.5	6.97584028
SOR	_0.5	2.366296488
SOR	_0.5	3.277280451
SOR	_0.5	6.907074017
SOR	_0.5	3.260694361
SOR	_0.5	7.623905987
SOR	_0.5	0.299508749
SOR	_0.5	8.001355598
SOR	_0.5	2.57888031
SOR	_0.5	8.922563792
SOR	_0.5	11.08181203
SOR	_0.5	7.0662853
SOR	_0.75	1.909188356
SOR	_0.75	6.263698619
SOR	_0.75	5.192499634
SOR	_0.75	1.071970532
SOR	_0.75	3.122689604
SOR	_0.75	9.371994043
SOR	_0.75	1.04335188
SOR	_0.75	1.687909417
SOR	_0.75	1.403190688
SOR	_0.75	9.007564246
SOR	_0.75	2.195864337
SOR	_0.75	7.201084119
SOR	_0.75	1.595184182
SOR	_0.75	-0.198071936
SOR	_0.75	5.127327945
SOR	_0.75	10.92664858
SOR	_0.75	2.38951948
SOR	_0.75	2.805233795
SOR	_0.75	2.13030988
SOR	_0.75	3.057513642
SOR	_0.75	5.049708096
SOR	_0.75	6.322409357
SOR	_0.75	3.774837996
SOR	_0.75	1.818922244
SOR	_0.75	4.446768495
SOR	_0.75	0.458559824
SOR	_0.75	2.076574614
SOR	_0.75	6.935153706
SOR	_0.75	1.43017954
SOR	_0.75	7.435836261
SOR	_0.75	3.397216724
SOR	_0.75	6.047837946
SOR	_0.75	0.077163889
SOR	_0.75	2.908963172
SOR	_0.75	5.219625655
SOR	_0.75	6.765897546
SOR	_0.75	6.896631227
SOR	_0.75	4.577681507
SOR	_0.75	7.155594502
SOR	_0.75	6.192235898
SOR	_0.75	6.954050606
SOR	_0.75	7.8076661
SOR	_0.75	1.945095514
SOR	_0.75	-0.354864033
SOR	_0.75	0.944540417
SOR	_0.75	6.808597505
SOR	_0.75	0.818317588
SOR	_0.75	-0.380025125
SOR	_0.75	0.037033982
SOR	_0.75	3.004605864
SOR	_0.75	0.825519477
SOR	_0.75	2.953929809
SOR	_0.75	1.155966762
SOR	_0.75	6.505202516
SOR	_0.75	8.691801119
SOR	_0.75	0.463387923
SOR	_0.75	7.923171807
SOR	_0.75	7.792379894
SOR	_0.75	3.804338751
SOR	_0.75	5.093562888
SOR	_0.75	5.214762952
SOR	_0.75	6.748977797
SOR	_0.75	3.19087719
SOR	_0.75	3.977882399
SOR	_0.75	2.677796112
SOR	_0.75	2.167708328
SOR	_0.75	3.62865245
SOR	_0.75	1.506701984
SOR	_0.75	3.480917266
SOR	_0.75	5.985590216
SOR	_0.75	6.261511921
SOR	_0.75	1.60230722
SOR	_0.75	10.2600465
SOR	_0.75	9.613780955
SOR	_0.75	2.066651465
SOR	_0.75	11.80876444
SOR	_0.75	7.948667558
SOR	_0.75	7.451844996
SOR	_0.75	4.764227952
SOR	_0.75	8.465696803
SOR	_0.75	4.33522987
SOR	_0.75	8.83765022
SOR	_0.75	3.893490244
SOR	_0.75	5.367118014
SOR	_0.75	0.097777296
SOR	_0.75	9.410399357
SOR	_0.75	0.915339914
SOR	_0.75	3.640533109
SOR	_0.75	3.025550074
SOR	_0.75	3.300964413
SOR	_0.75	0.530422305
SOR	_0.75	3.061944336
SOR	_0.75	7.498696306
SOR	_0.75	2.842625271
SOR	_0.75	0.747353538
SOR	_0.75	6.270342966
SOR	_0.75	0.482000444
SOR	_0.75	6.95516051
SOR	_0.75	10.70611298
SOR	_0.75	9.084322901
SOR	_0.9	0.220970679
SOR	_0.9	7.345780888
SOR	_0.9	2.359883061
SOR	_0.9	0.725203562
SOR	_0.9	1.451678291
SOR	_0.9	3.433384299
SOR	_0.9	1.2016561
SOR	_0.9	2.216370441
SOR	_0.9	0.86354256
SOR	_0.9	2.171799003
SOR	_0.9	1.222872979
SOR	_0.9	6.333148444
SOR	_0.9	1.445935377
SOR	_0.9	0.878327052
SOR	_0.9	9.473415407
SOR	_0.9	6.138574343
SOR	_0.9	3.167022265
SOR	_0.9	3.346155022
SOR	_0.9	1.063552969
SOR	_0.9	-0.085579802
SOR	_0.9	10.41985041
SOR	_0.9	5.166481777
SOR	_0.9	4.350833221
SOR	_0.9	1.926648581
SOR	_0.9	5.263982877
SOR	_0.9	1.688095798
SOR	_0.9	0.541489511
SOR	_0.9	2.820554085
SOR	_0.9	2.647849649
SOR	_0.9	4.661052945
SOR	_0.9	0.585601776
SOR	_0.9	5.389263048
SOR	_0.9	6.738608052
SOR	_0.9	-0.044056644
SOR	_0.9	4.583265633
SOR	_0.9	0.214835294
SOR	_0.9	6.585422954
SOR	_0.9	2.105709236
SOR	_0.9	4.728170871
SOR	_0.9	7.118624753
SOR	_0.9	6.942493639
SOR	_0.9	9.826198619
SOR	_0.9	1.538494289
SOR	_0.9	0.895643282
SOR	_0.9	1.558676362
SOR	_0.9	2.60746249
SOR	_0.9	9.264699807
SOR	_0.9	4.244860807
SOR	_0.9	-0.195583583
SOR	_0.9	3.801719963
SOR	_0.9	2.729368762
SOR	_0.9	3.165525404
SOR	_0.9	0.178578776
SOR	_0.9	6.102687592
SOR	_0.9	3.090834126
SOR	_0.9	8.610140646
SOR	_0.9	3.577790648
SOR	_0.9	6.652518486
SOR	_0.9	2.29620303
SOR	_0.9	4.60999036
SOR	_0.9	3.388640411
SOR	_0.9	2.889458086
SOR	_0.9	7.04704512
SOR	_0.9	8.033508088
SOR	_0.9	5.35805027
SOR	_0.9	5.260941344
SOR	_0.9	4.86029142
SOR	_0.9	1.126116537
SOR	_0.9	3.892399549
SOR	_0.9	3.554618132
SOR	_0.9	1.366061049
SOR	_0.9	0.918414415
SOR	_0.9	5.798204238
SOR	_0.9	7.744634949
SOR	_0.9	-0.263521951
SOR	_0.9	4.690744298
SOR	_0.9	7.038061409
SOR	_0.9	7.378035728
SOR	_0.9	10.16029142
SOR	_0.9	1.293320529
SOR	_0.9	6.928264362
SOR	_0.9	3.011928082
SOR	_0.9	1.718909058
SOR	_0.9	1.553313466
SOR	_0.9	-0.000837785
SOR	_0.9	10.36419932
SOR	_0.9	5.900508918
SOR	_0.9	0.275497551
SOR	_0.9	7.217802369
SOR	_0.9	1.336194245
SOR	_0.9	3.275570664
SOR	_0.9	3.881699077
SOR	_0.9	11.58231483
SOR	_0.9	6.918292035
SOR	_0.9	0.169346326
SOR	_0.9	6.635507582
SOR	_0.9	1.161406674
SOR	_0.9	5.182105828
SOR	_0.9	7.878243765
SOR	_0.9	6.477952532
