SEED	RAND_0.9 CSR TIME	RAND_0.9 CSR/END 1QTR	RAND_0.9 CSR/END MID	RAND_0.9 CSR/END 3QTR	RAND_0.75 CSR TIME	RAND_0.75 CSR/END 1QTR	RAND_0.75 CSR/END MID	RAND_0.75 CSR/END 3QTR	RAND_0.5 CSR TIME	RAND_0.5 CSR TIME	RAND_0.5 CSR/END 1QTR	RAND_0.5 CSR/END MID	SOD_0.9 CSR TIME	SOD_0.9 CSR/END 1QTR	SOD_0.9 CSR/END MID	SOD_0.9 CSR/END 3QTR	SOD_0.75 CSR TIME	SOD_0.75 CSR/END 1QTR	SOD_0.75 CSR/END MID	SOD_0.75 CSR/END 3QTR	SOD_0.5 CSR TIME	SOD_0.5 CSR/END 1QTR	SOD_0.5 CSR/END MID	SOD_0.5 CSR/END 3QTR	SOR_0.9 CSR TIME	SOR_0.9 CSR/END 1QTR	SOR_0.9 CSR/END MID	SOR_0.9 CSR/END 3QTR	SOR_0.75 CSR TIME	SOR_0.75 CSR/END 1QTR	SOR_0.75 CSR/END MID	SOR_0.75 CSR/END 3QTR	SOR_0.5 CSR TIME	SOR_0.5 CSR/END 1QTR	SOR_0.5 CSR/END MID	SOR_0.5 CSR/END 3QTR
4988	345	410	475	540	345	410	475	540	340	405	470	535	385	440	495	550	350	415	475	540	345	410	475	540	340	405	470	535	335	405	470	535	330	400	465	535
4987	330	400	465	535	325	395	465	535	315	390	460	530	360	420	480	540	345	410	475	540	335	405	470	535	320	390	460	530	320	390	460	530	315	390	460	530
4986	315	390	460	530	310	385	455	530	310	385	455	530	450	490	525	565	370	430	485	545	330	400	465	535	310	385	455	530	305	380	455	530	305	380	455	530
4985	335	405	470	535	355	420	480	540	325	395	465	535	370	430	485	545	335	405	470	535	330	400	465	535	335	405	470	535	330	400	465	535	320	390	460	530
4984	330	400	465	535	325	395	465	535	315	390	460	530	360	420	480	540	335	405	470	535	330	400	465	535	320	390	460	530	315	390	460	530	315	390	460	530
4983	325	395	465	535	330	400	465	535	315	390	460	530	360	420	480	540	340	405	470	535	330	400	465	535	315	390	460	530	315	390	460	530	315	390	460	530
4982	340	405	470	535	335	405	470	535	325	395	465	535	370	430	485	545	400	450	500	550	355	420	480	540	325	395	465	535	325	395	465	535	325	395	465	535
4981	360	420	480	540	345	410	475	540	330	400	465	535	365	425	485	545	355	420	480	540	355	420	480	540	330	400	465	535	340	405	470	535	335	405	470	535
4980	310	385	455	530	310	385	455	530	310	385	455	530	360	420	480	540	320	390	460	530	310	385	455	530	310	385	455	530	305	380	455	530	305	380	455	530
4979	310	385	455	530	310	385	455	530	315	390	460	530	355	420	480	540	340	405	470	535	325	395	465	535	305	380	455	530	305	380	455	530	305	380	455	530
4978	340	405	470	535	340	405	470	535	335	405	470	535	375	435	490	545	355	420	480	540	345	410	475	540	325	395	465	535	325	395	465	535	325	395	465	535
4977	345	410	475	540	340	405	470	535	335	405	470	535	365	425	485	545	360	420	480	540	335	405	470	535	325	395	465	535	325	395	465	535	330	400	465	535
4976	320	390	460	530	320	390	460	530	325	395	465	535	355	420	480	540	335	405	470	535	335	405	470	535	320	390	460	530	320	390	460	530	315	390	460	530
4974	310	385	455	530	310	385	455	530	310	385	455	530	340	405	470	535	330	400	465	535	350	415	475	540	305	380	455	530	305	380	455	530	305	380	455	530
4973	320	390	460	530	320	390	460	530	315	390	460	530	355	420	480	540	330	400	465	535	330	400	465	535	310	385	455	530	310	385	455	530	310	385	455	530
4972	340	405	470	535	335	405	470	535	330	400	465	535	395	450	500	550	365	425	485	545	335	405	470	535	335	405	470	535	330	400	465	535	315	390	460	530
4971	330	400	465	535	330	400	465	535	320	390	460	530	350	415	475	540	355	420	480	540	340	405	470	535	325	395	465	535	325	395	465	535	320	390	460	530
4970	310	385	455	530	310	385	455	530	310	385	455	530	350	415	475	540	330	400	465	535	415	465	510	555	305	380	455	530	305	380	455	530	310	385	455	530
4969	330	400	465	535	325	395	465	535	335	405	470	535	340	405	470	535	335	405	470	535	330	400	465	535	320	390	460	530	320	390	460	530	320	390	460	530
4968	325	395	465	535	315	390	460	530	315	390	460	530	355	420	480	540	440	480	520	560	335	405	470	535	315	390	460	530	315	390	460	530	310	385	455	530
4967	350	415	475	540	340	405	470	535	325	395	465	535	375	435	490	545	380	435	490	545	350	415	475	540	340	405	470	535	345	410	475	540	330	400	465	535
4966	320	390	460	530	315	390	460	530	315	390	460	530	360	420	480	540	350	415	475	540	335	405	470	535	310	385	455	530	310	385	455	530	310	385	455	530
4965	335	405	470	535	330	400	465	535	330	400	465	535	360	420	480	540	340	405	470	535	330	400	465	535	320	390	460	530	320	390	460	530	320	390	460	530
4964	310	385	455	530	310	385	455	530	310	385	455	530	360	420	480	540	330	400	465	535	330	400	465	535	305	380	455	530	305	380	455	530	305	380	455	530
4963	315	390	460	530	320	390	460	530	320	390	460	530	360	420	480	540	345	410	475	540	335	405	470	535	320	390	460	530	315	390	460	530	315	390	460	530
4962	350	415	475	540	385	440	495	550	350	415	475	540	355	420	480	540	390	445	495	550	350	415	475	540	335	405	470	535	340	405	470	535	325	395	465	535
4961	335	405	470	535	325	395	465	535	320	390	460	530	365	425	485	545	345	410	475	540	360	420	480	540	315	390	460	530	320	390	460	530	315	390	460	530
4960	310	385	455	530	310	385	455	530	310	385	455	530	350	415	475	540	325	395	465	535	415	465	510	555	305	380	455	530	305	380	455	530	305	380	455	530
4959	320	390	460	530	325	395	465	535	325	395	465	535	380	435	490	545	335	405	470	535	330	400	465	535	320	390	460	530	320	390	460	530	320	390	460	530
4958	340	405	470	535	325	395	465	535	320	390	460	530	370	430	485	545	350	415	475	540	340	405	470	535	320	390	460	530	325	395	465	535	320	390	460	530
4956	325	395	465	535	320	390	460	530	320	390	460	530	355	420	480	540	330	400	465	535	325	395	465	535	320	390	460	530	315	390	460	530	325	395	465	535
4954	330	400	465	535	330	400	465	535	325	395	465	535	365	425	485	545	365	425	485	545	325	395	465	535	325	395	465	535	320	390	460	530	315	390	460	530
4953	360	420	480	540	360	420	480	540	350	415	475	540	360	420	480	540	430	475	515	560	325	395	465	535	335	405	470	535	335	405	470	535	325	395	465	535
4952	310	385	455	530	310	385	455	530	310	385	455	530	335	405	470	535	315	390	460	530	310	385	455	530	310	385	455	530	305	380	455	530	305	380	455	530
4951	345	410	475	540	345	410	475	540	330	400	465	535	390	445	495	550	350	415	475	540	330	400	465	535	325	395	465	535	330	400	465	535	320	390	460	530
4950	315	390	460	530	310	385	455	530	310	385	455	530	365	425	485	545	345	410	475	540	345	410	475	540	310	385	455	530	310	385	455	530	310	385	455	530
4949	345	410	475	540	345	410	475	540	330	400	465	535	385	440	495	550	340	405	470	535	345	410	475	540	330	400	465	535	330	400	465	535	330	400	465	535
4948	340	405	470	535	330	400	465	535	330	400	465	535	350	415	475	540	330	400	465	535	360	420	480	540	325	395	465	535	320	390	460	530	325	395	465	535
4947	350	415	475	540	345	410	475	540	335	405	470	535	370	430	485	545	370	430	485	545	340	405	470	535	335	405	470	535	335	405	470	535	330	400	465	535
4946	345	410	475	540	340	405	470	535	345	410	475	540	360	420	480	540	345	410	475	540	335	405	470	535	330	400	465	535	330	400	465	535	330	400	465	535
4945	335	405	470	535	330	400	465	535	325	395	465	535	395	450	500	550	335	405	470	535	320	390	460	530	320	390	460	530	325	395	465	535	330	400	465	535
4944	365	425	485	545	355	420	480	540	345	410	475	540	370	430	485	545	350	415	475	540	360	420	480	540	330	400	465	535	335	405	470	535	340	405	470	535
4943	310	385	455	530	310	385	455	530	310	385	455	530	340	405	470	535	465	500	535	570	365	425	485	545	310	385	455	530	305	380	455	530	305	380	455	530
4941	325	395	465	535	310	385	455	530	315	390	460	530	350	415	475	540	335	405	470	535	320	390	460	530	310	385	455	530	310	385	455	530	310	385	455	530
4940	330	400	465	535	340	405	470	535	325	395	465	535	355	420	480	540	340	405	470	535	345	410	475	540	320	390	460	530	320	390	460	530	325	395	465	535
4939	350	415	475	540	340	405	470	535	370	430	485	545	370	430	485	545	345	410	475	540	355	420	480	540	335	405	470	535	330	400	465	535	340	405	470	535
4938	330	400	465	535	325	395	465	535	325	395	465	535	355	420	480	540	350	415	475	540	335	405	470	535	320	390	460	530	320	390	460	530	315	390	460	530
4937	315	390	460	530	310	385	455	530	335	405	470	535	380	435	490	545	355	420	480	540	335	405	470	535	315	390	460	530	315	390	460	530	325	395	465	535
4935	345	410	475	540	340	405	470	535	335	405	470	535	345	410	475	540	350	415	475	540	335	405	470	535	325	395	465	535	330	400	465	535	330	400	465	535
4934	335	405	470	535	325	395	465	535	320	390	460	530	385	440	495	550	340	405	470	535	350	415	475	540	320	390	460	530	320	390	460	530	320	390	460	530
4933	310	385	455	530	310	385	455	530	310	385	455	530	355	420	480	540	335	405	470	535	490	520	545	575	305	380	455	530	305	380	455	530	305	380	455	530
4932	320	390	460	530	330	400	465	535	335	405	470	535	355	420	480	540	340	405	470	535	325	395	465	535	320	390	460	530	320	390	460	530	320	390	460	530
4931	335	405	470	535	320	390	460	530	320	390	460	530	350	415	475	540	335	405	470	535	325	395	465	535	315	390	460	530	315	390	460	530	315	390	460	530
4929	335	405	470	535	345	410	475	540	330	400	465	535	355	420	480	540	355	420	480	540	330	400	465	535	325	395	465	535	325	395	465	535	320	390	460	530
4928	355	420	480	540	375	435	490	545	345	410	475	540	385	440	495	550	345	410	475	540	345	410	475	540	335	405	470	535	355	420	480	540	330	400	465	535
4926	325	395	465	535	320	390	460	530	315	390	460	530	360	420	480	540	350	415	475	540	325	395	465	535	315	390	460	530	315	390	460	530	315	390	460	530
4925	335	400	470	535	320	390	460	530	320	390	460	530	355	420	480	540	340	405	470	535	420	465	510	555	315	390	460	530	315	390	460	530	315	390	460	530
4924	330	400	465	535	330	400	465	535	320	390	460	530	370	430	485	545	345	410	475	540	345	410	475	540	330	400	465	535	320	390	460	530	320	390	460	530
4923	345	410	475	540	340	405	470	535	330	400	465	535	365	425	485	545	370	430	485	545	345	410	475	540	325	395	465	535	325	395	465	535	325	395	465	535
4922	345	410	475	540	355	420	480	540	375	435	490	545	360	420	480	540	365	425	485	545	335	405	470	535	330	400	465	535	330	400	465	535	325	395	465	535
4921	340	405	470	535	330	400	465	535	340	405	470	535	370	430	485	545	340	405	470	535	335	405	470	535	330	400	465	535	325	395	465	535	330	400	465	535
4920	310	385	455	530	310	385	455	530	310	385	455	530	455	495	530	565	445	485	525	565	350	415	475	540	310	385	455	530	305	380	455	530	305	380	455	530
4919	325	395	465	535	315	390	460	530	320	390	460	530	365	425	485	545	335	405	470	535	335	405	470	535	315	390	460	530	315	390	460	530	315	390	460	530
4918	320	390	460	530	320	390	460	530	315	390	460	530	350	415	475	540	350	415	475	540	385	440	495	550	315	390	460	530	315	390	460	530	310	385	455	530
4917	345	410	475	540	340	405	470	535	330	400	465	535	365	425	485	545	360	420	480	540	345	410	475	540	325	395	465	535	325	395	465	535	315	390	460	530
4915	325	395	465	535	325	395	465	535	320	390	460	530	360	420	480	540	345	410	475	540	335	405	470	535	320	390	460	530	315	390	460	530	315	390	460	530
4914	330	400	465	535	325	395	465	535	320	390	460	530	375	435	490	545	340	405	470	535	345	410	475	540	320	390	460	530	320	390	460	530	320	390	460	530
4913	330	400	465	535	320	390	460	530	310	385	455	530	380	435	490	545	340	405	470	535	340	405	470	535	310	385	455	530	310	385	455	530	310	385	455	530
4912	340	405	470	535	330	400	465	535	330	400	465	535	350	415	475	540	370	430	485	545	340	405	470	535	325	395	465	535	320	390	460	530	325	395	465	535
4911	350	415	475	540	350	415	475	540	345	410	475	540	345	410	475	540	345	410	475	540	410	460	505	555	330	400	465	535	325	395	465	535	325	395	465	535
4910	335	405	470	535	335	405	470	535	325	395	465	535	350	415	475	540	350	415	475	540	335	405	470	535	330	400	465	535	325	395	465	535	320	390	460	530
4908	315	390	460	530	320	390	460	530	310	385	455	530	380	435	490	545	355	420	480	540	330	400	465	535	310	385	455	530	310	385	455	530	310	385	455	530
4907	340	405	470	535	325	395	465	535	325	395	465	535	375	435	490	545	370	430	485	545	335	405	470	535	325	395	465	535	320	390	460	530	320	390	460	530
4906	335	405	470	535	320	390	460	530	320	390	460	530	365	425	485	545	335	405	470	535	345	410	475	540	320	390	460	530	320	390	460	530	320	390	460	530
4905	350	415	475	540	335	405	470	535	365	425	485	545	355	420	480	540	340	405	470	535	335	405	470	535	335	405	470	535	335	405	470	535	345	410	475	540
4904	330	400	465	535	320	390	460	530	325	395	465	535	355	420	480	540	350	415	475	540	320	390	460	530	315	390	460	530	320	390	460	530	320	390	460	530
4903	335	405	470	535	340	405	470	535	360	420	480	540	375	435	490	545	365	425	485	545	335	405	470	535	330	400	465	535	335	405	470	535	325	395	465	535
4902	315	390	460	530	310	385	455	530	310	385	455	530	345	410	475	540	420	465	510	555	355	420	480	540	310	385	455	530	310	385	455	530	310	385	455	530
4900	330	400	465	535	350	415	475	540	325	395	465	535	345	410	475	540	335	405	470	535	320	390	460	530	320	390	460	530	320	390	460	530	320	390	460	530
4899	330	400	465	535	335	405	470	535	340	405	470	535	355	420	480	540	340	405	470	535	330	400	465	535	325	395	465	535	325	395	465	535	320	390	460	530
4898	360	420	480	540	345	410	475	540	320	390	460	530	360	420	480	540	360	420	480	540	345	410	475	540	335	405	470	535	335	405	470	535	335	405	470	535
4897	340	405	470	535	335	405	470	535	340	405	470	535	380	435	490	545	345	410	475	540	325	395	465	535	330	400	465	535	325	395	465	535	330	400	465	535
4896	330	400	465	535	325	395	465	535	330	400	465	535	360	420	480	540	355	420	480	540	330	400	465	535	320	390	460	530	320	390	460	530	320	390	460	530
4895	325	395	465	535	320	390	460	530	325	395	465	535	350	415	475	540	330	400	465	535	320	390	460	530	315	390	460	530	320	390	460	530	315	390	460	530
4894	315	390	460	530	310	385	455	530	315	390	460	530	465	500	535	570	380	435	490	545	330	400	465	535	310	385	455	530	310	385	455	530	305	380	455	530
4891	340	405	470	535	345	410	475	540	330	400	465	535	390	445	495	550	335	405	470	535	330	400	465	535	330	400	465	535	335	405	470	535	330	400	465	535
4890	340	405	470	535	335	405	470	535	335	405	470	535	360	420	480	540	345	410	475	540	330	400	465	535	330	400	465	535	330	400	465	535	335	405	470	535
4889	345	410	475	540	335	405	470	535	330	400	465	535	365	425	485	545	350	415	475	540	335	405	470	535	320	390	460	530	315	390	460	530	315	390	460	530
4888	320	390	460	530	325	395	465	535	330	400	465	535	355	420	480	540	345	410	475	540	335	405	470	535	315	390	460	530	315	390	460	530	315	390	460	530
4887	330	400	465	535	325	395	465	535	330	400	465	535	370	430	485	545	355	420	480	540	385	440	495	550	325	395	465	535	320	390	460	530	315	390	460	530
