SEED	RAND_0.9 CSR TIME	RAND_0.9 CSR/END 1QTR	RAND_0.9 CSR/END MID	RAND_0.9 CSR/END 3QTR	RAND_0.75 CSR TIME	RAND_0.75 CSR/END 1QTR	RAND_0.75 CSR/END MID	RAND_0.75 CSR/END 3QTR	RAND_0.5 CSR TIME	RAND_0.5 CSR TIME	RAND_0.5 CSR/END 1QTR	RAND_0.5 CSR/END MID	SOD_0.9 CSR TIME	SOD_0.9 CSR/END 1QTR	SOD_0.9 CSR/END MID	SOD_0.9 CSR/END 3QTR	SOD_0.75 CSR TIME	SOD_0.75 CSR/END 1QTR	SOD_0.75 CSR/END MID	SOD_0.75 CSR/END 3QTR	SOD_0.5 CSR TIME	SOD_0.5 CSR/END 1QTR	SOD_0.5 CSR/END MID	SOD_0.5 CSR/END 3QTR	SOR_0.9 CSR TIME	SOR_0.9 CSR/END 1QTR	SOR_0.9 CSR/END MID	SOR_0.9 CSR/END 3QTR	SOR_0.75 CSR TIME	SOR_0.75 CSR/END 1QTR	SOR_0.75 CSR/END MID	SOR_0.75 CSR/END 3QTR	SOR_0.5 CSR TIME	SOR_0.5 CSR/END 1QTR	SOR_0.5 CSR/END MID	SOR_0.5 CSR/END 3QTR
5000	310	385	455	530	310	385	455	530	310	385	455	530	370	430	485	545	375	435	490	545	355	420	480	540	310	385	455	530	305	380	455	530	305	380	455	530
4999	345	410	475	540	340	405	470	535	335	405	470	535	395	450	500	550	335	405	470	535	360	420	480	540	325	395	465	535	330	400	465	535	330	400	465	535
4998	350	415	475	540	345	410	475	540	330	400	465	535	365	425	485	545	345	410	475	540	330	400	465	535	330	400	465	535	325	395	465	535	330	400	465	535
4997	345	410	475	540	335	405	470	535	330	400	465	535	360	420	480	540	345	410	475	540	330	400	465	535	335	405	470	535	330	400	465	535	325	395	465	535
4995	375	435	490	545	340	405	470	535	335	405	470	535	385	440	495	550	385	440	495	550	340	405	470	535	335	405	470	535	330	400	465	535	335	405	470	535
4994	355	420	480	540	335	405	470	535	350	415	475	540	360	420	480	540	340	405	470	535	330	400	465	535	330	400	465	535	335	405	470	535	330	400	465	535
4993	350	415	475	540	345	410	475	540	335	405	470	535	370	430	485	545	355	420	480	540	340	405	470	535	335	405	470	535	340	405	470	535	330	400	465	535
4992	335	405	470	535	335	405	470	535	335	405	470	535	365	425	485	545	360	420	480	540	330	400	465	535	335	405	470	535	330	400	465	535	330	400	465	535
4991	315	390	460	530	315	390	460	530	310	385	455	530	365	425	485	545	345	410	475	540	335	405	470	535	310	385	455	530	310	385	455	530	310	385	455	530
4989	345	410	475	540	340	405	470	535	330	400	465	535	380	435	490	545	365	425	485	545	335	405	470	535	325	395	465	535	325	395	465	535	325	395	465	535
