SEED	RAND_0.5	SOR_0.5	SOD_0.5	RAND_0.75	SOR_0.75	SOD_0.75	RAND_0.9	SOR_0.9	SOD_0.9
5000	310	305	355	310	305	375	310	310	565
4999	335	330	360	340	330	335	345	325	395
4998	330	330	330	345	325	345	350	330	365
4997	330	325	330	335	330	345	345	335	360
4995	335	335	340	340	330	385	450	335	385
4994	350	330	330	335	335	340	355	330	360
4993	335	330	340	345	340	355	350	335	370
4992	335	330	330	335	330	360	335	335	365
4991	310	310	335	315	310	345	315	310	365
4989	330	325	335	340	325	365	345	325	380
4988	340	330	345	345	335	350	345	340	385
4987	315	315	335	325	320	345	330	320	360
4986	310	305	330	310	305	370	315	310	450
4985	325	320	330	355	330	335	335	335	370
4984	315	315	330	325	315	335	330	320	360
4983	315	315	330	330	315	340	325	315	360
4982	325	325	355	335	325	400	340	325	370
4981	330	335	355	345	340	480	360	330	365
4980	310	305	310	310	305	320	310	310	360
4979	315	305	325	310	305	340	310	305	355
4978	335	325	345	340	325	355	340	325	375
4977	335	330	335	340	325	360	345	325	365
4976	325	315	335	320	320	335	320	320	355
4974	310	305	350	310	305	480	310	305	340
4973	315	310	330	320	310	330	320	310	355
4972	330	315	335	335	330	365	340	335	395
4971	320	320	340	330	325	355	330	325	350
4970	310	310	415	310	305	330	310	305	350
4969	335	320	330	325	320	335	330	320	340
4968	315	310	335	315	315	440	325	315	355
4967	325	330	350	340	345	380	350	340	375
4966	315	310	335	315	310	350	320	310	360
4965	330	320	330	330	320	340	335	320	360
4964	310	305	330	310	305	330	310	305	360
4963	320	315	335	320	315	345	315	320	360
4962	350	325	350	385	340	390	350	335	355
4961	320	315	360	325	320	345	335	315	365
4960	310	305	415	310	305	325	310	305	350
4959	325	320	330	325	320	335	320	320	380
4958	320	320	340	325	325	350	340	320	370
4956	320	325	325	320	315	330	325	320	355
4954	325	315	325	330	320	365	330	325	365
4953	350	325	325	360	335	430	360	335	360
4952	310	305	310	310	305	315	310	310	335
4951	330	320	330	345	330	350	345	325	390
4950	310	310	345	310	310	345	315	310	365
4949	330	330	345	345	330	340	345	330	385
4948	330	325	360	330	320	330	340	325	350
4947	335	330	340	345	335	370	350	335	370
4946	345	330	335	340	330	345	345	330	360
4945	325	330	320	330	325	335	335	320	395
4944	345	340	360	355	335	350	365	330	370
4943	310	305	365	310	305	465	310	310	340
4941	315	310	320	310	310	335	325	310	350
4940	325	325	345	340	320	340	330	320	355
4939	370	340	355	340	330	345	350	335	370
4938	325	315	335	325	320	350	330	320	355
4937	335	325	335	310	315	355	315	315	380
4935	335	330	335	340	330	350	345	325	345
4934	320	320	350	325	320	340	335	320	385
4933	310	305	490	310	305	335	310	305	355
4932	335	320	325	330	320	340	320	320	355
4931	320	315	325	320	315	335	335	315	350
4929	330	320	330	345	325	355	335	325	355
4928	345	330	345	375	355	345	355	335	385
4926	315	315	325	320	315	350	325	315	360
4925	320	315	420	320	315	340	330	315	355
4924	320	320	345	330	320	345	330	330	370
4923	330	325	345	340	325	370	345	325	365
4922	375	325	335	355	330	365	345	330	360
4921	340	330	335	330	325	340	340	330	370
4920	310	305	350	310	305	445	310	310	455
4919	320	315	335	315	315	335	325	315	365
4918	315	310	385	320	315	350	320	315	350
4917	330	315	345	340	325	360	345	325	365
4915	320	315	335	325	315	345	325	320	360
4914	320	320	345	325	320	340	330	320	375
4913	310	310	340	320	310	340	330	310	380
4912	330	325	340	330	320	370	340	325	350
4911	345	325	410	350	325	345	350	330	345
4910	325	320	335	335	325	350	335	330	350
4908	310	310	330	320	310	355	315	310	380
4907	325	320	335	325	320	370	340	325	375
4906	320	320	345	320	320	335	335	320	365
4905	365	345	335	335	335	340	350	335	355
4904	325	320	320	320	320	350	330	315	355
4903	360	325	335	340	335	365	335	330	375
4902	310	310	355	310	310	420	315	310	345
4900	325	320	320	350	320	335	330	320	345
4899	340	320	330	335	325	340	330	325	355
4898	320	335	345	345	335	360	360	335	360
4897	340	330	325	335	325	345	340	330	380
4896	330	320	330	325	320	355	330	320	360
4895	325	315	320	320	320	330	325	315	350
4894	315	305	330	310	310	380	315	310	465
4891	330	330	330	345	335	335	340	330	390
4890	335	335	330	335	330	345	340	330	360
4889	330	315	335	335	315	350	345	320	365
4888	330	315	335	325	315	345	320	315	355
4887	330	315	385	325	320	355	330	325	370
