"","dwc:scientificname","dwc:measurementtype","dwc:measurementvalue","units"
"1","Cocos nucifera","http://rs.tdwg.org/dwc/terms/decimalLongitude","69.5","degrees"
"2","Cocos nucifera","http://rs.tdwg.org/dwc/terms/decimalLongitude","69.5","degrees"
"3","Cocos nucifera","http://rs.tdwg.org/dwc/terms/decimalLatitude","22.6","degrees"
"4","Cocos nucifera","http://rs.tdwg.org/dwc/terms/decimalLatitude","22.6","degrees"
"5","Cocos nucifera L.","http://eol.org/schema/terms/WetlandIndicatorStatus","http://eol.org/schema/terms/nwpl_facu",NA
"6","Cocos nucifera L.","http://eol.org/schema/terms/WetlandIndicatorStatus","http://eol.org/schema/terms/nwpl_facu",NA
"7","Cocos nucifera L.","http://eol.org/schema/terms/WetlandIndicatorStatus","http://eol.org/schema/terms/nwpl_upl",NA
"8","Cocos nucifera","http://purl.obolibrary.org/obo/TO_0000207","60","ft"
"9","Cocos nucifera","http://purl.bioontology.org/ontology/SNOMEDCT/260865002","http://eol.org/schema/terms/moderateRate",NA
"10","Cocos nucifera","http://purl.obolibrary.org/obo/TO_0000207","60","ft"
"11","Cocos nucifera","http://purl.obolibrary.org/obo/TO_0000624","http://eol.org/schema/terms/allelopathyUnknown",NA
"12","Cocos nucifera","http://purl.obolibrary.org/obo/PATO_0001729","http://purl.obolibrary.org/obo/PATO_0001733",NA
"13","Cocos nucifera","http://purl.obolibrary.org/obo/PATO_0000050","http://eol.org/schema/terms/moderateLifeSpan",NA
"14","Cocos nucifera","http://eol.org/schema/terms/GrassGrowthType","http://eol.org/schema/terms/lowGrowingGrassNo",NA
"15","Cocos nucifera","http://purl.obolibrary.org/obo/GO_0009399","http://purl.bioontology.org/ontology/SNOMEDCT/260413007",NA
"16","Cocos nucifera","http://eol.org/schema/terms/ResproutAbility","http://eol.org/schema/terms/ResproutNo",NA
"17","Cocos nucifera","http://purl.obolibrary.org/obo/PATO_0000052","http://purl.obolibrary.org/obo/PATO_0000622",NA
"18","Cocos nucifera","http://eol.org/schema/terms/HumanLivestockToxicity","http://purl.bioontology.org/ontology/SNOMEDCT/260413007",NA
"19","Cocos nucifera","http://eol.org/schema/terms/SoilRequirements","http://eol.org/schema/terms/coarseSoilYes",NA
"20","Cocos nucifera","http://eol.org/schema/terms/SoilRequirements","http://eol.org/schema/terms/mediumSoilYes",NA
"21","Cocos nucifera","http://eol.org/schema/terms/SoilRequirements","http://eol.org/schema/terms/fineSoilYes",NA
"22","Cocos nucifera","http://eol.org/schema/terms/AnaerobicSoilTolerance","http://purl.obolibrary.org/obo/PATO_0000461",NA
"23","Cocos nucifera","http://eol.org/schema/terms/CalcareousSoilTolerance","http://purl.obolibrary.org/obo/PATO_0000461",NA
"24","Cocos nucifera","http://eol.org/schema/terms/GerminationRequirements","http://eol.org/schema/terms/coldStratificationNo",NA
"25","Cocos nucifera","http://purl.obolibrary.org/obo/TO_0000276","http://purl.obolibrary.org/obo/PATO_0000461",NA
