TREATMENT	INTENSITY	CBVAL_CE3Q
RAND	_0.5	-0.828378994
RAND	_0.5	7.418188668
RAND	_0.5	11.99120143
RAND	_0.5	9.984172433
RAND	_0.5	4.193820509
RAND	_0.5	6.492663439
RAND	_0.5	5.515119073
RAND	_0.5	11.13206087
RAND	_0.5	2.870013642
RAND	_0.5	2.966564538
RAND	_0.5	10.2879507
RAND	_0.5	2.888139128
RAND	_0.5	2.640538877
RAND	_0.5	6.436088973
RAND	_0.5	2.296055052
RAND	_0.5	0.828564203
RAND	_0.5	0.058503425
RAND	_0.5	6.948910333
RAND	_0.5	2.851595754
RAND	_0.5	3.078586754
RAND	_0.5	12.65959317
RAND	_0.5	2.42165486
RAND	_0.5	4.014565543
RAND	_0.5	1.340310775
RAND	_0.5	2.484044886
RAND	_0.5	9.862265292
RAND	_0.5	2.693442457
RAND	_0.5	-0.016208604
RAND	_0.5	3.99108488
RAND	_0.5	1.063352439
RAND	_0.5	9.985144403
RAND	_0.5	1.445736878
RAND	_0.5	5.358960018
RAND	_0.5	0.503198776
RAND	_0.5	2.576590872
RAND	_0.5	10.34191361
RAND	_0.5	2.964140078
RAND	_0.5	4.048428246
RAND	_0.5	4.02288322
RAND	_0.5	2.703071068
RAND	_0.5	2.967001245
RAND	_0.5	5.812100962
RAND	_0.5	5.647321745
RAND	_0.5	2.520013642
RAND	_0.5	10.36028953
RAND	_0.5	3.404030788
RAND	_0.5	11.50051801
RAND	_0.5	5.467138313
RAND	_0.5	5.845540731
RAND	_0.5	12.75951766
RAND	_0.5	9.648380555
RAND	_0.5	7.073324511
RAND	_0.5	0.949502821
RAND	_0.5	0.254735864
RAND	_0.5	2.954735864
RAND	_0.5	9.24601236
RAND	_0.5	3.623422828
RAND	_0.5	1.467515383
RAND	_0.5	4.683902531
RAND	_0.5	4.12014726
RAND	_0.5	2.298839531
RAND	_0.5	3.593208142
RAND	_0.5	0.970073975
RAND	_0.5	2.505832872
RAND	_0.5	9.786332605
RAND	_0.5	1.35133281
RAND	_0.5	2.000569197
RAND	_0.5	7.35385098
RAND	_0.5	6.135215754
RAND	_0.5	7.327954303
RAND	_0.5	9.6420885
RAND	_0.5	1.839386092
RAND	_0.5	2.714404518
RAND	_0.5	0.616741293
RAND	_0.5	5.886984011
RAND	_0.5	3.118222123
RAND	_0.5	1.24601236
RAND	_0.5	0.120350791
RAND	_0.5	3.918947933
RAND	_0.5	5.326665434
RAND	_0.5	4.600641207
RAND	_0.5	2.565293711
RAND	_0.5	3.827961723
RAND	_0.5	3.714331919
RAND	_0.5	7.285625554
RAND	_0.5	2.317926639
RAND	_0.5	10.69063219
RAND	_0.5	1.182651478
RAND	_0.5	2.575457628
RAND	_0.5	7.272794848
RAND	_0.5	7.835761662
RAND	_0.5	16.26433612
RAND	_0.5	3.439723556
RAND	_0.5	5.205621935
RAND	_0.5	0.182173659
RAND	_0.5	7.094902507
RAND	_0.5	6.605516492
RAND	_0.5	6.709696406
RAND	_0.5	3.748587822
RAND	_0.5	3.423911815
RAND	_0.75	0.900451029
RAND	_0.75	2.154458482
RAND	_0.75	8.426000939
RAND	_0.75	11.9415854
RAND	_0.75	4.518420658
RAND	_0.75	5.04064281
RAND	_0.75	3.742167285
RAND	_0.75	8.22721624
RAND	_0.75	1.230035156
RAND	_0.75	7.731416371
RAND	_0.75	9.352350277
RAND	_0.75	2.243216199
RAND	_0.75	1.131106164
RAND	_0.75	9.388620069
RAND	_0.75	8.108902531
RAND	_0.75	5.84984295
RAND	_0.75	3.489759866
RAND	_0.75	5.074707637
RAND	_0.75	1.16953616
RAND	_0.75	3.612287024
RAND	_0.75	6.862615546
RAND	_0.75	6.020834066
RAND	_0.75	2.951454648
RAND	_0.75	1.303407308
RAND	_0.75	1.761569174
RAND	_0.75	3.863243498
RAND	_0.75	7.097438471
RAND	_0.75	0.491736563
RAND	_0.75	1.545047579
RAND	_0.75	0.581626416
RAND	_0.75	8.233317179
RAND	_0.75	1.285625554
RAND	_0.75	4.001025324
RAND	_0.75	1.143271906
RAND	_0.75	3.429607583
RAND	_0.75	8.319331334
RAND	_0.75	0.711070033
RAND	_0.75	0.575673333
RAND	_0.75	1.382360171
RAND	_0.75	5.453792062
RAND	_0.75	1.396859589
RAND	_0.75	10.65648068
RAND	_0.75	5.710353554
RAND	_0.75	1.081626416
RAND	_0.75	1.425509466
RAND	_0.75	2.183624764
RAND	_0.75	1.508922215
RAND	_0.75	3.440347546
RAND	_0.75	6.439549914
RAND	_0.75	6.191809413
RAND	_0.75	2.577605612
RAND	_0.75	7.963378526
RAND	_0.75	1.63902299
RAND	_0.75	2.742065069
RAND	_0.75	4.989178358
RAND	_0.75	2.303774401
RAND	_0.75	3.008522165
RAND	_0.75	1.358948821
RAND	_0.75	4.242663439
RAND	_0.75	2.482863314
RAND	_0.75	1.705822099
RAND	_0.75	5.467210657
RAND	_0.75	0.956877348
RAND	_0.75	4.854847638
RAND	_0.75	9.474510294
RAND	_0.75	3.211500587
RAND	_0.75	1.857106979
RAND	_0.75	6.270467102
RAND	_0.75	5.975734637
RAND	_0.75	7.334358657
RAND	_0.75	2.972006185
RAND	_0.75	-0.354986358
RAND	_0.75	1.452410846
RAND	_0.75	5.400570967
RAND	_0.75	2.101761218
RAND	_0.75	2.393274222
RAND	_0.75	5.461884221
RAND	_0.75	1.056493728
RAND	_0.75	0.889641461
RAND	_0.75	2.111427942
RAND	_0.75	7.848685167
RAND	_0.75	0.645834067
RAND	_0.75	3.610677542
RAND	_0.75	-0.073557179
