,mode
Acanthophis_antarcticus,0
Acanthophis_praelongus,0
Pseudechis_australis,0
Pseudechis_butleri,0
Pseudechis_colletti,0
Pseudechis_guttatus,0
Pseudechis_papuanus,0
Pseudechis_porphyriacus,0
Aipysurus_apraefrontalis,1
Aipysurus_foliosquama,1
Aipysurus_duboisii,1
Aipysurus_pooleorum,1
Aipysurus_fuscus,1
Aipysurus_laevis,1
Aipysurus_eydouxii,1
Aipysurus_mosaicus,1
Emydocephalus_annulatus,1
Ephalophis_greyi,1
Parahydrophis_mertoni,1
Hydrelaps_darwiniensis,1
Hydrophis_annandalei,1
Hydrophis_obscurus,1
Hydrophis_stricticollis,1
Hydrophis_atriceps,1
Hydrophis_fasciatus,1
Hydrophis_schistosus,1
Hydrophis_brooki,1
Hydrophis_caerulescens,1
Hydrophis_torquatus,1
Hydrophis_belcheri,1
Hydrophis_coggeri,1
Hydrophis_cyanocinctus,1
Hydrophis_semperi,1
Hydrophis_melanocephalus,1
Hydrophis_parviceps,1
Hydrophis_jerdoni,1
Hydrophis_lapemoides,1
Hydrophis_spiralis,1
Hydrophis_viperinus,1
Hydrophis_platurus,1
Hydrophis_bituberculatus,1
Hydrophis_pachycercos,1
Hydrophis_lamberti,1
Hydrophis_ornatus,1
Hydrophis_ocellatus,1
Hydrophis_peronii,1
Hydrophis_czeblukovi,1
Hydrophis_macdowelli,1
Hydrophis_kingii,1
Hydrophis_major,1
Hydrophis_zweifeli,1
Hydrophis_donaldi,1
Hydrophis_stokesii,1
Hydrophis_curtus,1
Hydrophis_elegans,1
Microcephalophis_gracilis,1
Hemiaspis_damelii,0
Hemiaspis_signata,0
Austrelaps_labialis,0
Austrelaps_superbus,0
Echiopsis_atriceps,0
Hoplocephalus_bitorquatus,0
Notechis_scutatus,0
Tropidechis_carinatus,0
Drysdalia_coronoides,0
Drysdalia_mastersii,0
Echiopsis_curta,0
Oxyuranus_microlepidotus,0
Oxyuranus_scutellatus,0
Oxyuranus_temporalis,0
Pseudonaja_modesta,0
Pseudonaja_textilis,0
Neelaps_calonotus,0
Vermicella_annulata,0
Vermicella_intermedia,0
Vermicella_multifasciata,0
Vermicella_snelli,0
Denisonia_devisi,0
Elapognathus_coronata,0
Rhinoplocephalus_bicolor,0
Rhinoplocephalus_nigrescens,0
Suta_fasciata,0
Suta_spectabilis,0
Suta_monachus,0
Suta_suta,0
Brachyurophis_approximans,0
Brachyurophis_australis,0
Brachyurophis_incinctus,0
Brachyurophis_roperi,0
Brachyurophis_semifasciatus,0
Simoselaps_anomalus,0
Simoselaps_minimus,0
Simoselaps_bertholdi,0
Simoselaps_littoralis,0
Aspidomorphus_lineaticollis,0
Aspidomorphus_schlegeli,0
Aspidomorphus_muelleri,0
Cacophis_squamulosus,0
Furina_diadema,0
Furina_ornata,0
Demansia_papuensis,0
Demansia_vestigiata,0
Demansia_psammophis,0
Toxicocalamus_preussi,0
Toxicocalamus_loriae,0
Micropechis_ikaheka,0
Laticauda_colubrina,1
Laticauda_guineai,1
Laticauda_saintgironsi,1
Laticauda_laticaudata,1
Laticauda_semifasciata,1
Elapsoidea_nigra,0
Elapsoidea_semiannulata,0
Elapsoidea_sundevallii,0
Bungarus_bungaroides,0
Bungarus_flaviceps,0
Bungarus_caeruleus,0
Bungarus_ceylonicus,0
Bungarus_sindanus,0
Bungarus_candidus,0
Bungarus_multicinctus,0
Bungarus_niger,0
Bungarus_fasciatus,0
Aspidelaps_scutatus,0
Walterinnesia_aegyptia,0
Hemachatus_haemachatus,0
Naja_annulata,0
Naja_melanoleuca,0
Naja_multifasciata,0
Naja_annulifera,0
Naja_haje,0
Naja_nivea,0
Naja_ashei,0
Naja_nigricollis,0
Naja_mossambica,0
Naja_katiensis,0
Naja_nubiae,0
Naja_pallida,0
Naja_atra,0
Naja_naja,0
Naja_kaouthia,0
Naja_mandalayensis,0
Naja_siamensis,0
Naja_sumatrana,0
Dendroaspis_angusticeps,0
Dendroaspis_polylepis,0
Ophiophagus_hannah,0
Hemibungarus_calligaster,0
Micruroides_euryxanthus,0
Micrurus_albicinctus,0
Micrurus_psyches,0
Micrurus_diastema,0
Micrurus_fulvius,0
Micrurus_tener,0
Micrurus_mosquitensis,0
Micrurus_corallinus,0
Micrurus_altirostris,0
Micrurus_ibiboboca,0
Micrurus_brasiliensis,0
Micrurus_frontalis,0
Micrurus_spixii,0
Micrurus_baliocoryphus,0
Micrurus_pyrrhocryptus,0
Micrurus_decoratus,0
Micrurus_hemprichii,0
Micrurus_lemniscatus,0
Micrurus_surinamensis,0
Micrurus_dissoleucus,0
Micrurus_mipartitus,0
Micrurus_narduccii,0
Sinomicrurus_japonicus,0
Sinomicrurus_kelloggi,0
Sinomicrurus_macclellandi,0
Calliophis_bivirgata,0
Calliophis_melanurus,0
