	1-1_ActivityCycle	12-1_HabitatBreadth	12-2_Terrestriality	6-1_DietBreadth	6-2_TrophicLevel
Tapirus_indicus	1	1	1	3	1
Gazella_subgutturosa	2	1	1	3	1
Mazama_temama					
Sus_celebensis	2			5	2
Babyrousa_babyrussa	3	1	1	6	2
Tragelaphus_angasii	2	1	1	4	1
Mazama_americana	2	1	1	2	1
Muntiacus_reevesi				2	1
Sus_salvanius	2	1	1	4	2
Blastocerus_dichotomus	2	1	1	3	1
Hexaprotodon_liberiensis	2	2	1	4	1
Axis_porcinus				3	1
Potamochoerus_porcus	2	1	1	5	2
Nanger_granti	2	1	1	2	1
Rupicapra_rupicapra		1	1	2	1
Cephalophus_jentinki	1			4	1
Tayassu_pecari	2	1	1	6	2
Oryx_gazella	2	1	1	5	1
Kobus_kob		1	1	1	1
Connochaetes_gnou	2	1	1	2	1
Eudorcas_rufina					
Bubalus_quarlesi	3			3	1
Tragulus_nigricans					
Kobus_leche	2	2	1	2	1
Muntiacus_vuquangensis					
Lama_glama		1	1	2	1
Muntiacus_atherodes	2			2	1
Equus_burchellii		1	1	3	1
Alcelaphus_caama					
Raphicerus_campestris	3	1	1	5	1
Rusa_timorensis	1			2	1
Pudu_mephistophiles					
Bubalus_bubalis		1	1	2	1
Damaliscus_pygargus					
Gazella_spekei		1	1		
Equus_asinus		1	1		
Ovis_ammon		1	1	2	1
Madoqua_guentheri	3	1	1	6	1
Boselaphus_tragocamelus				5	1
Capreolus_capreolus	2	1	1		
Pecari_tajacu	2	1	1	5	1
Sus_ahoenobarbus					
Cephalophus_dorsalis	1	1	1	4	2
Gazella_cuvieri					
Madoqua_piacentinii	3			2	1
Nanger_soemmerringii	3	1	1		
Odocoileus_hemionus		1	1	2	1
Elaphodus_cephalophus					
Alcelaphus_lichtensteinii		1	1	3	1
Hyemoschus_aquaticus	1	1	1	1	1
Madoqua_kirkii	2	1	1	5	1
Tragelaphus_strepsiceros	3	1	1	2	1
Capricornis_rubidus					
Bos_frontalis	2			3	1
Hemitragus_jayakari	2	1	1	3	1
Rupicapra_pyrenaica					
