	10-2_SocialGrpSize	13-1_AdultHeadBodyLen_mm	15-1_LitterSize	17-1_MaxLongevity_m	21-1_PopulationDensity_n/km2	23-1_SexualMaturityAge_d	25-1_WeaningAge_d	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MidRangeLat_dd	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm	5-1_AdultBodyMass_g	5-3_NeonateBodyMass_g	9-1_GestationLen_d
Tapirus_indicus	1.50	2224.85	1.00	360.00	0.11	1132.72	211.71	794777.96	16.54	-5.94	5.30	209.67	256.00	1522.16	1761.46	311209.19	6848.35	396.50
Gazella_subgutturosa	5.50	957.35	1.39	240.00	0.64	413.84	116.41	8787218.98	49.21	14.92	32.06	17.20	122.65	208.39	923.51	26981.37	2317.85	159.68
Sus_celebensis			3.24					173576.36	1.75	-6.49	-2.37	229.41	215.47	1812.60	1909.15	53813.21		126.00
Babyrousa_babyrussa	4.50	950.00	1.73	288.00		362.50	212.91	13309.70	-1.62	-3.84	-2.73	281.24	223.00			92950.09	715.00	156.50
Tragelaphus_angasii	15.50	1935.86	1.00	192.00	126.94	645.51	212.91	274074.58	-15.60	-28.48	-22.04	65.29	229.85	860.67	1417.11	87616.76	5541.58	219.99
Mazama_americana	1.00		1.22	165.60	9.30			12346897.93	12.46	-32.18	-9.86	149.07	240.37	1294.79	1520.03	20546.86		225.00
Muntiacus_reevesi			0.98		0.67	295.12		1767640.73	34.11	20.22	27.17	109.52	157.10	1016.93	1071.65	13499.94	1050.00	214.24
Sus_salvanius	5.00	599.66	3.66	144.00				25728.78	27.06	26.33	26.70	162.48	203.49	1037.05	1239.08	7974.13		110.50
Blastocerus_dichotomus	3.00	1720.00	0.98		0.12			2004539.09	-3.88	-35.10	-19.49	121.57	233.21	1195.43	1404.04	112518.53	4199.99	272.37
Hexaprotodon_liberiensis	1.25	1600.00	1.00	525.60		1510.30	211.71	35806.59	12.29	4.27	8.28	213.58	251.56	1315.05	1605.32	235001.16	5730.00	200.00
Axis_porcinus	1.80		1.00	240.00	16.50	464.04		2017514.05	32.58	8.55	20.57	136.98	213.51	979.62	1418.55	37448.29	2483.33	220.13
Potamochoerus_porcus	10.56	1369.30	3.00	240.00	0.23	1113.70		5033216.84	13.53	-8.10	2.71	139.70	248.51	1249.23	1567.17	70000.31	750.00	120.00
