	10-2_SocialGrpSize	13-1_AdultHeadBodyLen_mm	15-1_LitterSize	17-1_MaxLongevity_m	21-1_PopulationDensity_n/km2	23-1_SexualMaturityAge_d	25-1_WeaningAge_d	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MidRangeLat_dd	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm	5-1_AdultBodyMass_g	5-3_NeonateBodyMass_g	9-1_GestationLen_d
Nanger_granti		1529.99	1.00	152.04	3.92	249.81		963156.39	8.32	-7.75	0.28	58.07	231.78	853.79	1545.15	55464.46	5215.17	191.21
Rupicapra_rupicapra	1.00		1.00	264.00		642.64	76.04	742756.93	51.33	35.66	43.50	60.73	70.03	530.64	695.91	33266.35	2250.00	178.32
Cephalophus_jentinki		1349.99	1.00	210.00	0.10			130952.07	9.22	4.35	6.79	210.72	251.50	1345.35	1553.43	68489.54	4581.46	
Tayassu_pecari		1110.00	2.00	252.00	1.59	684.67	13.64	13839052.97	21.60	-33.06	-5.72	145.87	236.83	1273.63	1510.12	31798.71	1000.00	158.00
Oryx_gazella	20.00	1615.00	1.00	240.00	9.88	841.82		4613581.92	18.29	-34.83	-8.27	40.73	208.33	584.24	1429.69	188404.45	12055.49	273.75
Kobus_kob	40.00	1700.00	1.00	263.04	2.60	465.57	188.64	3179796.65	14.70	-2.34	6.17	106.52	258.11	1026.71	1611.87	80035.21	5376.23	254.76
Connochaetes_gnou	26.75	1821.79	1.00	240.00	34.62	965.63	111.57	132200.71	-26.92	-30.73	-28.83	47.98	154.29	637.43	1148.16	156547.53	10941.45	256.76
Bubalus_quarlesi	1.00	1577.97	1.00	270.00		755.15		56312.24	0.79	-5.45	-2.33	228.75	205.08	1813.15	1903.28	181718.86		294.99
Kobus_leche	20.00		1.00	222.96	31.00	925.38	133.45	229752.09	-8.41	-20.04	-14.22	84.65	215.94	780.79	1439.21	88645.04	5100.00	229.80
Lama_glama		1595.10	1.00	339.60	0.45	676.66	131.70									78322.67	8999.99	342.74
Muntiacus_atherodes		994.99						108466.54	4.19	-1.86	1.16	255.41	236.32	1671.15	1676.97	18939.10		
Equus_burchellii			1.00	480.00	7.00	709.82	294.11	4696974.13	6.91	-29.10	-11.09	75.72	221.51	871.81	1491.98	279160.65	32274.54	371.20
Raphicerus_campestris	2.00	824.99	0.98	168.00	1.27	233.81	49.89	4930075.62	1.61	-34.83	-16.61	52.18	198.60	656.54	1367.87	11661.53	916.51	210.00
Rusa_timorensis		1634.99	1.00			666.44	227.47	132249.02	-5.87	-8.84	-7.36	196.77	244.60	1370.42	1640.76	66375.50		250.29
Pudu_mephistophiles			1.00	120.00				244304.21	5.09	-12.56	-3.73	151.56	201.98	1326.56	1463.47	9599.96	400.00	
Bubalus_bubalis		2649.52	1.50	339.00	1.06	755.15	240.31	978657.33	27.44	14.51	20.98	154.04	223.58	1028.93	1394.47	929500.97		320.00
Damaliscus_pygargus			1.41	260.04	24.56	620.76	121.66	370656.19	-24.59	-34.41	-29.50	49.54	156.83	674.58	1180.21	77784.55	6873.81	240.54
Gazella_spekei	14.25	885.00	1.00	152.04		403.21		170828.32	10.91	2.02	6.47	13.51	248.39	203.01	1795.45	20000.00	1250.00	178.59
Equus_asinus			1.00	564.00	3.06	742.46										164998.49	29249.99	367.00
Ovis_ammon		1585.00	1.22	180.96	0.02	555.47	76.61	10939816.94	55.79	26.55	41.17	24.35	43.53	267.71	788.44	113998.72	3232.64	165.00
Madoqua_guentheri	6.25	612.07	0.98	168.00	14.01	138.60	74.25	1526489.41	11.23	-2.54	4.34	41.43	237.91	618.60	1634.43	4623.70	684.00	175.00
Boselaphus_tragocamelus		2000.00	1.39	260.40	2.39			2192564.81	33.00	11.71	22.35	86.66	247.40	750.64	1450.38	182253.04	5875.00	248.49
Capreolus_capreolus			1.79	204.00	7.61	400.97	79.75	6777177.58	67.62	34.89	51.25	55.04	73.59	450.28	610.10	22502.01	1208.55	196.00
Pecari_tajacu	20.00	889.34	1.56	296.40	7.92	315.68	47.25	15771441.38	35.07	-34.78	0.14	134.44	231.20	1201.00	1476.93	21133.69	618.53	144.88
Cephalophus_dorsalis	1.00	849.99	1.00	204.96		547.46		2874503.05	9.35	-7.06	1.14	151.81	244.44	1371.07	1558.56	20000.00	1611.37	238.00
Gazella_cuvieri								1047003.29	37.09	23.78	30.43	19.80	177.16	266.43	1174.07			
Madoqua_piacentinii			1.00	168.00		251.71		30486.05	6.06	2.20	4.13	18.05	264.91	339.62	1993.88	2500.00		
Nanger_soemmerringii		1360.00	1.00	186.00	5.47	413.84		1089492.28	18.79	0.83	9.81	33.87	247.71	467.55	1672.35	41582.93		192.53
Odocoileus_hemionus		1516.50	1.61	264.00	16.00	527.12	73.49	6310738.18	62.28	21.27	41.77	38.76	67.61	389.11	755.20	84560.57	3007.49	203.49
Elaphodus_cephalophus			1.00			631.37		1959738.34	33.65	22.11	27.88	122.62	116.97	947.47	1051.06	23087.87		181.24
Alcelaphus_lichtensteinii	10.00		0.98		1.71	596.29		2264335.80	-1.36	-21.89	-11.63	91.49	222.42	908.73	1494.78	168695.66	15000.00	237.00
Hyemoschus_aquaticus	1.00	750.00	1.22	168.00	15.85	314.64	136.87	2571576.30	8.56	-6.35	1.10	155.16	243.43	1393.52	1563.37	10850.00		173.52
Madoqua_kirkii	2.50	654.27	0.98	198.00	19.00	233.47	42.58	1734714.03	11.03	-24.20	-6.58	45.69	222.42	617.04	1577.87	4833.40	625.82	171.49
Tragelaphus_strepsiceros	12.00	2199.99	1.00	276.00	1.06	665.38	182.50	6476879.55	20.14	-34.05	-6.95	61.83	215.34	732.24	1469.28	206056.41	15366.57	220.94
Bos_frontalis	40.00	2700.00	1.22	314.40	0.54	610.97	186.67	2294331.63	28.01	2.86	15.43	145.21	229.71	1053.45	1483.02	800143.05	22977.05	273.75
Hemitragus_jayakari		1075.00	1.00	168.00				16233.68	26.15	22.42	24.28	6.05	220.21	148.74	1351.58	22210.18		164.31
Rupicapra_pyrenaica								13561.93	43.21	41.60	42.41	69.46	85.04	600.94	810.58	29999.99		
Rhinoceros_sondaicus		3099.99	1.00	480.00	0.10		509.21	50679.79	12.37	-7.41	2.47	167.05	244.58	1230.73	1522.52	1750000.00		486.66
Capricornis_crispus			1.00	222.96	1.98	988.23	59.27	113318.46	41.54	31.96	36.75	144.41	93.81	783.90	836.41	43030.64	3499.99	213.00
Tragelaphus_scriptus	1.00	1247.10	1.00	156.00	1.52	431.61		13167565.73	16.11	-34.83	-9.36	94.18	237.61	934.54	1541.54	43250.39	3027.79	182.50
Tapirus_terrestris	1.00	2004.97	1.00	420.00	0.85	862.17	277.49	13663839.27	12.46	-30.80	-9.17	145.25	233.30	1265.75	1501.80	169496.64	4507.91	395.41
Rhinoceros_unicornis	1.00	3743.39	1.41	588.00	3.33	2069.22	339.47	24776.82	28.79	25.99	27.39	171.98	235.99	1007.43	1242.82	1843655.80	61326.59	478.99
Potamochoerus_larvatus	8.00		2.73		0.40			5892226.64	13.69	-34.44	-10.37	86.44	220.05	946.90	1502.66	69063.79		121.73
Gazella_dorcas	6.75	965.68	1.22	209.04	2.30	620.76	61.35	10374953.94	37.34	9.86	23.60	8.05	239.42	132.39	1299.98	15635.95	1573.21	172.00
Bison_bison	30.00	2849.24	0.98	396.00	0.28	921.77	287.32	10388.04	44.97	43.65	44.31	33.59	-5.35	409.79	742.48	624577.07	20000.00	283.17
Mazama_gouazoubira	1.00	918.25	1.00	144.00	9.21	719.06		12556119.02	11.66	-33.47	-10.90	147.65	238.57	1281.02	1512.17	16633.17	834.46	219.86
Kobus_ellipsiprymnus	12.00		1.00	239.04	2.46	1426.44	212.91	10067123.88	16.11	-29.06	-6.47	92.00	237.74	934.80	1546.75	204393.48	12000.00	270.00
Equus_caballus			1.00	744.00		834.72	341.76									403598.53	37899.99	338.97
Taurotragus_oryx	4.05	2656.78	1.00	300.00	1.64	672.49	128.68	5405307.84	7.22	-27.42	-10.10	76.46	221.37	832.14	1485.68	562592.69	30889.05	271.00
Rucervus_duvaucelii	64.25	1500.00	1.00		11.24	827.69		255737.11	29.44	22.08	25.76	101.07	245.48	790.72	1335.79	171223.86		245.00
Mazama_nana								713883.95	-20.15	-29.45	-24.80	131.73	196.52	1203.29	1280.36	16499.85		
Eudorcas_rufifrons		885.00	1.00	162.00	1.56			3084371.64	18.90	8.70	13.80	47.70	271.83	545.87	1624.71	26999.77		174.73
Vicugna_vicugna		1575.00	1.00	297.60	3.10	941.19	309.89	817999.23	-7.13	-31.87	-19.50	60.49	38.23	570.13	1282.79	47499.61	6082.92	345.45
Tragelaphus_spekii	6.00	1520.84	1.00	258.00	1.66	619.06		5256068.76	14.37	-20.93	-3.27	124.21	236.28	1157.01	1543.12	75554.25	4000.00	241.15
Moschus_berezovskii		899.99	1.20				47.14	2263301.83	35.95	21.75	28.85	108.26	113.84	893.09	1006.61	12477.41	529.50	184.24
Mazama_bricenii								83134.92	10.48	1.88	6.18	106.98	193.15	1412.72	1582.86	16499.85		
Redunca_redunca		1150.00	1.00	216.00	1.03			6462304.59	16.27	-11.83	2.21	91.58	247.37	937.91	1597.01	43288.95		228.12
Gazella_leptoceros		1032.67	1.00	168.00				2188576.06	34.30	15.34	24.82	3.93	244.58	94.23	1253.26	24645.75	4615.30	167.29
Hippopotamus_amphibius			1.00	654.00	4.86	2030.00	319.01	1849389.21	13.59	-27.33	-6.86	91.23	233.56	931.33	1522.22	1536310.40	40199.99	235.37
Sus_barbatus	6.25	1349.99	6.59			362.50	105.85	970249.80	7.03	-5.94	0.54	243.91	247.00	1673.32	1729.20	135805.95		114.63
Hydropotes_inermis			3.00	144.00		292.63		1140413.15	34.93	22.89	28.91	112.88	159.82	1031.61	1072.99	12760.04	1016.19	175.49
Hippotragus_equinus	12.00	1150.00	0.98	240.00	0.96	841.82	119.27	8018853.26	16.13	-25.30	-4.58	89.35	240.77	884.32	1551.46	264173.96	16412.18	278.23
Oryx_leucoryx	5.00		1.00	240.00			58.46									75788.24		239.99
Antidorcas_marsupialis		1055.00	1.00	240.00	10.69	331.73	57.45	1066805.09	-12.52	-28.97	-20.74	24.00	190.15	377.23	1328.86	33571.24	3841.48	169.49
Sus_philippensis	3.75	1349.99	6.24			283.18	105.85	237934.97	18.65	5.55	12.10	208.67	240.84	1470.06	1728.00	190792.30		125.14
Tragulus_napu		562.36	0.96	195.96		156.25	84.86	1593229.34	14.30	-5.94	4.18	233.98	250.86	1615.97	1742.06	5273.67	372.99	154.24
Gazella_gazella	7.20	1012.85	1.22	219.00	0.40	485.11	86.17	1151478.67	34.39	12.59	23.49	11.17	226.59	180.30	1399.50	21306.83	2124.99	180.00
Elaphurus_davidianus			1.22	279.60			155.59									165989.17	10467.50	286.49
Ovis_aries	35.00	1297.23	1.19	230.04		831.62	182.50									39097.89	2376.24	152.54
Ovis_dalli	9.50	1415.02	1.22	192.00		748.37	121.66	1014237.16	69.14	52.03	60.59	41.26	-74.27	241.32	274.00	70194.13	3499.99	172.49
Dama_dama	10.50		1.00	300.00	21.99	543.28	177.63	3081759.24	60.52	36.01	48.26	58.52	79.91	475.08	576.21	57224.61	4698.44	230.00
Tragelaphus_imberbis	3.00	1675.00	1.00	227.00	0.35	666.44		1907499.42	16.88	-9.03	3.92	50.25	236.53	695.54	1584.80	94320.39	5891.21	222.00
Alces_alces	1.00	2930.47	1.25	324.00	0.40	668.20	98.85									461900.76	12999.99	235.00
Ovibos_moschatus	12.50		1.01	288.00	0.31	1262.74	254.48	1615605.88	83.62	59.74	71.68	15.78	-156.38	100.96	125.09	312500.00	10444.11	256.26
Antilocapra_americana	12.00	1310.00	1.93	144.00	0.82	534.68	87.54	2009745.94	51.37	23.04	37.21	29.88	90.76	435.07	870.35	47450.01	3454.70	247.99
Ammodorcas_clarkei		1509.96	1.00	36.00	0.73			287056.65	9.57	2.79	6.18	17.16	257.53	305.08	1776.29	28049.81		200.00
Tapirus_bairdii	1.00	2199.99	1.00		0.34	710.47	362.93	188831.76	20.56	-1.55	9.50	166.98	235.49	1357.27	1618.64	293781.59		396.24
Equus_zebra	13.00	2350.00	1.00	288.00	1.32	963.17	181.46	143855.82	-16.50	-34.66	-25.58	19.95	144.42	352.93	1135.61	282462.13	29496.68	363.49
Camelus_dromedarius	10.00		0.98	480.00	0.98	1947.94	389.38									492714.47	36751.19	386.51
Cephalophus_adersi		690.00	1.00	48.96	3.65			3824.30	-3.09	-6.47	-4.78	71.50	256.50	1011.99	1963.94	9249.95		120.00
Muntiacus_feae			1.22					14346.43	16.39	13.64	15.02	393.21	245.37	1107.53	1687.57	21999.99		195.57
Ceratotherium_simum		2586.81	1.00	600.00	0.47	2741.23	365.00	3184467.13	9.74	-29.91	-10.08	60.61	216.38	729.59	1458.59	2285939.43	48500.00	534.19
Ourebia_ourebi	2.00	1160.00	0.98	189.96	2.43	372.09	136.87	8258056.75	16.53	-33.77	-8.62	87.92	237.62	899.50	1552.27	17186.09	2196.14	210.50
Cephalophus_zebra		874.99	1.00	146.04			13.64	171546.51	8.55	4.35	6.45	214.55	247.86	1342.39	1540.94	15654.75	1704.99	223.89
Cephalophus_nigrifrons		944.21		236.40	2.00			2766201.07	5.12	-9.85	-2.36	140.38	238.38	1348.71	1548.31	14676.33		
Cephalophus_spadix		1174.48		65.04				36583.37	-2.60	-9.48	-6.04	77.30	222.71	950.45	1534.15	56857.02		
Philantomba_monticola	1.90	692.30	0.98	144.00	35.98	351.59	27.28	6552145.69	9.54	-34.44	-12.45	118.15	229.51	1145.04	1523.17	4896.05	709.41	205.00
Pudu_puda			1.22	150.00		229.14	54.75	223036.92	-34.84	-52.55	-43.69	109.54	60.55	567.07	719.68	9642.62	780.00	210.00
Rusa_alfredi								24504.78	11.94	9.03	10.48	160.44	253.32	1479.27	1759.33	46475.04		243.33
Rucervus_eldii		1650.00	1.01	232.80		531.64	220.26	119941.73	25.34	12.38	18.86	157.98	243.09	1139.95	1618.09	95471.61	4674.98	240.19
Eudorcas_thomsonii		885.00	1.00	182.04	12.53	418.38	93.25	515821.13	9.45	-5.61	1.91	72.57	227.28	947.32	1556.92	22907.43	2500.00	166.14
Phacochoerus_aethiopicus	2.00		3.20	225.60	7.61	631.12	106.45	851932.22	11.49	-2.05	4.71	42.02	240.33	628.28	1636.16	75607.52	691.95	165.40
Okapia_johnstoni	1.00	2000.00	0.98	396.00	1.02	947.05	181.46	1105797.06	5.13	-8.28	-1.57	143.90	240.38	1428.28	1604.05	230001.14	18325.61	442.99
Przewalskium_albirostris			1.00	216.00				1061382.86	39.57	27.88	33.72	80.94	-33.28	445.65	803.84	161681.90		263.41
Capra_walie			1.00		4.07			4294.50	13.63	13.07	13.35	81.20	206.38	764.20	1590.35	100144.02		157.50
Alcelaphus_buselaphus	20.00	1974.99	1.00	240.00	3.65	827.69	188.73	4706770.40	17.65	-6.03	5.81	93.92	247.10	957.29	1598.47	160937.86	12500.00	242.66
Mazama_rufina			1.22					14703.63	0.79	-1.67	-0.43	176.24	132.58	1355.00	1399.66	21099.25		231.64
Nanger_dama	1.00	1462.78	1.00	207.96	0.18	109.36		1593778.59	28.23	12.21	20.22	14.97	271.89	263.81	1507.48	71424.81		194.93
Cephalophus_weynsi				183.00				1692834.41	5.14	-6.81	-0.83	134.53	234.61	1411.19	1589.32			
Muntiacus_gongshanensis								170.54	29.65	27.52	28.59	188.44	-21.62	870.87	1006.82	18590.01		
Rusa_marianna		1255.00						220497.90	18.65	5.55	12.10	206.29	239.59	1469.48	1725.15	49457.61		
Hemitragus_hylocrius		1385.00	1.41	207.00			27.28	2109.89	11.46	8.44	9.95	146.23	259.75	1139.48	1559.51	74186.41		186.35
Addax_nasomaculatus	12.62		1.00	308.04				1168708.88	26.45	14.60	20.52	5.51	264.48	130.78	1382.39	96077.36	5633.76	262.74
Procapra_gutturosa		1243.28	1.41	84.00		893.06	38.97	322170.90	49.45	42.09	45.77	23.87	6.27	281.70	520.80	28274.27	2900.00	189.94
Cephalophus_rufilatus	1.00	650.00	1.00	114.00	3.18		85.59	3098970.49	16.10	2.73	9.41	108.89	259.92	973.28	1601.70	12114.57	975.10	233.99
Taurotragus_derbianus		2522.02		194.04	0.74	755.15		937936.53	14.03	3.48	8.76	109.60	255.49	1024.39	1636.81	646024.25		
Sus_scrofa	13.00	1349.99	4.52	252.00	3.54	350.76	97.88	25951693.02	59.99	-8.78	25.60	64.68	116.91	567.82	964.89	84471.54	807.77	115.20
Axis_calamianensis		1387.44	2.00					1345.40	12.33	11.66	11.99					39812.60		224.00
Capricornis_swinhoei								11915.86	25.01	22.13	23.57	165.28	148.86					
Sus_bucculentus								2834.16	18.64	17.70	18.17	150.27	202.74	1091.86	1386.11			
Tetracerus_quadricornis		1000.00	1.65	129.96				1865786.32	31.53	13.04	22.28	78.16	251.34	688.88	1414.33	19282.12	1040.00	207.31
Sus_verrucosus	5.00	1250.00	5.47	168.00				97964.63	-5.72	-8.78	-7.25	190.85	242.83	1361.71	1641.83	89406.23		121.66
Oryx_dammah	30.00	1910.00	1.00	245.04				214297.23	18.51	13.98	16.24	15.15	281.02	224.55	1591.57	199798.95	9706.02	248.00
Raphicerus_sharpei	1.50	679.99	1.00	168.00	0.51			2548307.11	-3.42	-27.16	-15.29	78.96	221.75	845.74	1477.87	9396.90		212.91
Tragelaphus_eurycerus	13.50	2274.99	1.00	233.00	0.40	887.46		2564432.61	10.00	-5.83	2.08	143.55	243.77	1379.01	1585.05	270998.37	19944.92	284.99
Axis_kuhlii		1375.00	1.22		4.44			197.86	-5.72	-5.86	-5.79					54999.99		227.49
Cephalophus_silvicultor	1.00	1324.76	1.00	207.96	0.50		34.90	6018051.89	13.58	-17.38	-1.89	132.70	240.01	1197.42	1541.12	62006.60	4400.72	234.43
Moschus_moschiferus	1.00	899.99	1.74			486.66	47.14	8554234.60	72.50	34.28	53.39	31.16	-83.78	317.71	367.73	13315.57	498.39	175.92
Moschiola_meminna		540.00	1.50		2.74			1572492.46	24.02	5.91	14.97	100.68	258.76	830.56	1542.27	3130.95	319.00	153.53
Ovis_nivicola			1.00			841.82		1645753.65	70.76	51.56	61.16	25.79	-132.94	192.37	239.61	90000.00		
Hylochoerus_meinertzhageni	10.00	2028.75	4.00	216.00	1.50	521.59	62.82	2227871.01	11.77	-4.45	3.65	138.34	233.53	1288.14	1558.22	198130.47		151.00
Capra_hircus			1.45	249.60	7.58	498.97	158.04									47386.47	2136.11	156.00
Capricornis_sumatraensis		1449.99	1.22	252.00			166.34	237174.87	8.99	-5.94	1.52	227.32	246.68	1679.87	1776.28	110942.22	4100.00	231.37
Sylvicapra_grimmia	1.00	960.71	0.98	171.96	2.42	293.14	60.83	14120906.18	16.39	-34.83	-9.22	80.82	227.72	847.89	1495.94	15639.15	1581.45	174.89
Litocranius_walleri	8.00	1500.00	1.00	156.00	0.43	841.82		1594552.70	11.64	-5.72	2.96	40.53	238.78	596.79	1643.47	38804.37		204.15
Pelea_capreolus	10.25		1.00	147.96	18.71			866217.26	-22.59	-34.83	-28.71	42.22	164.23	592.41	1148.00	22731.33		260.99
Saiga_tatarica	27.50	1160.00	1.50	144.00	0.75	332.65	83.64	2926916.31	51.61	41.32	46.47	19.21	59.90	258.58	612.01	37734.01	3326.46	148.49
Moschus_chrysogaster	1.00	899.99	1.20			587.94	47.14	1480747.10	40.61	24.83	32.72	90.64	-8.59	556.83	874.85	13697.90	659.54	188.00
Procapra_przewalskii								40688.43	37.90	36.23	37.06	27.29	-24.13	398.79	826.16	27499.99		
Camelus_bactrianus	6.20		1.39	480.00	0.06	1330.60	368.13	188693.00	44.71	37.98	41.34	9.94	53.72	66.85	612.43	554515.91	34346.64	397.99
Muntiacus_muntjak		994.99	1.00	211.20	3.12	338.33		7321434.07	32.36	-8.78	11.79	150.35	224.08	1094.18	1471.74	17611.59	1371.39	210.00
Hippocamelus_antisensis	7.30	1550.00	1.00	127.20	1.20			993123.79	2.63	-29.36	-13.36	141.12	164.37	1109.84	1431.91	68599.35		235.72
Moschus_fuscus		899.99					47.14	121178.76	30.59	26.92	28.75	163.32	57.58	957.72	1174.42	13697.90		
Cervus_elaphus	17.50	2136.72	1.09	321.60	2.90	659.91	104.64	14167735.33	64.59	28.23	46.41	44.42	27.73	421.62	662.37	240867.13	8255.82	235.61
Kobus_vardonii	5.50	1340.00	1.00		4.78		212.91	1026509.33	-2.73	-18.63	-10.68	100.21	222.04	939.18	1482.09	71462.72	5798.07	258.09
Phacochoerus_africanus		1355.54		180.00				11093470.88	18.77	-32.00	-6.61	86.12	233.01	891.76	1524.23	82499.99		172.49
Giraffa_camelopardalis	100.00	4177.03	1.29	435.60	1.23	1633.59	212.91	2791592.69	16.35	-25.59	-4.62	64.96	238.58	783.50	1552.64	964654.73	55244.90	455.25
Cephalophus_callipygus		1014.28						788397.64	5.23	-6.05	-0.41	150.69	245.14	1312.40	1510.43	19079.23	2800.00	
Pantholops_hodgsonii			1.00					1113531.45	36.73	28.92	32.83	49.94	-72.58	378.24	760.93	32733.12		212.91
Bos_grunniens	110.00		1.00	267.00		755.15	243.33	1523540.07	38.88	29.66	34.27	30.41	-59.31	246.20	732.74	500000.00		273.75
Aepyceros_melampus	15.25	1420.00	0.98	213.00	13.36	498.97	150.00	3926868.66	2.58	-28.42	-12.91	73.05	216.36	841.64	1480.32	52591.69	5238.40	196.74
Bos_javanicus	40.00	2075.00	1.22	318.96	0.75	797.31	287.74	1687920.66	25.08	-8.78	8.15	187.69	239.18	1301.28	1592.26	635974.34		296.78
Cervus_nippon	7.50	1200.51	1.00	305.04	0.75	518.12	197.70	2714652.61	47.71	20.22	33.97	88.81	98.55	789.14	883.95	52999.99	4277.11	223.66
Neotragus_pygmaeus	2.00	499.99	1.00	168.00				426515.09	9.27	4.35	6.81	176.50	256.17	1310.62	1560.33	3913.68		180.00
Odocoileus_virginianus	2.25	1513.69	1.57	276.00	17.32	365.00	79.92	14446002.22	61.76	-17.98	21.89	80.45	127.64	773.39	1025.50	75901.25	2949.99	201.39
Capra_sibirica				267.00				2802214.24	55.63	31.43	43.53	20.81	-12.88	271.47	677.11	130000.00	3640.00	175.00
Capra_falconeri		1590.00	1.73	168.00		1015.00	167.29	155075.85	38.90	28.84	33.87	22.18	108.54	340.32	1154.28	54303.37		167.98
Syncerus_caffer	12.00	2525.86	1.08	354.00	5.84	1683.65	319.37	11706834.65	15.85	-33.51	-8.82	100.45	237.80	1004.99	1548.94	592665.98	39843.11	337.49
Axis_axis			1.01	249.60	6.69	543.68	121.66	2041090.04	28.58	5.91	17.25	96.14	256.61	814.10	1480.62	69499.99	3156.86	227.49
Madoqua_saltiana	1.50	595.00	1.00	168.00		253.75	41.99	1219720.78	19.33	0.20	9.77	31.60	244.74	453.34	1717.71	3424.47	672.79	
Capra_pyrenaica		1200.00	1.50	192.00				110472.50	42.03	36.01	39.02	42.64	131.93	478.71	1032.54	60898.77		150.00
Connochaetes_taurinus	20.00	2014.99	0.98	258.00	7.99	841.82	256.32	3201113.49	-0.82	-30.44	-15.63	61.61	211.04	731.29	1433.23	198619.68	18044.36	251.49
Diceros_bicornis	1.00	2849.99	1.00	564.00	0.11	2199.16	583.09	11451482.02	13.52	-34.83	-10.65	70.41	225.90	782.26	1502.76	995940.54	34999.99	466.24
Mazama_chunyi			1.50					112162.09	-11.16	-17.37	-14.26	205.34	174.89	1245.35	1433.88	16071.74		243.33
Bison_bonasus	35.00	2900.00	1.00	324.00	0.88	841.82	287.32									675876.70	23358.61	265.99
Pseudois_nayaur		1299.99	1.22	288.00	2.49	420.91		3101839.68	41.55	27.33	34.44	55.16	-27.86	417.05	810.55	52334.57		159.74
Naemorhedus_goral		1060.00	1.00	211.20		1016.66	59.27	353466.24	35.69	26.78	31.24	106.99	53.89	873.39	1143.71	28796.51	2000.00	212.91
Hippotragus_niger	15.00	2035.00	1.00	267.00	1.30	972.17	210.73	3149646.92	-1.84	-25.41	-13.63	80.83	221.46	857.47	1492.34	236405.90	16412.18	272.87
Capra_nubiana			1.00	204.00				177986.79	32.88	14.18	23.53	7.67	208.54	137.73	1393.38	47763.72		150.00
Gazella_saudiya																16000.00		
Equus_kiang	40.00							538675.46	39.16	27.75	33.45	36.44	-50.88	271.24	798.85	281138.63		260.76
Equus_grevyi		2700.00	1.00	312.00	2.27	1341.92	271.70	192991.31	9.57	-1.28	4.14	50.35	248.21	808.59	1474.65	408000.35	39999.99	406.00
Neotragus_moschatus	1.50	599.99	1.00	168.00	17.32	197.64		1612115.59	2.16	-28.74	-13.29	75.22	231.84	908.38	1518.29	5639.01		180.00
Budorcas_taxicolor	14.00	1736.00	1.22	234.96		928.08	118.55	402044.43	34.44	25.85	30.15	129.45	39.88	808.24	1002.24	294515.33		235.60
Procapra_picticaudata		980.00	1.00					1936510.55	39.03	28.25	33.64	46.84	-57.52	330.86	761.43	23197.67		
Capra_ibex			1.11	267.60		838.54	111.75	145098.13	47.90	43.76	45.83	87.78	42.76	586.20	627.49	69546.83	2779.07	167.50
Capra_caucasica			1.09	264.00		1015.00		32781.87	43.82	40.83	42.33	57.31	-9.89	612.18	710.43	58149.52		155.00
