	10-1_PopulationGrpSize	10-2_SocialGrpSize	13-1_AdultHeadBodyLen_mm	13-2_NeonateHeadBodyLen_mm	13-3_WeaningHeadBodyLen_mm	14-1_InterbirthInterval_d	15-1_LitterSize	16-1_LittersPerYear	16-2_LittersPerYear_EXT	17-1_MaxLongevity_m	18-1_BasalMetRate_mLO2hr	2-1_AgeatEyeOpening_d	21-1_PopulationDensity_n/km2	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	23-1_SexualMaturityAge_d	24-1_TeatNumber	25-1_WeaningAge_d	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MidRangeLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MidRangeLong_dd	27-1_HuPopDen_Min_n/km2	27-2_HuPopDen_Mean_n/km2	27-3_HuPopDen_5p_n/km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	3-1_AgeatFirstBirth_d	30-1_AET_Mean_mm	30-2_PET_Mean_mm	5-1_AdultBodyMass_g	5-2_BasalMetRateMass_g	5-3_NeonateBodyMass_g	5-4_WeaningBodyMass_g	5-7_WeaningBodyMass_g_EXT	7-1_DispersalAge_d	8-1_AdultForearmLen_mm	9-1_GestationLen_d
Odocoileus_hemionus			1516.50			365.00	1.61		1.10	264.00			16.00	2.01	2.85	527.12		73.49	6310738.18	62.28	21.27	41.77	-96.52	-149.44	-122.98	0	14.38	0.00	0.07	38.76	67.61	547.50	389.11	755.20	84560.57		3007.49	23900.00				203.49
Elaphodus_cephalophus							1.00									631.37			1959738.34	33.65	22.11	27.88	122.13	96.23	109.18	1	202.34	3.00	0.06	122.62	116.97		947.47	1051.06	23087.87							181.24
Alcelaphus_lichtensteinii		10.00				365.00	0.98		1.10				1.71	4.41		596.29			2264335.80	-1.36	-21.89	-11.63	39.41	19.07	29.24	1	21.99	2.00	0.20	91.49	222.42	730.00	908.73	1494.78	168695.66		15000.00					237.00
Hyemoschus_aquaticus		1.00	750.00				1.22	1.00		168.00			15.85	0.20	0.19	314.64		136.87	2571576.30	8.56	-6.35	1.10	31.51	-13.19	9.15	0	39.67	1.00	0.11	155.16	243.43		1393.52	1563.37	10850.00							173.52
Madoqua_kirkii		2.50	654.27			182.50	0.98		1.56	198.00	2145.00		19.00			233.47	4	42.58	1734714.03	11.03	-24.20	-6.58	50.58	11.71	31.14	0	27.97	1.00	0.11	45.69	222.42	501.87	617.04	1577.87	4833.40	4290.00	625.82	1633.49		338.82		171.49
Tragelaphus_strepsiceros		12.00	2199.99			365.00	1.00		1.10	276.00			1.06	835.10	783.47	665.38		182.50	6476879.55	20.14	-34.05	-6.95	47.94	12.44	30.19	0	24.17	1.00	0.14	61.83	215.34	912.50	732.24	1469.28	206056.41		15366.57					220.94
Capricornis_rubidus																			21552.31	27.94	25.43	26.69	98.56	97.49	98.02	1	10.82	1.00	0.05	181.29	115.03		1176.56	1266.67								
Bos_frontalis		40.00	2700.00			403.02	1.22	1.00		314.40			0.54			610.97		186.67	2294331.63	28.01	2.86	15.43	108.68	73.55	91.12	1	152.67	8.00	0.09	145.21	229.71		1053.45	1483.02	800143.05		22977.05					273.75
Hemitragus_jayakari			1075.00				1.00			168.00							3		16233.68	26.15	22.42	24.28	59.29	56.23	57.76	4	40.38	4.50	0.19	6.05	220.21		148.74	1351.58	22210.18							164.31
Rupicapra_pyrenaica																			13561.93	43.21	41.60	42.41	14.22	-6.73	3.74	7	37.31	7.00	5.88205697443069e-03	69.46	85.04		600.94	810.58	29999.99							
Rhinoceros_sondaicus	1.00		3099.99				1.00			480.00			0.10					509.21	50679.79	12.37	-7.41	2.47	109.28	105.20	107.24	19	477.13	22.00	0.12	167.05	244.58		1230.73	1522.52	1750000.00							486.66
Capricornis_crispus						547.50	1.00	1.00		222.96			1.98	0.11	0.11	988.23	4	59.27	113318.46	41.54	31.96	36.75	142.07	130.84	136.45	74	346.20	93.00	0.01	144.41	93.81		783.90	836.41	43030.64		3499.99			1603.59		213.00
Tragelaphus_scriptus		1.00	1247.10			235.72	1.00		1.37	156.00			1.52	0.02	0.02	431.61			13167565.73	16.11	-34.83	-9.36	45.58	-17.53	14.02	0	41.29	1.00	0.13	94.18	237.61	644.15	934.54	1541.54	43250.39		3027.79					182.50
Tapirus_terrestris		1.00	2004.97				1.00			420.00			0.85			862.17	2	277.49	13663839.27	12.46	-30.80	-9.17	-34.79	-78.86	-56.82	0	23.24	0.00	0.11	145.25	233.30		1265.75	1501.80	169496.64		4507.91					395.41
Rhinoceros_unicornis	1.75	1.00	3743.39	1092.50	2303.61	909.45	1.41		0.69	588.00			3.33	4.23	5.99	2069.22		339.47	24776.82	28.79	25.99	27.39	93.72	80.49	87.10	80	281.67	113.00	0.13	171.98	235.99	2618.87	1007.43	1242.82	1843655.80		61326.59		95555.90	1300.53		478.99
Potamochoerus_larvatus	7.20	8.00					2.73						0.40	4.47					5892226.64	13.69	-34.44	-10.37	46.08	13.07	29.57	0	40.24	2.00	0.15	86.44	220.05		946.90	1502.66	69063.79							121.73
Gazella_dorcas		6.75	965.68	499.99		337.85	1.22		1.14	209.04			2.30	15.52		620.76		61.35	10374953.94	37.34	9.86	23.60	49.71	-17.10	16.30	0	18.55	0.00	0.09	8.05	239.42	836.45	132.39	1299.98	15635.95		1573.21	4001.14				172.00
Bison_bison	1000.00	30.00	2849.24			399.00	0.98	1.00		396.00			0.28	47.39	65.71	921.77		287.32	10388.04	44.97	43.65	44.31	-109.99	-111.12	-110.56	0	0.70	0.00	0.08	33.59	-5.35	1095.00	409.79	742.48	624577.07		20000.00	157500.00				283.17
Mazama_gouazoubira		1.00	918.25				1.00			144.00			9.21			719.06			12556119.02	11.66	-33.47	-10.90	-34.79	-79.14	-56.96	0	22.64	0.00	0.11	147.65	238.57		1281.02	1512.17	16633.17		834.46					219.86
Kobus_ellipsiprymnus		12.00				365.00	1.00		1.10	239.04	26700.00		2.46	1.28		1426.44	4	212.91	10067123.88	16.11	-29.06	-6.47	45.62	-16.79	14.41	0	34.77	1.00	0.13	92.00	237.74		934.80	1546.75	204393.48	100000.00	12000.00					270.00
Equus_caballus						547.50	1.00	1.00		744.00		0.00		15.62	16.32	834.72	2	341.76														912.50			403598.53		37899.99			742.31		338.97
Alces_americanus			2097.16				1.00			300.00						631.37		182.50																	541460.44		13499.99					245.00
Taurotragus_oryx	500.00	4.05	2656.78			337.00	1.00		1.14	300.00	36000.00		1.64	195.15	38.36	672.49		128.68	5405307.84	7.22	-27.42	-10.10	41.67	12.47	27.07	0	24.95	1.00	0.16	76.46	221.37	958.12	832.14	1485.68	562592.69	150000.00	30889.05	96495.55				271.00
Rucervus_duvaucelii	401.00	64.25	1500.00				1.00						11.24	14.11	20.00	827.69			255737.11	29.44	22.08	25.76	93.68	77.22	85.45	13	428.69	103.00	0.11	101.07	245.48	1095.00	790.72	1335.79	171223.86							245.00
Mazama_nana																			713883.95	-20.15	-29.45	-24.80	-42.26	-55.46	-48.86	1	48.64	7.00	0.07	131.73	196.52		1203.29	1280.36	16499.85							
Eudorcas_rufifrons			885.00				1.00			162.00			1.56						3084371.64	18.90	8.70	13.80	39.00	-17.53	10.73	0	32.64	1.00	0.10	47.70	271.83		545.87	1624.71	26999.77							174.73
Vicugna_vicugna			1575.00			547.50	1.00	1.00		297.60			3.10	0.12	0.13	941.19		309.89	817999.23	-7.13	-31.87	-19.50	-65.41	-77.97	-71.69	0	10.74	0.00	0.06	60.49	38.23	1140.62	570.13	1282.79	47499.61		6082.92					345.45
Muntiacus_truongsonensis																			10016.59	16.51	15.03	15.77	107.65	106.86	107.26	7	63.78	7.00	0.14	256.48	212.70		1410.97	1656.22								
Tragelaphus_spekii		6.00	1520.84			352.83	1.00		1.12	258.00			1.66			619.06			5256068.76	14.37	-20.93	-3.27	35.23	-16.82	9.20	0	30.39	1.00	0.14	124.21	236.28	608.33	1157.01	1543.12	75554.25		4000.00					241.15
Moschus_berezovskii			899.99				1.20	1.00						0.13				47.14	2263301.83	35.95	21.75	28.85	117.46	91.40	104.43	1	191.03	3.00	0.06	108.26	113.84		893.09	1006.61	12477.41		529.50					184.24
Rucervus_schomburgki																																			107626.42							
Mazama_bricenii																			83134.92	10.48	1.88	6.18	-69.31	-75.83	-72.57	2	74.21	6.00	0.09	106.98	193.15		1412.72	1582.86	16499.85							
Redunca_redunca			1150.00				1.00			216.00			1.03				4		6462304.59	16.27	-11.83	2.21	41.29	-17.40	11.94	0	45.47	1.00	0.12	91.58	247.37		937.91	1597.01	43288.95							228.12
Gazella_leptoceros			1032.67				1.00			168.00									2188576.06	34.30	15.34	24.82	30.94	-8.69	11.12	0	6.52	0.00	0.15	3.93	244.58	319.37	94.23	1253.26	24645.75		4615.30					167.29
Hippopotamus_amphibius	585.00					696.54	1.00	1.00		654.00			4.86			2030.00		319.01	1849389.21	13.59	-27.33	-6.86	42.88	-15.16	13.85	0	35.86	1.00	0.13	91.23	233.56	1460.00	931.33	1522.22	1536310.40		40199.99	206389.44				235.37
Sus_barbatus		6.25	1349.99				6.59	1.00								362.50	12	105.85	970249.80	7.03	-5.94	0.54	119.26	96.84	108.05	1	54.83	4.00	0.16	243.91	247.00		1673.32	1729.20	135805.95							114.63
Hydropotes_inermis							3.00			144.00						292.63			1140413.15	34.93	22.89	28.91	122.13	106.81	114.47	63	373.91	109.00	0.06	112.88	159.82		1031.61	1072.99	12760.04		1016.19					175.49
Hippotragus_equinus		12.00	1150.00			317.00	0.98		1.18	240.00			0.96			841.82	4	119.27	8018853.26	16.13	-25.30	-4.58	38.45	-17.53	10.45	0	30.36	1.00	0.13	89.35	240.77	1049.37	884.32	1551.46	264173.96		16412.18					278.23
Oryx_leucoryx	19.50	5.00					1.00			240.00								58.46																	75788.24							239.99
Antidorcas_marsupialis	3000.00		1055.00			365.00	1.00		1.10	240.00			10.69			331.73		57.45	1066805.09	-12.52	-28.97	-20.74	27.61	11.71	19.66	0	2.06	0.00	0.10	24.00	190.15		377.23	1328.86	33571.24		3841.48					169.49
Sus_philippensis		3.75	1349.99				6.24	1.00								283.18	12	105.85	237934.97	18.65	5.55	12.10	126.60	119.74	123.17	19	225.88	33.00	0.10	208.67	240.84		1470.06	1728.00	190792.30							125.14
Tragulus_napu			562.36			152.08	0.96	1.00		195.96						156.25	4	84.86	1593229.34	14.30	-5.94	4.18	119.26	95.18	107.22	1	91.44	4.00	0.14	233.98	250.86	250.93	1615.97	1742.06	5273.67		372.99					154.24
Gazella_gazella		7.20	1012.85			228.12	1.22		1.39	219.00		0.00	0.40	1.46	1.37	485.11		86.17	1151478.67	34.39	12.59	23.49	59.83	34.37	47.10	0	48.74	0.00	0.19	11.17	226.59	547.50	180.30	1399.50	21306.83		2124.99			182.50		180.00
Elaphurus_davidianus						359.50	1.22		1.10	279.60								155.59																	165989.17		10467.50					286.49
Ovis_aries		35.00	1297.23			365.00	1.19		1.10	230.04						831.62		182.50														730.00			39097.89		2376.24	17500.00				152.54
Ovis_dalli		9.50	1415.02			365.00	1.22		1.10	192.00				10.15	14.38	748.37	2	121.66	1014237.16	69.14	52.03	60.59	-118.87	-164.06	-141.47	0	0.52	0.00	0.08	41.26	-74.27	730.00	241.32	274.00	70194.13		3499.99					172.49
Dama_dama		10.50		621.14		365.00	1.00		1.10	300.00			21.99	0.71	0.61	543.28		177.63	3081759.24	60.52	36.01	48.26	34.67	-10.47	12.09	1	128.41	15.00	0.01	58.52	79.91	1095.00	475.08	576.21	57224.61		4698.44	16720.38		319.37		230.00
Tragelaphus_imberbis		3.00	1675.00			258.54	1.00		1.31	227.00			0.35			666.44			1907499.42	16.88	-9.03	3.92	48.87	32.08	40.48	0	26.55	2.00	0.11	50.25	236.53	1115.07	695.54	1584.80	94320.39		5891.21					222.00
Alces_alces		1.00	2930.47			365.00	1.25	1.70		324.00			0.40	71.75	73.26	668.20	4	98.85														1216.66			461900.76		12999.99	86299.96				235.00
Ovibos_moschatus		12.50				547.50	1.01		0.89	288.00			0.31			1262.74	4	254.48	1615605.88	83.62	59.74	71.68	-12.49	-168.12	-90.31	0	7.05629774431538e-03	0.00	0.08	15.78	-156.38	1277.50	100.96	125.09	312500.00		10444.11	62467.44				256.26
Antilocapra_americana	1000.00	12.00	1310.00			365.00	1.93	1.00		144.00	8960.00		0.82	8.05	9.53	534.68		87.54	2009745.94	51.37	23.04	37.21	-95.02	-121.25	-108.14	0	6.77	0.00	0.05	29.88	90.76	365.00	435.07	870.35	47450.01	32000.00	3454.70	9662.00				247.99
Ammodorcas_clarkei			1509.96				1.00			36.00			0.73				4		287056.65	9.57	2.79	6.18	50.02	43.14	46.58	1	10.04	4.00	0.09	17.16	257.53		305.08	1776.29	28049.81							200.00
Tapirus_bairdii		1.00	2199.99				1.00						0.34	1.15	0.94	710.47		362.93	188831.76	20.56	-1.55	9.50	-76.37	-94.62	-85.49	2	43.25	4.00	0.15	166.98	235.49		1357.27	1618.64	293781.59			171864.36				396.24
Equus_zebra	4.00	13.00	2350.00	1000.00		653.95	1.00	0.35		288.00			1.32	7.40	6.88	963.17		181.46	143855.82	-16.50	-34.66	-25.58	26.79	12.23	19.51	0	4.38	0.00	0.09	19.95	144.42	1633.37	352.93	1135.61	282462.13		29496.68	117097.78		655.29		363.49
Camelus_dromedarius	11.00	10.00				614.41	0.98	1.00		480.00	40293.00		0.98	196.32		1947.94		389.38														1651.62			492714.47	407000.00	36751.19					386.51
Cephalophus_adersi	1.50		690.00				1.00			48.96			3.65				4		3824.30	-3.09	-6.47	-4.78	40.13	39.18	39.65	39	187.17	39.00	0.19	71.50	256.50		1011.99	1963.94	9249.95							120.00
Muntiacus_feae							1.22												14346.43	16.39	13.64	15.02	98.87	97.86	98.37	5	57.19	5.00	0.05	393.21	245.37		1107.53	1687.57	21999.99							195.57
Ceratotherium_simum	3.75		2586.81			967.25	1.00		0.67	600.00			0.47	19.09	19.00	2741.23		365.00	3184467.13	9.74	-29.91	-10.08	39.53	12.96	26.25	0	18.23	0.00	0.11	60.61	216.38	2463.75	729.59	1458.59	2285939.43		48500.00	274482.35		902.99		534.19
Ourebia_ourebi		2.00	1160.00			182.50	0.98		1.56	189.96			2.43			372.09	4	136.87	8258056.75	16.53	-33.77	-8.62	45.53	-15.07	15.23	0	35.71	1.00	0.13	87.92	237.62	674.33	899.50	1552.27	17186.09		2196.14					210.50
Cephalophus_zebra			874.99				1.00			146.04							4	13.64	171546.51	8.55	4.35	6.45	-5.50	-11.79	-8.64	3	37.94	5.00	0.03	214.55	247.86		1342.39	1540.94	15654.75		1704.99					223.89
Cephalophus_nigrifrons			944.21							236.40			2.00				4		2766201.07	5.12	-9.85	-2.36	37.79	8.69	23.24	0	27.94	1.00	0.13	140.38	238.38		1348.71	1548.31	14676.33							
Cephalophus_spadix			1174.48							65.04							4		36583.37	-2.60	-9.48	-6.04	38.83	33.33	36.08	8	49.38	11.00	0.16	77.30	222.71		950.45	1534.15	56857.02							
Philantomba_monticola		1.90	692.30			265.00	0.98		1.29	144.00	1806.00		35.98			351.59	4	27.28	6552145.69	9.54	-34.44	-12.45	40.52	5.92	23.22	0	33.48	1.00	0.15	118.15	229.51	577.91	1145.04	1523.17	4896.05	4200.00	709.41					205.00
Pudu_puda	1.00						1.22			150.00				0.17	0.15	229.14		54.75	223036.92	-34.84	-52.55	-43.69	-70.94	-74.30	-72.62	0	11.99	0.00	0.05	109.54	60.55		567.07	719.68	9642.62		780.00	2863.20				210.00
Rusa_alfredi																			24504.78	11.94	9.03	10.48	123.56	121.84	122.70	118	291.84	130.00	0.07	160.44	253.32		1479.27	1759.33	46475.04							243.33
Rucervus_eldii			1650.00			382.70	1.01		1.07	232.80						531.64		220.26	119941.73	25.34	12.38	18.86	109.95	93.14	101.55	4	64.11	5.00	0.10	157.98	243.09	958.12	1139.95	1618.09	95471.61		4674.98					240.19
Eudorcas_thomsonii			885.00			193.90	1.00		1.51	182.04			12.53			418.38		93.25	515821.13	9.45	-5.61	1.91	38.38	30.41	34.40	0	50.73	3.00	0.15	72.57	227.28	552.51	947.32	1556.92	22907.43		2500.00					166.14
Capricornis_milneedwardsii																			2334828.77	35.55	7.68	21.61	122.13	93.18	107.66	1	159.63	4.00	0.07	131.68	145.73		983.38	1183.97								
Phacochoerus_aethiopicus		2.00				365.00	3.20	1.50		225.60			7.61	1.35	1.27	631.12		106.45	851932.22	11.49	-2.05	4.71	46.38	34.47	40.42	1	17.34	1.00	0.09	42.02	240.33	730.00	628.28	1636.16	75607.52		691.95					165.40
