	10-1_PopulationGrpSize	10-2_SocialGrpSize	13-1_AdultHeadBodyLen_mm	13-2_NeonateHeadBodyLen_mm	13-3_WeaningHeadBodyLen_mm	14-1_InterbirthInterval_d	15-1_LitterSize	16-1_LittersPerYear	16-2_LittersPerYear_EXT	17-1_MaxLongevity_m	18-1_BasalMetRate_mLO2hr	2-1_AgeatEyeOpening_d	21-1_PopulationDensity_n/km2	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	23-1_SexualMaturityAge_d	24-1_TeatNumber	25-1_WeaningAge_d	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MidRangeLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MidRangeLong_dd	27-1_HuPopDen_Min_n/km2	27-2_HuPopDen_Mean_n/km2	27-3_HuPopDen_5p_n/km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	3-1_AgeatFirstBirth_d	30-1_AET_Mean_mm	30-2_PET_Mean_mm	5-1_AdultBodyMass_g	5-2_BasalMetRateMass_g	5-3_NeonateBodyMass_g	5-4_WeaningBodyMass_g	5-7_WeaningBodyMass_g_EXT	7-1_DispersalAge_d	8-1_AdultForearmLen_mm	9-1_GestationLen_d
Tapirus_indicus	1.00	1.50	2224.85			657.00	1.00	0.50		360.00			0.11	9.40	8.70	1132.72		211.71	794777.96	16.54	-5.94	5.30	107.22	97.65	102.44	3	133.99	13.00	0.12	209.67	256.00		1522.16	1761.46	311209.19		6848.35					396.50
Gazella_subgutturosa		5.50	957.35				1.39			240.00			0.64			413.84	4	116.41	8787218.98	49.21	14.92	32.06	117.89	33.79	75.84	0	25.76	0.00	0.09	17.20	122.65		208.39	923.51	26981.37		2317.85					159.68
Mazama_temama																			586111.82	19.88	-0.82	9.53	-76.10	-94.98	-85.54	2	51.90	3.00	0.15	193.45	240.82		1363.79	1649.84								
Sus_celebensis							3.24										12		173576.36	1.75	-6.49	-2.37	125.29	118.75	122.02	17	94.75	17.00	0.08	229.41	215.47		1812.60	1909.15	53813.21							126.00
Babyrousa_babyrussa		4.50	950.00				1.73	1.50		288.00						362.50	4	212.91	13309.70	-1.62	-3.84	-2.73	127.26	124.33	125.80	5	12.93	5.00	0.01	281.24	223.00				92950.09		715.00					156.50
Tragelaphus_angasii		15.50	1935.86			297.00	1.00		1.22	192.00			126.94	1.63		645.51		212.91	274074.58	-15.60	-28.48	-22.04	35.21	29.07	32.14	1	18.74	2.00	0.21	65.29	229.85	695.78	860.67	1417.11	87616.76		5541.58					219.99
Mazama_americana		1.00					1.22			165.60			9.30						12346897.93	12.46	-32.18	-9.86	-34.79	-78.03	-56.41	0	23.26	0.00	0.11	149.07	240.37		1294.79	1520.03	20546.86							225.00
Muntiacus_reevesi						215.25	0.98		1.43				0.67	0.12	0.11	295.12			1767640.73	34.11	20.22	27.17	122.13	104.67	113.40	41	356.66	94.00	0.06	109.52	157.10		1016.93	1071.65	13499.94		1050.00					214.24
Sus_salvanius		5.00	599.66				3.66			144.00				0.15			9		25728.78	27.06	26.33	26.70	93.44	87.93	90.69	37	339.50	44.00	0.09	162.48	203.49		1037.05	1239.08	7974.13							110.50
Blastocerus_dichotomus		3.00	1720.00				0.98	1.00					0.12						2004539.09	-3.88	-35.10	-19.49	-46.54	-69.28	-57.91	0	11.65	0.00	0.13	121.57	233.21		1195.43	1404.04	112518.53		4199.99					272.37
Hexaprotodon_liberiensis		1.25	1600.00				1.00	1.00		525.60				0.72		1510.30		211.71	35806.59	12.29	4.27	8.28	7.33	-15.59	-4.13	3	86.62	5.00	0.11	213.58	251.56		1315.05	1605.32	235001.16		5730.00					200.00
Axis_porcinus		1.80					1.00			240.00			16.50	0.52		464.04			2017514.05	32.58	8.55	20.57	107.57	67.83	87.70	0	144.43	6.00	0.09	136.98	213.51		979.62	1418.55	37448.29		2483.33					220.13
Potamochoerus_porcus	28.50	10.56	1369.30			365.00	3.00		1.10	240.00			0.23			1113.70	6		5033216.84	13.53	-8.10	2.71	36.11	-16.82	9.64	0	36.82	1.00	0.11	139.70	248.51		1249.23	1567.17	70000.31		750.00					120.00
Nanger_granti	40.00		1529.99				1.00			152.04			3.92			249.81			963156.39	8.32	-7.75	0.28	42.35	33.54	37.94	1	40.52	1.00	0.12	58.07	231.78		853.79	1545.15	55464.46		5215.17					191.21
Rupicapra_rupicapra		1.00				365.00	1.00		1.10	264.00				2.65	2.49	642.64	4	76.04	742756.93	51.33	35.66	43.50	47.08	5.29	26.19	11	105.31	28.00	0.02	60.73	70.03	1368.75	530.64	695.91	33266.35		2250.00					178.32
Cephalophus_jentinki			1349.99				1.00			210.00			0.10				4		130952.07	9.22	4.35	6.79	-4.91	-13.20	-9.05	4	55.44	8.00	0.06	210.72	251.50		1345.35	1553.43	68489.54		4581.46					
Tayassu_pecari	102.50		1110.00	368.99			2.00			252.00			1.59	40.97	10.68	684.67	4	13.64	13839052.97	21.60	-33.06	-5.72	-34.79	-95.70	-65.24	0	25.33	0.00	0.11	145.87	236.83		1273.63	1510.12	31798.71		1000.00				119.00	158.00
Oryx_gazella		20.00	1615.00				1.00			240.00			9.88			841.82	4		4613581.92	18.29	-34.83	-8.27	51.11	11.71	31.41	0	23.25	0.00	0.09	40.73	208.33	866.87	584.24	1429.69	188404.45		12055.49					273.75
Kobus_kob	185.00	40.00	1700.00				1.00			263.04			2.60	99.57		465.57	4	188.64	3179796.65	14.70	-2.34	6.17	35.80	-16.79	9.50	0	39.37	1.00	0.10	106.52	258.11	395.41	1026.71	1611.87	80035.21		5376.23					254.76
Connochaetes_gnou		26.75	1821.79				1.00			240.00			34.62	0.95		965.63	2	111.57	132200.71	-26.92	-30.73	-28.83	29.61	24.14	26.87	2	21.86	2.00	0.11	47.98	154.29	912.50	637.43	1148.16	156547.53		10941.45					256.76
Eudorcas_rufina																																			39999.99							
Bubalus_quarlesi		1.00	1577.97				1.00	1.00		270.00						755.15			56312.24	0.79	-5.45	-2.33	123.60	119.41	121.51	17	62.95	17.00	0.08	228.75	205.08		1813.15	1903.28	181718.86							294.99
Tragulus_nigricans																			11882.48	11.42	7.80	9.61	119.71	116.93	118.32	22	44.59	23.50	0.21	224.00	249.78											
Kobus_leche		20.00					1.00			222.96			31.00			925.38	4	133.45	229752.09	-8.41	-20.04	-14.22	32.05	17.16	24.61	1	8.87	1.00	0.22	84.65	215.94	638.75	780.79	1439.21	88645.04		5100.00					229.80
Muntiacus_vuquangensis																			55431.64	18.54	13.43	15.99	107.71	104.22	105.96	3	34.31	4.00	0.13	217.86	228.32		1241.00	1524.63	36690.82							
Lama_glama	8.00		1595.10				1.00	1.00		339.60			0.45			676.66		131.70																	78322.67		8999.99	29000.00				342.74
Muntiacus_atherodes			994.99																108466.54	4.19	-1.86	1.16	117.33	115.15	116.24	3	16.81	4.00	0.27	255.41	236.32		1671.15	1676.97	18939.10							
Equus_burchellii	5.10					385.00	1.00		1.07	480.00			7.00	127.99	120.07	709.82		294.11	4696974.13	6.91	-29.10	-11.09	40.73	11.73	26.23	0	34.32	1.00	0.16	75.72	221.51	1277.50	871.81	1491.98	279160.65		32274.54	165361.14				371.20
Alcelaphus_caama										183.96			3.18				2		873624.18	-16.05	-27.32	-21.68	27.42	14.27	20.84	0	2.48	0.00	0.09	32.47	207.43		443.83	1433.22	176115.97							
Raphicerus_campestris		2.00	824.99			219.00	0.98		1.42	168.00	3696.00		1.27	0.43	0.45	233.81	4	49.89	4930075.62	1.61	-34.83	-16.61	41.77	11.71	26.74	0	24.64	0.00	0.14	52.18	198.60		656.54	1367.87	11661.53	9600.00	916.51					210.00
Rusa_timorensis			1634.99			366.00	1.00		1.09							666.44		227.47	132249.02	-5.87	-8.84	-7.36	115.71	105.20	110.46	270	804.20	305.00	0.04	196.77	244.60		1370.42	1640.76	66375.50							250.29
Pudu_mephistophiles							1.00			120.00									244304.21	5.09	-12.56	-3.73	-73.55	-79.28	-76.41	2	30.31	2.00	0.13	151.56	201.98		1326.56	1463.47	9599.96		400.00					
Bubalus_bubalis			2649.52			547.50	1.50	1.00		339.00			1.06	3.63		755.15		240.31	978657.33	27.44	14.51	20.98	100.00	84.68	92.34	2	254.70	10.00	0.08	154.04	223.58		1028.93	1394.47	929500.97					912.49		320.00
Damaliscus_pygargus						365.00	1.41		1.10	260.04			24.56			620.76	2	121.66	370656.19	-24.59	-34.41	-29.50	30.66	19.82	25.24	2	39.93	3.00	0.10	49.54	156.83	1003.75	674.58	1180.21	77784.55		6873.81	21189.56				240.54
Gazella_spekei		14.25	885.00			206.50	1.00		1.46	152.04						403.21			170828.32	10.91	2.02	6.47	51.41	44.00	47.71	1	11.38	3.00	0.04	13.51	248.39		203.01	1795.45	20000.00		1250.00					178.59
Equus_asinus							1.00			564.00			3.06	139.69		742.46																866.87			164998.49		29249.99	32500.00				367.00
Ovis_ammon			1585.00			365.00	1.22		1.10	180.96			0.02	4.59	4.30	555.47		76.61	10939816.94	55.79	26.55	41.17	125.74	29.01	77.38	0	21.78	0.00	0.08	24.35	43.53		267.71	788.44	113998.72		3232.64					165.00
Madoqua_guentheri		6.25	612.07				0.98			168.00			14.01	0.03	0.05	138.60	4	74.25	1526489.41	11.23	-2.54	4.34	50.52	31.43	40.98	1	21.74	1.00	0.08	41.43	237.91		618.60	1634.43	4623.70		684.00			327.33		175.00
Boselaphus_tragocamelus			2000.00			400.50	1.39		1.05	260.40			2.39						2192564.81	33.00	11.71	22.35	87.08	68.93	78.00	2	313.30	76.50	0.09	86.66	247.40	912.50	750.64	1450.38	182253.04		5875.00					248.49
Capreolus_capreolus						365.00	1.79		1.10	204.00	78470.00		7.61	0.52	0.49	400.97		79.75	6777177.58	67.62	34.89	51.25	54.05	-8.46	22.79	0	101.77	4.00	0.01	55.04	73.59	730.00	450.28	610.10	22502.01	190000.00	1208.55					196.00
Pecari_tajacu	11.65	20.00	889.34			155.00	1.56	2.00		296.40			7.92	1.37	1.82	315.68	8	47.25	15771441.38	35.07	-34.78	0.14	-34.79	-114.45	-74.62	0	26.93	0.00	0.11	134.44	231.20	350.00	1201.00	1476.93	21133.69		618.53	4773.44			95.59	144.88
Sus_ahoenobarbus																			108626.43	12.33	5.04	8.68	126.60	116.93	121.76	22	128.88	28.00	0.14	177.32	238.06		1567.81	1734.24								
Cephalophus_dorsalis		1.00	849.99				1.00			204.96				0.27	0.26	547.46	4		2874503.05	9.35	-7.06	1.14	30.66	-13.29	8.68	0	34.08	1.00	0.12	151.81	244.44	760.41	1371.07	1558.56	20000.00		1611.37					238.00
Gazella_cuvieri																			1047003.29	37.09	23.78	30.43	10.11	-15.82	-2.85	0	50.98	0.00	0.16	19.80	177.16		266.43	1174.07								
Madoqua_piacentinii							1.00			168.00						251.71			30486.05	6.06	2.20	4.13	48.96	45.62	47.29	4	18.05	4.00	0.05	18.05	264.91		339.62	1993.88	2500.00					327.33		
Nanger_soemmerringii			1360.00				1.00			186.00			5.47			413.84			1089492.28	18.79	0.83	9.81	51.14	33.73	42.44	1	23.84	3.00	0.09	33.87	247.71	802.23	467.55	1672.35	41582.93							192.53
