	IsDomesticated
Addax_nasomaculatus	0
Aepyceros_melampus	0
Alcelaphus_buselaphus	0
Alcelaphus_caama	0
Alcelaphus_lichtensteinii	0
Alces_alces	0
Alces_americanus	0
Ammodorcas_clarkei	0
Ammotragus_lervia	0
Antidorcas_marsupialis	0
Antilocapra_americana	0
Antilope_cervicapra	0
Axis_axis	0
Axis_calamianensis	0
Axis_kuhlii	0
Axis_porcinus	0
Babyrousa_babyrussa	0
Babyrousa_bolabatuensis	0
Babyrousa_celebensis	0
Babyrousa_togeanensis	0
Beatragus_hunteri	0
Bison_bison	0
Bison_bonasus	0
Blastocerus_dichotomus	0
Boselaphus_tragocamelus	0
Bos_sauveli	0
Bubalus_depressicornis	0
Bubalus_mindorensis	0
Bubalus_quarlesi	0
Budorcas_taxicolor	0
Capra_caucasica	0
Capra_falconeri	0
Capra_ibex	0
Capra_nubiana	0
Capra_pyrenaica	0
Capra_sibirica	0
Capra_walie	0
Capreolus_capreolus	0
Capreolus_pygargus	0
Capricornis_crispus	0
Capricornis_milneedwardsii	0
Capricornis_rubidus	0
Capricornis_sumatraensis	0
Capricornis_swinhoei	0
Capricornis_thar	0
Catagonus_wagneri	0
Cephalophus_adersi	0
Cephalophus_brookei	0
Cephalophus_callipygus	0
Cephalophus_dorsalis	0
Cephalophus_jentinki	0
Cephalophus_leucogaster	0
Cephalophus_natalensis	0
Cephalophus_niger	0
Cephalophus_nigrifrons	0
Cephalophus_ogilbyi	0
Cephalophus_rufilatus	0
Cephalophus_silvicultor	0
Cephalophus_spadix	0
Cephalophus_weynsi	0
Cephalophus_zebra	0
Ceratotherium_simum	0
Cervus_elaphus	0
Cervus_nippon	0
Connochaetes_gnou	0
Connochaetes_taurinus	0
Dama_dama	0
Damaliscus_korrigum	0
Damaliscus_lunatus	0
Damaliscus_pygargus	0
Damaliscus_superstes	0
Dicerorhinus_sumatrensis	0
Diceros_bicornis	0
Dorcatragus_megalotis	0
Elaphodus_cephalophus	0
Elaphurus_davidianus	0
Equus_burchellii	0
Equus_grevyi	0
Equus_hemionus	0
Equus_kiang	0
Equus_quagga	0
Equus_zebra	0
Eudorcas_rufifrons	0
Eudorcas_rufina	0
Eudorcas_thomsonii	0
Gazella_arabica	0
Gazella_bennettii	0
Gazella_cuvieri	0
Gazella_dorcas	0
Gazella_erlangeri	0
Gazella_gazella	0
Gazella_leptoceros	0
Gazella_saudiya	0
Gazella_spekei	0
Gazella_subgutturosa	0
Giraffa_camelopardalis	0
Hemitragus_hylocrius	0
Hemitragus_jayakari	0
Hemitragus_jemlahicus	0
Hexaprotodon_liberiensis	0
Hippocamelus_antisensis	0
Hippocamelus_bisulcus	0
Hippopotamus_amphibius	0
Hippotragus_equinus	0
Hippotragus_leucophaeus	0
Hippotragus_niger	0
Hydropotes_inermis	0
Hyemoschus_aquaticus	0
Hylochoerus_meinertzhageni	0
Kobus_ellipsiprymnus	0
Kobus_kob	0
Kobus_leche	0
Kobus_megaceros	0
Kobus_vardonii	0
Litocranius_walleri	0
Madoqua_guentheri	0
Madoqua_kirkii	0
Madoqua_piacentinii	0
Madoqua_saltiana	0
Mazama_americana	0
Mazama_bororo	0
Mazama_bricenii	0
Mazama_chunyi	0
Mazama_gouazoubira	0
Mazama_nana	0
Mazama_pandora	0
Mazama_rufina	0
Mazama_temama	0
Moschiola_meminna	0
Moschus_anhuiensis	0
Moschus_berezovskii	0
Moschus_chrysogaster	0
Moschus_cupreus	0
Moschus_fuscus	0
Moschus_leucogaster	0
Moschus_moschiferus	0
Muntiacus_atherodes	0
Muntiacus_crinifrons	0
Muntiacus_feae	0
Muntiacus_gongshanensis	0
Muntiacus_muntjak	0
Muntiacus_puhoatensis	0
Muntiacus_putaoensis	0
Muntiacus_reevesi	0
Muntiacus_rooseveltorum	0
Muntiacus_truongsonensis	0
Muntiacus_vuquangensis	0
Naemorhedus_baileyi	0
Naemorhedus_caudatus	0
Naemorhedus_goral	0
Naemorhedus_griseus	0
Nanger_dama	0
Nanger_granti	0
Nanger_soemmerringii	0
Neotragus_batesi	0
Neotragus_moschatus	0
Neotragus_pygmaeus	0
Odocoileus_hemionus	0
Odocoileus_virginianus	0
Okapia_johnstoni	0
Oreamnos_americanus	0
Oreotragus_oreotragus	0
Oryx_beisa	0
Oryx_dammah	0
Oryx_gazella	0
Oryx_leucoryx	0
Ourebia_ourebi	0
Ovibos_moschatus	0
Ovis_ammon	0
Ovis_canadensis	0
Ovis_dalli	0
Ovis_nivicola	0
Ozotoceros_bezoarticus	0
Pantholops_hodgsonii	0
Pecari_tajacu	0
Pelea_capreolus	0
Phacochoerus_aethiopicus	0
Phacochoerus_africanus	0
Philantomba_maxwellii	0
Philantomba_monticola	0
Potamochoerus_larvatus	0
Potamochoerus_porcus	0
Procapra_gutturosa	0
Procapra_picticaudata	0
Procapra_przewalskii	0
Przewalskium_albirostris	0
Pseudois_nayaur	0
Pseudois_schaeferi	0
Pseudoryx_nghetinhensis	0
Pudu_mephistophiles	0
Pudu_puda	0
Raphicerus_campestris	0
Raphicerus_melanotis	0
Raphicerus_sharpei	0
Redunca_arundinum	0
Redunca_fulvorufula	0
Redunca_redunca	0
Rhinoceros_sondaicus	0
Rhinoceros_unicornis	0
Rucervus_duvaucelii	0
Rucervus_eldii	0
Rucervus_schomburgki	0
Rupicapra_pyrenaica	0
Rupicapra_rupicapra	0
Rusa_alfredi	0
Rusa_marianna	0
Rusa_timorensis	0
Rusa_unicolor	0
Saiga_borealis	0
Saiga_tatarica	0
Sus_ahoenobarbus	0
Sus_barbatus	0
Sus_bucculentus	0
Sus_cebifrons	0
Sus_celebensis	0
Sus_oliveri	0
Sus_philippensis	0
Sus_salvanius	0
Sus_verrucosus	0
Sylvicapra_grimmia	0
Syncerus_caffer	0
Tapirus_bairdii	0
Tapirus_indicus	0
Tapirus_pinchaque	0
Tapirus_terrestris	0
Taurotragus_derbianus	0
Taurotragus_oryx	0
Tayassu_pecari	0
Tetracerus_quadricornis	0
Tragelaphus_angasii	0
Tragelaphus_buxtoni	0
Tragelaphus_eurycerus	0
Tragelaphus_imberbis	0
Tragelaphus_scriptus	0
Tragelaphus_spekii	0
Tragelaphus_strepsiceros	0
Tragulus_javanicus	0
Tragulus_kanchil	0
Tragulus_napu	0
Tragulus_nigricans	0
Tragulus_versicolor	0
Tragulus_williamsoni	0
Bos_frontalis	1
Bos_grunniens	1
Bos_javanicus	1
Bos_taurus	1
Bubalus_bubalis	1
Camelus_bactrianus	1
Camelus_dromedarius	1
Capra_hircus	1
Equus_asinus	1
Equus_caballus	1
Lama_glama	1
Ovis_aries	1
Rangifer_tarandus	1
Sus_scrofa	1
Vicugna_vicugna	1
