#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:Danaus" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Danaus" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:Danaus">
#                <taxonset id="TaxonSet.Danaus" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Danaus" name="distribution" x="@birthRate.t:Danaus">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="RateACPrior.s:Danaus" name="distribution">
#            <parameter id="rateAC.s:Danaus" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateAGPrior.s:Danaus" name="distribution">
#            <parameter id="rateAG.s:Danaus" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta">20.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateATPrior.s:Danaus" name="distribution">
#            <parameter id="rateAT.s:Danaus" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateCGPrior.s:Danaus" name="distribution">
#            <parameter id="rateCG.s:Danaus" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.3" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="RateGTPrior.s:Danaus" name="distribution">
#            <parameter id="rateGT.s:Danaus" lower="0.0" name="x">1.0</parameter>
#            <Gamma id="Gamma.5" name="distr">
#                <parameter estimate="false" id="RealParameter.11" name="alpha">0.05</parameter>
#                <parameter estimate="false" id="RealParameter.12" name="beta">10.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Danaus" id="treeLikelihood.Danaus" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Danaus">
#            <siteModel id="SiteModel.s:Danaus" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Danaus" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Danaus" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Danaus" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="gtr.s:Danaus" rateAC="@rateAC.s:Danaus" rateAG="@rateAG.s:Danaus" rateAT="@rateAT.s:Danaus" rateCG="@rateCG.s:Danaus" rateGT="@rateGT.s:Danaus" spec="beast.evolution.substitutionmodel.GTR">
#                    <parameter estimate="false" id="rateCT.s:Danaus" lower="0.0" name="rateCT">1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:Danaus" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:Danaus" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Danaus" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Danaus" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	rateAC	rateAG	rateAT	rateCG	rateGT
0	-35905.94501674257	-35883.45649319274	-22.488523549830855	-35883.45649319274	0.4608287156492079	-6.5838239122956885	1.0	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0
1000	-28931.03325964506	-29461.67689268009	530.6436330350289	-29461.67689268009	0.347600760394744	546.3684488033329	31.91911695476869	0.25	0.25	0.25	0.25	1.0	1.0	1.8464723156149336	0.4350633040280169	1.0
2000	-25358.458328473687	-25917.176030721497	558.7177022478113	-25917.176030721497	0.2857619521757162	572.7726821409229	41.178129909889535	0.25	0.25	0.25	0.25	0.5153855482408013	1.0	1.4066237263743402	0.21553311925599225	1.0
3000	-22195.463197285902	-22790.502993698326	595.0397964124231	-22790.502993698326	0.1913491066369528	608.6273081526933	45.27280778468789	0.25010159900081064	0.25	0.24989840099918936	0.25	0.4439613533801648	1.0	1.4066237263743402	0.21553311925599225	0.7352755645648051
4000	-20412.171003052506	-21015.796890891357	603.6258878388503	-21015.796890891357	0.15252184916466238	616.5580472934806	54.05453725468593	0.25010159900081064	0.25	0.24989840099918936	0.25	0.4439613533801648	0.9843662581173617	1.0876004074216659	0.21553311925599225	0.5134393875258928
5000	-19033.95288884121	-19650.228455287004	616.2755664457937	-19650.228455287004	0.1394524187016066	628.7423304211497	56.78510644483837	0.2500377756698036	0.25	0.24996222433019638	0.25	0.4439613533801648	0.6149559927213629	1.0876004074216659	0.21553311925599225	0.5134393875258928
6000	-17958.958937133197	-18587.08689059892	628.1279534657207	-18587.08689059892	0.1281900671613962	640.1868458342612	55.30442272925671	0.24747166243131993	0.25256611323848366	0.24996222433019638	0.25	0.4439613533801648	0.6149559927213629	1.0876004074216659	0.14139815848996282	0.5134393875258928
7000	-16565.26327355788	-17207.312968396585	642.049694838706	-17207.312968396585	0.11816589304308732	654.2589150893442	72.58619146866192	0.24747166243131993	0.25532511037551553	0.24720322719316448	0.25	0.4439613533801648	0.6966768813370046	1.0876004074216659	0.14552001211131188	0.5134393875258928
8000	-15243.026322024722	-15915.065211841857	672.038889817135	-15915.065211841857	0.1004834933854006	683.8727025003236	66.11472121740341	0.24747166243131993	0.25532511037551553	0.24720322719316448	0.25	0.4439613533801648	0.6966768813370046	1.0876004074216659	0.14552001211131188	0.351772171398266
9000	-14313.103769415568	-15001.017786025623	687.9140166100556	-15001.017786025623	0.08358384933638488	699.7478292932442	69.65398068991873	0.246375979672124	0.25532511037551553	0.24720322719316448	0.2510956827591959	0.4439613533801648	0.6966768813370046	1.0876004074216659	0.14552001211131188	0.351772171398266
10000	-13341.62784250031	-14047.987994244259	706.3601517439491	-14047.987994244259	0.06987462907987445	717.6854026860159	78.62492290612636	0.24171630410355213	0.2646641843760555	0.23504654245496212	0.25857296906543015	0.4439613533801648	0.6966768813370046	1.0876004074216659	0.14552001211131188	0.20907158218255556
11000	-12355.435675415743	-13069.363753890513	713.9280784747699	-13069.363753890513	0.06831155333198878	725.2533294168367	82.7814519206912	0.24171630410355213	0.2646641843760555	0.23504654245496212	0.25857296906543015	0.4439613533801648	0.6966768813370046	1.0876004074216659	0.14552001211131188	0.20907158218255556
12000	-11797.519331162457	-12521.121820642526	723.602489480068	-12521.121820642526	0.06502975613232143	734.9277404221348	91.94722929438792	0.24554609601766708	0.25131439753624146	0.23504654245496212	0.26809296399112925	0.4439613533801648	0.6966768813370046	1.0876004074216659	0.14552001211131188	0.20907158218255556
13000	-11031.738064683703	-11769.24747145612	737.5094067724162	-11769.24747145612	0.06313199787876277	748.0709914594821	84.04051098356665	0.24554609601766708	0.25131439753624146	0.23504654245496212	0.26809296399112925	0.4439613533801648	0.6161644742898826	0.8922595174937972	0.09253723234675959	0.20907158218255556
14000	-10446.066598513153	-11191.47711777881	745.4105192656563	-11191.47711777881	0.06324573310188492	755.7356883007868	95.64387306839318	0.24554609601766708	0.25131439753624146	0.23504654245496212	0.26809296399112925	0.4439613533801648	0.6161644742898826	0.8922595174937972	0.0847515739693058	0.17870227981656417
